cell,pair,B_paper_grid41,B_grid401,rel_pct,t_star_41,t_star_401
ntk_gelu_w2048,04,9.256447e-01,9.256447e-01,0.0000,0.50000,0.50000
ntk_gelu_w256,01,5.896060e-01,5.902119e-01,0.1028,0.52500,0.51750
ntk_gelu_w256,02,5.662580e-01,5.662748e-01,0.0030,0.50000,0.49750
ntk_gelu_w256,03,6.084185e-01,6.087249e-01,0.0504,0.50000,0.49500
ntk_gelu_w256,04,5.190843e-01,5.200196e-01,0.1802,0.50000,0.48750
ntk_gelu_w4096,01,1.073272e+00,1.073272e+00,0.0000,0.50000,0.50000
ntk_gelu_w4096,02,1.060695e+00,1.060727e+00,0.0029,0.50000,0.49750
ntk_gelu_w4096,03,1.088409e+00,1.088492e+00,0.0076,0.50000,0.49750
ntk_gelu_w4096,04,1.098997e+00,1.099392e+00,0.0359,0.50000,0.49500
sp_gelu_w1024,01,1.392007e-02,1.392040e-02,0.0024,0.50000,0.50250
sp_gelu_w1024,02,1.469826e-02,1.469826e-02,0.0000,0.50000,0.50000
sp_gelu_w1024,03,1.211737e-02,1.213521e-02,0.1472,0.50000,0.50750
sp_gelu_w1024,04,1.220289e-02,1.220627e-02,0.0277,0.50000,0.50250
sp_gelu_w128,01,2.361738e-02,2.365046e-02,0.1400,0.50000,0.50750
sp_gelu_w128,02,1.924428e-02,1.927131e-02,0.1404,0.50000,0.50750
sp_gelu_w128,03,2.542123e-02,2.547350e-02,0.2056,0.52500,0.51500
sp_gelu_w128,04,2.393234e-02,2.393498e-02,0.0110,0.50000,0.50250
sp_gelu_w2048,01,3.892889e-02,3.895598e-02,0.0696,0.50000,0.50500
sp_gelu_w2048,02,3.572866e-02,3.579819e-02,0.1946,0.50000,0.49250
sp_gelu_w2048,03,3.624073e-02,3.624459e-02,0.0107,0.50000,0.49750
sp_gelu_w2048,04,4.121913e-02,4.122109e-02,0.0048,0.50000,0.50250
sp_gelu_w256,01,1.255597e-02,1.255790e-02,0.0154,0.50000,0.49750
sp_gelu_w256,02,1.116489e-02,1.118718e-02,0.1997,0.52500,0.51500
sp_gelu_w256,03,1.140245e-02,1.140418e-02,0.0151,0.50000,0.50250
sp_gelu_w256,04,1.155439e-02,1.159296e-02,0.3338,0.50000,0.51250
sp_gelu_w4096,01,1.399848e-01,1.399924e-01,0.0054,0.50000,0.49750
sp_gelu_w4096,02,1.024420e-01,1.024420e-01,0.0000,0.50000,0.50000
