mode,regime,act,width,smooth,n_pairs,nparams,dnorm_med,rq_A_med,rq_mid_med,rq_B_med,flen_mid_med,lmax_A_med,lmax_mid_med,lmax_B_med,trP_A_med,trP_mid_med,trP_B_med,align_A_med,align_mid_med,align_B_med,spec_mid_med,ov1_mid_med,top1_mid_med,pow_gap_mid_med,rq_tmax_med,rq_tmin_med,t_at_rqmax_med,align_mid_rat,spec_mid_rat,alpha_rq,alpha_rq_r2,alpha_flen,alpha_flen_r2,alpha_dnorm,alpha_dnorm_r2,alpha_trP,alpha_trP_r2,alpha_lmax,alpha_lmax_r2,alpha_align,alpha_align_r2,alpha_spec,alpha_spec_r2,resid_flen,resid_rq
mlp,mup,softplus,512,1,10,669706,64.269055,2.519322e-06,2.981992e-06,2.8471899999999998e-06,0.0061309005,0.0278535,0.4856204,0.02800697,4.3400905e-07,6.36911e-06,4.806635e-07,6.1050775,0.4913905,6.313103,6.367739e-06,2.9607150000000003e-08,0.004791504,5.21e-05,2.932194e-05,2.482017e-06,0.75,0.468196027388442,6.140582232542126e-06,2.2233,0.99,1.324,0.9617,-0.4497,0.9979,2.2684,0.9983,0.4794,0.8364,-0.0451,0.1051,1.7439,0.997,0.0001,0.0
mlp,mup,softplus,1024,1,10,1863690,88.5643025,7.625587e-07,8.0262875e-07,8.346893e-07,0.003153275,0.01962785,0.4662948,0.02720178,9.693974e-08,1.39745e-06,1.251386e-07,6.7096775,0.63029565,6.6988285,1.981618e-06,2.3058695e-07,0.101195105,2.25e-07,6.3017065e-06,7.5360155e-07,0.25,0.5743523918565959,1.7212903725282804e-06,2.2233,0.99,1.324,0.9617,-0.4497,0.9979,2.2684,0.9983,0.4794,0.8364,-0.0451,0.1051,1.7439,0.997,0.0001,0.0
mlp,mup,softplus,2048,1,10,5824522,124.04205350000001,2.699971e-07,1.7167175e-07,2.441147e-07,0.001318863,0.0256202,0.42052080000000003,0.02319603,3.220731e-08,2.910682e-07,3.056685e-08,8.434004999999999,0.6076960499999999,8.1512805,4.544137e-07,3.434488e-08,0.07153416,1.085e-07,1.3753155e-06,1.672671e-07,0.25,0.5897990574030416,4.0823604920374925e-07,2.2233,0.99,1.324,0.9617,-0.4497,0.9979,2.2684,0.9983,0.4794,0.8364,-0.0451,0.1051,1.7439,0.997,0.0001,0.0
mlp,mup,softplus,4096,1,10,20037642,175.2597115,1.0192234e-07,5.916583e-08,9.2642735e-08,0.0009101248500000001,0.02266977,0.3044359,0.022181305,8.607811500000001e-09,7.270985e-08,9.081456e-09,11.074660000000002,0.8286982,11.248935,1.7587715e-07,7.990321e-09,0.04101128,1.0370000000000001e-07,4.920097e-07,5.916583e-08,0.25,0.8137251005193932,1.9434577196710376e-07,2.2233,0.99,1.324,0.9617,-0.4497,0.9979,2.2684,0.9983,0.4794,0.8364,-0.0451,0.1051,1.7439,0.997,0.0001,0.0
mlp,mup,tanh,64,1,10,55050,29.5013305,0.0004475425,0.006975530000000001,0.00045746575,3.044645,0.2462775,5.419961000000001,0.217019,0.00013280654999999999,0.0022726730000000002,0.0001311894,3.6409095000000002,2.9985115,3.3175225,0.0012131339999999998,6.2164195e-06,0.004571577,6.07e-06,0.009477556,0.00042844585000000003,0.5,3.0693064950391014,0.0012870074157360172,1.8752,0.9863,0.9139,0.9199,-0.4817,0.997,2.4247,0.9988,0.8934,0.9428,-0.5496,0.9208,0.9818,0.9924,0.0021,0.0001
mlp,mup,tanh,128,1,10,118282,37.918001000000004,6.4453405e-05,0.0009211645999999999,7.189837e-05,0.6618450499999999,0.05404162,1.4488285,0.056799485,1.65878e-05,0.0003126394,1.65363e-05,3.9049490000000002,2.9325315,4.195263499999999,0.0006267567,5.085923e-06,0.0080565225,7.085e-06,0.001748849,6.116553e-05,0.3125,2.9464123843635828,0.0006357996132737586,1.8752,0.9863,0.9139,0.9199,-0.4817,0.997,2.4247,0.9988,0.8934,0.9428,-0.5496,0.9208,0.9818,0.9924,0.0021,0.0001
mlp,mup,tanh,256,1,10,269322,51.411561500000005,1.593122e-05,0.0001854494,1.581548e-05,0.24715864999999998,0.023233585,0.6564003,0.02250338,2.8365325e-06,5.793375e-05,2.678523e-06,5.4208099999999995,3.297114,5.883155,0.00026794725,2.2410041500000002e-06,0.008693988000000001,5.82e-06,0.00048907835,1.5452109999999998e-05,0.25,3.20105983127279,0.00028252485564068144,1.8752,0.9863,0.9139,0.9199,-0.4817,0.997,2.4247,0.9988,0.8934,0.9428,-0.5496,0.9208,0.9818,0.9924,0.0021,0.0001
mlp,mup,tanh,512,1,10,669706,72.63651250000001,4.6509045000000005e-06,6.62698e-05,4.5870525e-06,0.17649769999999998,0.01102853,0.34842275,0.011353305,5.661245e-07,1.1911605e-05,6.005058e-07,8.0484545,5.774785,7.758768,0.00019022435,1.8051905e-06,0.010576312000000001,6.8e-06,0.00016143815000000002,3.976019e-06,0.25,5.563465208928604,0.00019019940575062909,1.8752,0.9863,0.9139,0.9199,-0.4817,0.997,2.4247,0.9988,0.8934,0.9428,-0.5496,0.9208,0.9818,0.9924,0.0021,0.0001
mlp,mup,tanh,1024,1,10,1863690,104.0113335,1.419789e-06,2.3726355e-05,1.588829e-06,0.12836795,0.007401126,0.24480065,0.0074479030000000005,1.195232e-07,2.7106665e-06,1.217909e-07,11.753185,9.255439500000001,12.52201,9.9210755e-05,1.3120169e-06,0.012228718,4.715e-05,6.1521845e-05,1.419789e-06,0.5625,8.75295983478602,9.692112745615667e-05,1.8752,0.9863,0.9139,0.9199,-0.4817,0.997,2.4247,0.9988,0.8934,0.9428,-0.5496,0.9208,0.9818,0.9924,0.0021,0.0001
mlp,mup,tanh,2048,1,10,5824522,149.200878,4.8301435e-07,7.1632475e-06,4.5288634999999997e-07,0.079078495,0.004720773,0.15250595,0.005196833,2.638248e-08,4.421782e-07,2.638248e-08,19.093575,15.839500000000001,16.77461,4.269001e-05,1.01750125e-06,0.02749987,7.065e-05,1.8215344999999998e-05,4.462459e-07,0.25,16.199911031344378,4.6970282143090154e-05,1.8752,0.9863,0.9139,0.9199,-0.4817,0.997,2.4247,0.9988,0.8934,0.9428,-0.5496,0.9208,0.9818,0.9924,0.0021,0.0001
