mode,regime,act,width,smooth,seed,nparams,lmax,pow_gap,trP,trP_sem,probes,acc,status
mlp,ntk,softplus,2048,1,4,5824522,2.159670e-01,1.37e-03,2.503484e-07,2.907e-08,24,0.8964,ok
mlp,sp,gelu,2048,1,0,5824522,3.827636e-02,1.27e-03,1.418361e-07,4.868e-09,24,0.9857,ok
mlp,sp,gelu,2048,1,1,5824522,4.765780e-02,5.99e-05,1.507107e-07,4.672e-09,24,0.9854,ok
mlp,sp,gelu,2048,1,2,5824522,4.001041e-02,4.72e-04,1.484142e-07,4.786e-09,24,0.9857,ok
mlp,sp,gelu,2048,1,3,5824522,5.400108e-02,5.17e-06,1.554247e-07,5.516e-09,24,0.9867,ok
mlp,sp,gelu,2048,1,4,5824522,4.524760e-02,6.03e-05,1.623146e-07,7.580e-09,24,0.9849,ok
mlp,sp,swish,2048,1,0,5824522,5.038615e-02,1.43e-03,1.919767e-07,6.952e-09,24,0.9855,ok
mlp,sp,swish,2048,1,1,5824522,6.133104e-02,2.19e-06,2.006605e-07,9.118e-09,24,0.9851,ok
mlp,sp,swish,2048,1,2,5824522,7.425056e-02,1.00e-07,2.073212e-07,5.660e-09,24,0.9852,ok
mlp,sp,swish,2048,1,3,5824522,5.874749e-02,1.74e-05,1.911511e-07,7.538e-09,24,0.9847,ok
mlp,sp,swish,2048,1,4,5824522,5.517785e-02,1.05e-03,1.859038e-07,7.016e-09,24,0.9848,ok
mlp,mup,relu,2048,0,0,5824522,1.862694e-02,3.50e-06,2.564381e-08,1.314e-09,24,0.9875,ok
mlp,mup,relu,2048,0,1,5824522,1.762766e-02,8.98e-06,2.476992e-08,1.593e-09,24,0.9866,ok
mlp,mup,relu,2048,0,2,5824522,1.783378e-02,2.66e-04,2.608481e-08,1.501e-09,24,0.9871,ok
mlp,mup,relu,2048,0,3,5824522,2.309059e-02,2.98e-06,3.191238e-08,1.631e-09,24,0.987,ok
mlp,mup,relu,2048,0,4,5824522,1.789020e-02,8.57e-05,2.503722e-08,1.648e-09,24,0.9866,ok
mlp,mup,tanh,2048,1,0,5824522,4.369235e-03,2.13e-07,2.293831e-08,5.431e-10,24,0.9843,ok
mlp,mup,tanh,2048,1,1,5824522,4.720773e-03,1.20e-03,2.734606e-08,6.243e-10,24,0.9856,ok
mlp,mup,tanh,2048,1,2,5824522,4.916671e-03,9.84e-04,2.638248e-08,5.637e-10,24,0.9846,ok
mlp,mup,tanh,2048,1,3,5824522,5.196833e-03,1.79e-05,2.759301e-08,8.423e-10,24,0.9848,ok
mlp,mup,tanh,2048,1,4,5824522,5.333250e-03,1.66e-05,2.622473e-08,5.457e-10,24,0.9849,ok
mlp,mup,softplus,2048,1,0,5824522,2.824323e-02,1.06e-06,3.220731e-08,1.997e-09,24,0.9869,ok
mlp,mup,softplus,2048,1,1,5824522,2.318955e-02,7.72e-04,3.127864e-08,2.240e-09,24,0.9868,ok
mlp,mup,softplus,2048,1,2,5824522,2.562020e-02,1.16e-05,3.509534e-08,1.642e-09,24,0.9876,ok
mlp,mup,softplus,2048,1,3,5824522,1.850224e-02,1.91e-06,2.221880e-08,1.332e-09,24,0.9876,ok
mlp,mup,softplus,2048,1,4,5824522,2.319603e-02,1.21e-04,3.056685e-08,2.146e-09,24,0.9857,ok
mlp,ntk,softplus,1024,1,0,1863690,2.627671e-01,2.53e-05,9.114233e-07,8.074e-08,24,0.8964,ok
mlp,ntk,softplus,1024,1,1,1863690,2.542451e-01,5.26e-05,8.933806e-07,6.525e-08,24,0.8993,ok
mlp,ntk,softplus,1024,1,2,1863690,2.508158e-01,4.03e-04,1.048710e-06,8.919e-08,24,0.8994,ok
mlp,ntk,softplus,1024,1,3,1863690,2.507873e-01,1.52e-03,8.204071e-07,1.023e-07,24,0.8998,ok
mlp,ntk,softplus,1024,1,4,1863690,2.646823e-01,2.76e-04,8.701828e-07,8.428e-08,24,0.8993,ok
mlp,sp,gelu,1024,1,0,1863690,3.922596e-02,6.72e-04,4.173276e-07,2.331e-08,24,0.9867,ok
mlp,sp,gelu,1024,1,1,1863690,4.366419e-02,1.25e-03,4.648812e-07,1.892e-08,24,0.9864,ok
mlp,sp,gelu,1024,1,2,1863690,4.495895e-02,3.81e-06,4.402395e-07,1.934e-08,24,0.9855,ok
mlp,sp,gelu,1024,1,3,1863690,4.065310e-02,5.12e-04,3.954773e-07,1.440e-08,24,0.9868,ok
mlp,sp,gelu,1024,1,4,1863690,4.518489e-02,1.55e-04,4.094277e-07,1.132e-08,24,0.9867,ok
mlp,sp,swish,1024,1,0,1863690,5.636945e-02,3.30e-07,5.120829e-07,1.751e-08,24,0.985,ok
mlp,sp,swish,1024,1,1,1863690,6.590827e-02,1.47e-06,5.694152e-07,1.684e-08,24,0.9856,ok
mlp,sp,swish,1024,1,2,1863690,6.290840e-02,7.99e-04,6.690576e-07,2.568e-08,24,0.9858,ok
mlp,sp,swish,1024,1,3,1863690,7.506070e-02,8.93e-07,5.562865e-07,2.268e-08,24,0.9867,ok
mlp,sp,swish,1024,1,4,1863690,7.180274e-02,0.00e+00,5.441598e-07,2.198e-08,24,0.9852,ok
mlp,mup,relu,1024,0,0,1863690,2.215246e-02,0.00e+00,6.520383e-08,5.257e-09,24,0.9874,ok
mlp,mup,relu,1024,0,1,1863690,1.747657e-02,5.85e-04,1.129419e-07,7.006e-09,24,0.9872,ok
mlp,mup,relu,1024,0,2,1863690,1.848763e-02,1.93e-03,1.064517e-07,6.659e-09,24,0.9871,ok
mlp,mup,relu,1024,0,3,1863690,2.050259e-02,3.64e-05,1.128747e-07,5.701e-09,24,0.9866,ok
mlp,mup,relu,1024,0,4,1863690,2.306370e-02,4.12e-06,1.065761e-07,6.286e-09,24,0.9854,ok
mlp,mup,tanh,1024,1,0,1863690,6.311627e-03,3.43e-05,1.185400e-07,3.161e-09,24,0.9846,ok
mlp,mup,tanh,1024,1,1,1863690,7.401126e-03,6.37e-05,1.275848e-07,3.436e-09,24,0.9843,ok
mlp,mup,tanh,1024,1,2,1863690,7.859447e-03,1.42e-06,1.195232e-07,3.434e-09,24,0.9845,ok
mlp,mup,tanh,1024,1,3,1863690,7.494680e-03,7.97e-05,1.372390e-07,4.794e-09,24,0.9833,ok
mlp,mup,tanh,1024,1,4,1863690,5.735096e-03,3.02e-04,1.217909e-07,3.142e-09,24,0.9851,ok
mlp,mup,softplus,1024,1,0,1863690,1.925837e-02,1.01e-04,9.693974e-08,5.292e-09,24,0.9869,ok
mlp,mup,softplus,1024,1,1,1863690,1.962785e-02,2.09e-06,9.399315e-08,7.066e-09,24,0.9867,ok
mlp,mup,softplus,1024,1,2,1863690,2.260054e-02,1.53e-04,1.240242e-07,9.611e-09,24,0.9868,ok
mlp,mup,softplus,1024,1,3,1863690,3.342357e-02,3.01e-06,1.259087e-07,1.073e-08,24,0.9862,ok
mlp,mup,softplus,1024,1,4,1863690,2.720178e-02,2.88e-06,1.251386e-07,9.054e-09,24,0.9872,ok
mlp,ntk,softplus,512,1,0,669706,3.308088e-01,1.66e-04,3.073979e-06,2.541e-07,24,0.9059,ok
mlp,ntk,softplus,512,1,1,669706,3.316216e-01,2.07e-04,3.313478e-06,3.669e-07,24,0.9057,ok
mlp,ntk,softplus,512,1,2,669706,3.344255e-01,2.32e-06,3.187244e-06,2.969e-07,24,0.9057,ok
