mode,regime,act,width,smooth,seedA,seedB,t,rq_t,flen_t,dnorm,status
mlp,ntk,relu,4096,0,2,3,0.000000,1.909177e-07,3.582830e+00,6126.395025,ok
mlp,ntk,relu,4096,0,2,3,0.125000,4.023460e-07,7.550569e+00,6126.395025,ok
mlp,ntk,relu,4096,0,2,3,0.250000,4.992609e-07,9.369309e+00,6126.395025,ok
mlp,ntk,relu,4096,0,2,3,0.375000,2.023981e-07,3.798275e+00,6126.395025,ok
mlp,ntk,relu,4096,0,2,3,0.500000,1.015266e-08,1.905285e-01,6126.395025,ok
mlp,ntk,relu,4096,0,2,3,0.625000,2.133649e-07,4.004082e+00,6126.395025,ok
mlp,ntk,relu,4096,0,2,3,0.750000,5.000327e-07,9.383793e+00,6126.395025,ok
mlp,ntk,relu,4096,0,2,3,0.875000,3.861303e-07,7.246260e+00,6126.395025,ok
mlp,ntk,relu,4096,0,2,3,1.000000,1.815159e-07,3.406392e+00,6126.395025,ok
mlp,ntk,relu,4096,0,2,4,0.000000,1.844108e-07,3.462425e+00,6127.904373,ok
mlp,ntk,relu,4096,0,2,4,0.125000,3.927737e-07,7.374564e+00,6127.904373,ok
mlp,ntk,relu,4096,0,2,4,0.250000,4.958788e-07,9.310426e+00,6127.904373,ok
mlp,ntk,relu,4096,0,2,4,0.375000,2.051142e-07,3.851143e+00,6127.904373,ok
mlp,ntk,relu,4096,0,2,4,0.500000,9.652276e-09,1.812273e-01,6127.904373,ok
mlp,ntk,relu,4096,0,2,4,0.625000,2.098859e-07,3.940735e+00,6127.904373,ok
mlp,ntk,relu,4096,0,2,4,0.750000,4.894162e-07,9.189085e+00,6127.904373,ok
mlp,ntk,relu,4096,0,2,4,0.875000,3.848536e-07,7.225859e+00,6127.904373,ok
mlp,ntk,relu,4096,0,2,4,1.000000,1.844202e-07,3.462601e+00,6127.904373,ok
mlp,ntk,relu,4096,0,3,4,0.000000,1.833447e-07,3.443070e+00,6128.493126,ok
mlp,ntk,relu,4096,0,3,4,0.125000,3.846605e-07,7.223622e+00,6128.493126,ok
mlp,ntk,relu,4096,0,3,4,0.250000,4.906398e-07,9.213830e+00,6128.493126,ok
mlp,ntk,relu,4096,0,3,4,0.375000,2.026831e-07,3.806230e+00,6128.493126,ok
mlp,ntk,relu,4096,0,3,4,0.500000,9.829927e-09,1.845983e-01,6128.493126,ok
mlp,ntk,relu,4096,0,3,4,0.625000,2.068643e-07,3.884750e+00,6128.493126,ok
mlp,ntk,relu,4096,0,3,4,0.750000,4.754343e-07,8.928283e+00,6128.493126,ok
mlp,ntk,relu,4096,0,3,4,0.875000,3.825822e-07,7.184592e+00,6128.493126,ok
mlp,ntk,relu,4096,0,3,4,1.000000,1.818756e-07,3.415480e+00,6128.493126,ok
mlp,ntk,tanh,4096,1,0,1,0.000000,1.067888e-07,2.003830e+00,6126.07966,ok
mlp,ntk,tanh,4096,1,0,1,0.125000,2.356922e-07,4.422628e+00,6126.07966,ok
mlp,ntk,tanh,4096,1,0,1,0.250000,3.073235e-07,5.766749e+00,6126.07966,ok
mlp,ntk,tanh,4096,1,0,1,0.375000,1.367570e-07,2.566167e+00,6126.07966,ok
mlp,ntk,tanh,4096,1,0,1,0.500000,5.935391e-09,1.113742e-01,6126.07966,ok
mlp,ntk,tanh,4096,1,0,1,0.625000,1.325625e-07,2.487458e+00,6126.07966,ok
mlp,ntk,tanh,4096,1,0,1,0.750000,3.072493e-07,5.765357e+00,6126.07966,ok
mlp,ntk,tanh,4096,1,0,1,0.875000,2.470252e-07,4.635286e+00,6126.07966,ok
mlp,ntk,tanh,4096,1,0,1,1.000000,1.107241e-07,2.077675e+00,6126.07966,ok
mlp,ntk,tanh,4096,1,0,2,0.000000,1.094861e-07,2.057559e+00,6130.722307,ok
mlp,ntk,tanh,4096,1,0,2,0.125000,2.376327e-07,4.465802e+00,6130.722307,ok
mlp,ntk,tanh,4096,1,0,2,0.250000,2.996411e-07,5.631118e+00,6130.722307,ok
mlp,ntk,tanh,4096,1,0,2,0.375000,1.295753e-07,2.435093e+00,6130.722307,ok
mlp,ntk,tanh,4096,1,0,2,0.500000,5.700741e-09,1.071333e-01,6130.722307,ok
mlp,ntk,tanh,4096,1,0,2,0.625000,1.373729e-07,2.581633e+00,6130.722307,ok
mlp,ntk,tanh,4096,1,0,2,0.750000,2.954961e-07,5.553221e+00,6130.722307,ok
mlp,ntk,tanh,4096,1,0,2,0.875000,2.232991e-07,4.196434e+00,6130.722307,ok
mlp,ntk,tanh,4096,1,0,2,1.000000,1.014299e-07,1.906159e+00,6130.722307,ok
mlp,ntk,tanh,4096,1,0,3,0.000000,1.176074e-07,2.208443e+00,6128.309718,ok
mlp,ntk,tanh,4096,1,0,3,0.125000,2.633077e-07,4.944415e+00,6128.309718,ok
mlp,ntk,tanh,4096,1,0,3,0.250000,3.307365e-07,6.210599e+00,6128.309718,ok
mlp,ntk,tanh,4096,1,0,3,0.375000,1.377897e-07,2.587428e+00,6128.309718,ok
mlp,ntk,tanh,4096,1,0,3,0.500000,6.508111e-09,1.222099e-01,6128.309718,ok
mlp,ntk,tanh,4096,1,0,3,0.625000,1.442664e-07,2.709048e+00,6128.309718,ok
mlp,ntk,tanh,4096,1,0,3,0.750000,3.262047e-07,6.125501e+00,6128.309718,ok
mlp,ntk,tanh,4096,1,0,3,0.875000,2.539500e-07,4.768696e+00,6128.309718,ok
mlp,ntk,tanh,4096,1,0,3,1.000000,1.102462e-07,2.070212e+00,6128.309718,ok
