kind,shard,regime,act,width,seed,seedA,seedB,acc,accA,accB,barrier,dF_op,wmove,epochs,status
net,0,ntk,relu,1,0,,,0.8827,,,,,0.4125,100,ok
net,0,ntk,relu,1,1,,,0.8884,,,,,0.4137,100,ok
net,0,ntk,relu,1,2,,,0.8845,,,,,0.4068,100,ok
net,0,ntk,relu,1,3,,,0.879,,,,,0.4117,100,ok
net,0,ntk,relu,1,4,,,0.8813,,,,,0.4051,100,ok
pair,0,ntk,relu,1,,0,1,,0.8827,0.8884,6.3847,,,100,ok
pair,0,ntk,relu,1,,0,2,,0.8827,0.8845,3.6992,,,100,ok
pair,0,ntk,relu,1,,0,3,,0.8827,0.879,6.9532,,,100,ok
pair,0,ntk,relu,1,,0,4,,0.8827,0.8813,7.355,,,100,ok
pair,0,ntk,relu,1,,1,2,,0.8884,0.8845,3.4535,,,100,ok
pair,0,ntk,relu,1,,1,3,,0.8884,0.879,4.516,,,100,ok
pair,0,ntk,relu,1,,1,4,,0.8884,0.8813,4.0294,,,100,ok
pair,0,ntk,relu,1,,2,3,,0.8845,0.879,2.741,,,100,ok
pair,0,ntk,relu,1,,2,4,,0.8845,0.8813,5.8633,,,100,ok
pair,0,ntk,relu,1,,3,4,,0.879,0.8813,4.6939,,,100,ok
net,0,ntk,relu,2,0,,,0.8909,,,,,0.2198,100,ok
net,0,ntk,relu,2,1,,,0.8856,,,,,0.2227,100,ok
net,0,ntk,relu,2,2,,,0.8836,,,,,0.2198,100,ok
net,0,ntk,relu,2,3,,,0.8888,,,,,0.2217,100,ok
net,0,ntk,relu,2,4,,,0.8799,,,,,0.2204,100,ok
pair,0,ntk,relu,2,,0,1,,0.8909,0.8856,3.406,,,100,ok
pair,0,ntk,relu,2,,0,2,,0.8909,0.8836,6.9516,,,100,ok
pair,0,ntk,relu,2,,0,3,,0.8909,0.8888,4.7894,,,100,ok
pair,0,ntk,relu,2,,0,4,,0.8909,0.8799,9.2456,,,100,ok
pair,0,ntk,relu,2,,1,2,,0.8856,0.8836,8.2615,,,100,ok
pair,0,ntk,relu,2,,1,3,,0.8856,0.8888,2.7075,,,100,ok
pair,0,ntk,relu,2,,1,4,,0.8856,0.8799,6.1106,,,100,ok
pair,0,ntk,relu,2,,2,3,,0.8836,0.8888,5.6213,,,100,ok
pair,0,ntk,relu,2,,2,4,,0.8836,0.8799,3.7801,,,100,ok
pair,0,ntk,relu,2,,3,4,,0.8888,0.8799,4.637,,,100,ok
net,0,ntk,relu,4,0,,,0.8872,,,,,0.1158,100,ok
net,0,ntk,relu,4,1,,,0.8863,,,,,0.1164,100,ok
net,0,ntk,relu,4,2,,,0.8883,,,,,0.1197,100,ok
net,0,ntk,relu,4,3,,,0.8887,,,,,0.1174,100,ok
net,0,ntk,relu,4,4,,,0.8872,,,,,0.1173,100,ok
pair,0,ntk,relu,4,,0,1,,0.8872,0.8863,5.3085,,,100,ok
pair,0,ntk,relu,4,,0,2,,0.8872,0.8883,4.786,,,100,ok
pair,0,ntk,relu,4,,0,3,,0.8872,0.8887,3.3605,,,100,ok
pair,0,ntk,relu,4,,0,4,,0.8872,0.8872,9.8698,,,100,ok
pair,0,ntk,relu,4,,1,2,,0.8863,0.8883,5.2744,,,100,ok
pair,0,ntk,relu,4,,1,3,,0.8863,0.8887,3.6995,,,100,ok
pair,0,ntk,relu,4,,1,4,,0.8863,0.8872,2.3028,,,100,ok
pair,0,ntk,relu,4,,2,3,,0.8883,0.8887,3.7071,,,100,ok
pair,0,ntk,relu,4,,2,4,,0.8883,0.8872,3.9883,,,100,ok
pair,0,ntk,relu,4,,3,4,,0.8887,0.8872,4.5438,,,100,ok
net,0,ntk,relu,8,0,,,0.8916,,,,,0.063,100,ok
net,0,ntk,relu,8,1,,,0.8872,,,,,0.0624,100,ok
net,0,ntk,relu,8,2,,,0.8868,,,,,0.063,100,ok
net,0,ntk,relu,8,3,,,0.8889,,,,,0.0629,100,ok
net,0,ntk,relu,8,4,,,0.8866,,,,,0.0625,100,ok
pair,0,ntk,relu,8,,0,1,,0.8916,0.8872,5.0673,,,100,ok
pair,0,ntk,relu,8,,0,2,,0.8916,0.8868,5.7694,,,100,ok
pair,0,ntk,relu,8,,0,3,,0.8916,0.8889,3.3628,,,100,ok
pair,0,ntk,relu,8,,0,4,,0.8916,0.8866,6.2407,,,100,ok
pair,0,ntk,relu,8,,1,2,,0.8872,0.8868,2.9911,,,100,ok
pair,0,ntk,relu,8,,1,3,,0.8872,0.8889,3.1754,,,100,ok
pair,0,ntk,relu,8,,1,4,,0.8872,0.8866,7.7252,,,100,ok
pair,0,ntk,relu,8,,2,3,,0.8868,0.8889,3.0135,,,100,ok
pair,0,ntk,relu,8,,2,4,,0.8868,0.8866,5.4947,,,100,ok
pair,0,ntk,relu,8,,3,4,,0.8889,0.8866,2.6491,,,100,ok
net,0,ntk,gelu,1,0,,,0.8808,,,,0.53384,0.4085,100,ok
net,0,ntk,gelu,1,1,,,0.8847,,,,1.979246,0.3981,100,ok
net,0,ntk,gelu,1,2,,,0.8814,,,,1.215369,0.4037,100,ok
net,0,ntk,gelu,1,3,,,0.8874,,,,0.804662,0.4208,100,ok
net,0,ntk,gelu,1,4,,,0.8863,,,,0.894314,0.4153,100,ok
pair,0,ntk,gelu,1,,0,1,,0.8808,0.8847,4.9736,,,100,ok
pair,0,ntk,gelu,1,,0,2,,0.8808,0.8814,6.8785,,,100,ok
pair,0,ntk,gelu,1,,0,3,,0.8808,0.8874,3.3675,,,100,ok
pair,0,ntk,gelu,1,,0,4,,0.8808,0.8863,3.2593,,,100,ok
pair,0,ntk,gelu,1,,1,2,,0.8847,0.8814,9.5132,,,100,ok
pair,0,ntk,gelu,1,,1,3,,0.8847,0.8874,5.7497,,,100,ok
pair,0,ntk,gelu,1,,1,4,,0.8847,0.8863,8.059,,,100,ok
pair,0,ntk,gelu,1,,2,3,,0.8814,0.8874,6.018,,,100,ok
pair,0,ntk,gelu,1,,2,4,,0.8814,0.8863,5.1192,,,100,ok
pair,0,ntk,gelu,1,,3,4,,0.8874,0.8863,5.3378,,,100,ok
net,0,ntk,gelu,2,0,,,0.8874,,,,0.343023,0.2178,100,ok
net,0,ntk,gelu,2,1,,,0.8843,,,,0.714003,0.2207,100,ok
net,0,ntk,gelu,2,2,,,0.8855,,,,0.825417,0.2157,100,ok
net,0,ntk,gelu,2,3,,,0.8885,,,,0.278964,0.2185,100,ok
net,0,ntk,gelu,2,4,,,0.8861,,,,0.27852,0.2228,100,ok
pair,0,ntk,gelu,2,,0,1,,0.8874,0.8843,5.1721,,,100,ok
pair,0,ntk,gelu,2,,0,2,,0.8874,0.8855,6.6482,,,100,ok
pair,0,ntk,gelu,2,,0,3,,0.8874,0.8885,4.7335,,,100,ok
pair,0,ntk,gelu,2,,0,4,,0.8874,0.8861,5.6104,,,100,ok
pair,0,ntk,gelu,2,,1,2,,0.8843,0.8855,7.4022,,,100,ok
pair,0,ntk,gelu,2,,1,3,,0.8843,0.8885,3.8026,,,100,ok
pair,0,ntk,gelu,2,,1,4,,0.8843,0.8861,5.7941,,,100,ok
pair,0,ntk,gelu,2,,2,3,,0.8855,0.8885,6.9269,,,100,ok
pair,0,ntk,gelu,2,,2,4,,0.8855,0.8861,5.1714,,,100,ok
pair,0,ntk,gelu,2,,3,4,,0.8885,0.8861,4.0019,,,100,ok
net,0,ntk,gelu,4,0,,,0.8916,,,,0.276313,0.1172,100,ok
net,0,ntk,gelu,4,1,,,0.8878,,,,0.600026,0.1155,100,ok
net,0,ntk,gelu,4,2,,,0.8866,,,,0.194313,0.1162,100,ok
net,0,ntk,gelu,4,3,,,0.8856,,,,0.530576,0.1157,100,ok
net,0,ntk,gelu,4,4,,,0.8862,,,,0.342161,0.1157,100,ok
pair,0,ntk,gelu,4,,0,1,,0.8916,0.8878,3.0863,,,100,ok
pair,0,ntk,gelu,4,,0,2,,0.8916,0.8866,5.2582,,,100,ok
pair,0,ntk,gelu,4,,0,3,,0.8916,0.8856,4.0442,,,100,ok
pair,0,ntk,gelu,4,,0,4,,0.8916,0.8862,5.0412,,,100,ok
pair,0,ntk,gelu,4,,1,2,,0.8878,0.8866,3.5057,,,100,ok
pair,0,ntk,gelu,4,,1,3,,0.8878,0.8856,4.1031,,,100,ok
pair,0,ntk,gelu,4,,1,4,,0.8878,0.8862,3.8931,,,100,ok
pair,0,ntk,gelu,4,,2,3,,0.8866,0.8856,8.0283,,,100,ok
pair,0,ntk,gelu,4,,2,4,,0.8866,0.8862,4.3687,,,100,ok
pair,0,ntk,gelu,4,,3,4,,0.8856,0.8862,2.8634,,,100,ok
