kind,shard,regime,act,width,seed,seedA,seedB,acc,accA,accB,barrier,dF_op,wmove,epochs,status
net,1,ntk,swish,64,0,,,0.9194,,,,0.004153,0.1795,30,ok
net,1,ntk,swish,64,1,,,0.9287,,,,0.00331,0.1838,30,ok
net,1,ntk,swish,64,2,,,0.9214,,,,0.00378,0.185,30,ok
net,1,ntk,swish,64,3,,,0.9263,,,,0.003476,0.1858,30,ok
net,1,ntk,swish,64,4,,,0.9229,,,,0.004141,0.1769,30,ok
pair,1,ntk,swish,64,,0,1,,0.9194,0.9287,0.3892,,,30,ok
pair,1,ntk,swish,64,,0,2,,0.9194,0.9214,0.4126,,,30,ok
pair,1,ntk,swish,64,,0,3,,0.9194,0.9263,0.3649,,,30,ok
pair,1,ntk,swish,64,,0,4,,0.9194,0.9229,0.3556,,,30,ok
pair,1,ntk,swish,64,,1,2,,0.9287,0.9214,0.3096,,,30,ok
pair,1,ntk,swish,64,,1,3,,0.9287,0.9263,0.7936,,,30,ok
pair,1,ntk,swish,64,,1,4,,0.9287,0.9229,0.384,,,30,ok
pair,1,ntk,swish,64,,2,3,,0.9214,0.9263,0.7129,,,30,ok
pair,1,ntk,swish,64,,2,4,,0.9214,0.9229,0.5327,,,30,ok
pair,1,ntk,swish,64,,3,4,,0.9263,0.9229,0.767,,,30,ok
net,1,ntk,swish,128,0,,,0.9233,,,,0.002519,0.1302,30,ok
net,1,ntk,swish,128,1,,,0.9216,,,,0.001635,0.1338,30,ok
net,1,ntk,swish,128,2,,,0.921,,,,0.001572,0.1336,30,ok
net,1,ntk,swish,128,3,,,0.9217,,,,0.002112,0.1288,30,ok
net,1,ntk,swish,128,4,,,0.9178,,,,0.00265,0.1275,30,ok
pair,1,ntk,swish,128,,0,1,,0.9233,0.9216,0.5678,,,30,ok
pair,1,ntk,swish,128,,0,2,,0.9233,0.921,0.5157,,,30,ok
pair,1,ntk,swish,128,,0,3,,0.9233,0.9217,0.4617,,,30,ok
pair,1,ntk,swish,128,,0,4,,0.9233,0.9178,0.5659,,,30,ok
pair,1,ntk,swish,128,,1,2,,0.9216,0.921,0.7048,,,30,ok
pair,1,ntk,swish,128,,1,3,,0.9216,0.9217,0.4851,,,30,ok
pair,1,ntk,swish,128,,1,4,,0.9216,0.9178,0.4561,,,30,ok
