kind,shard,regime,act,width,seed,seedA,seedB,acc,accA,accB,barrier,dF_op,wmove,epochs,status
net,5,mup,swish,64,0,,,0.982,,,,0.090575,1.7472,30,ok
net,5,mup,swish,64,1,,,0.9803,,,,0.139758,1.7835,30,ok
net,5,mup,swish,64,2,,,0.981,,,,0.085605,1.782,30,ok
net,5,mup,swish,64,3,,,0.981,,,,0.135575,1.7489,30,ok
net,5,mup,swish,64,4,,,0.9811,,,,0.088703,1.7688,30,ok
pair,5,mup,swish,64,,0,1,,0.982,0.9803,0.0436,,,30,ok
pair,5,mup,swish,64,,0,2,,0.982,0.981,0.0857,,,30,ok
pair,5,mup,swish,64,,0,3,,0.982,0.981,0.0541,,,30,ok
pair,5,mup,swish,64,,0,4,,0.982,0.9811,0.0592,,,30,ok
pair,5,mup,swish,64,,1,2,,0.9803,0.981,0.0452,,,30,ok
pair,5,mup,swish,64,,1,3,,0.9803,0.981,0.0708,,,30,ok
pair,5,mup,swish,64,,1,4,,0.9803,0.9811,0.0673,,,30,ok
pair,5,mup,swish,64,,2,3,,0.981,0.981,0.0589,,,30,ok
pair,5,mup,swish,64,,2,4,,0.981,0.9811,0.0726,,,30,ok
pair,5,mup,swish,64,,3,4,,0.981,0.9811,0.0548,,,30,ok
net,5,mup,swish,128,0,,,0.9828,,,,0.010695,1.6383,30,ok
net,5,mup,swish,128,1,,,0.9821,,,,0.012078,1.6623,30,ok
net,5,mup,swish,128,2,,,0.9837,,,,0.02434,1.6403,30,ok
net,5,mup,swish,128,3,,,0.9852,,,,0.021447,1.6322,30,ok
net,5,mup,swish,128,4,,,0.9842,,,,0.009962,1.6082,30,ok
pair,5,mup,swish,128,,0,1,,0.9828,0.9821,0.0216,,,30,ok
pair,5,mup,swish,128,,0,2,,0.9828,0.9837,0.0215,,,30,ok
pair,5,mup,swish,128,,0,3,,0.9828,0.9852,0.0179,,,30,ok
pair,5,mup,swish,128,,0,4,,0.9828,0.9842,0.0152,,,30,ok
pair,5,mup,swish,128,,1,2,,0.9821,0.9837,0.0233,,,30,ok
pair,5,mup,swish,128,,1,3,,0.9821,0.9852,0.0236,,,30,ok
pair,5,mup,swish,128,,1,4,,0.9821,0.9842,0.0167,,,30,ok
pair,5,mup,swish,128,,2,3,,0.9837,0.9852,0.0188,,,30,ok
pair,5,mup,swish,128,,2,4,,0.9837,0.9842,0.0123,,,30,ok
pair,5,mup,swish,128,,3,4,,0.9852,0.9842,0.0157,,,30,ok
net,5,mup,swish,256,0,,,0.986,,,,0.004519,1.5684,30,ok
net,5,mup,swish,256,1,,,0.985,,,,0.003168,1.5728,30,ok
net,5,mup,swish,256,2,,,0.9864,,,,0.007628,1.5549,30,ok
net,5,mup,swish,256,3,,,0.9863,,,,0.006821,1.5797,30,ok
net,5,mup,swish,256,4,,,0.9868,,,,0.007832,1.5323,30,ok
pair,5,mup,swish,256,,0,1,,0.986,0.985,0.0058,,,30,ok
pair,5,mup,swish,256,,0,2,,0.986,0.9864,0.0081,,,30,ok
pair,5,mup,swish,256,,0,3,,0.986,0.9863,0.0059,,,30,ok
pair,5,mup,swish,256,,0,4,,0.986,0.9868,0.0083,,,30,ok
pair,5,mup,swish,256,,1,2,,0.985,0.9864,0.0057,,,30,ok
pair,5,mup,swish,256,,1,3,,0.985,0.9863,0.0088,,,30,ok
pair,5,mup,swish,256,,1,4,,0.985,0.9868,0.0079,,,30,ok
pair,5,mup,swish,256,,2,3,,0.9864,0.9863,0.0062,,,30,ok
pair,5,mup,swish,256,,2,4,,0.9864,0.9868,0.0086,,,30,ok
pair,5,mup,swish,256,,3,4,,0.9863,0.9868,0.0075,,,30,ok
net,5,mup,swish,512,0,,,0.9861,,,,0.002396,1.55,30,ok
net,5,mup,swish,512,1,,,0.9866,,,,0.002679,1.5464,30,ok
net,5,mup,swish,512,2,,,0.986,,,,0.001655,1.5279,30,ok
net,5,mup,swish,512,3,,,0.9863,,,,0.001174,1.5436,30,ok
net,5,mup,swish,512,4,,,0.9877,,,,0.001528,1.5528,30,ok
pair,5,mup,swish,512,,0,1,,0.9861,0.9866,0.0029,,,30,ok
pair,5,mup,swish,512,,0,2,,0.9861,0.986,0.0032,,,30,ok
pair,5,mup,swish,512,,0,3,,0.9861,0.9863,0.0032,,,30,ok
pair,5,mup,swish,512,,0,4,,0.9861,0.9877,0.0029,,,30,ok
pair,5,mup,swish,512,,1,2,,0.9866,0.986,0.0023,,,30,ok
pair,5,mup,swish,512,,1,3,,0.9866,0.9863,0.0032,,,30,ok
pair,5,mup,swish,512,,1,4,,0.9866,0.9877,0.0025,,,30,ok
pair,5,mup,swish,512,,2,3,,0.986,0.9863,0.0029,,,30,ok
pair,5,mup,swish,512,,2,4,,0.986,0.9877,0.0034,,,30,ok
pair,5,mup,swish,512,,3,4,,0.9863,0.9877,0.0025,,,30,ok
net,5,mup,swish,1024,0,,,0.9871,,,,0.000818,1.5397,30,ok
net,5,mup,swish,1024,1,,,0.986,,,,0.001035,1.547,30,ok
net,5,mup,swish,1024,2,,,0.987,,,,0.000928,1.5482,30,ok
net,5,mup,swish,1024,3,,,0.9871,,,,0.001209,1.5543,30,ok
net,5,mup,swish,1024,4,,,0.9866,,,,0.001285,1.5492,30,ok
pair,5,mup,swish,1024,,0,1,,0.9871,0.986,0.0014,,,30,ok
pair,5,mup,swish,1024,,0,2,,0.9871,0.987,0.0012,,,30,ok
pair,5,mup,swish,1024,,0,3,,0.9871,0.9871,0.0009,,,30,ok
pair,5,mup,swish,1024,,0,4,,0.9871,0.9866,0.0016,,,30,ok
pair,5,mup,swish,1024,,1,2,,0.986,0.987,0.0017,,,30,ok
pair,5,mup,swish,1024,,1,3,,0.986,0.9871,0.0012,,,30,ok
pair,5,mup,swish,1024,,1,4,,0.986,0.9866,0.0011,,,30,ok
pair,5,mup,swish,1024,,2,3,,0.987,0.9871,0.0012,,,30,ok
pair,5,mup,swish,1024,,2,4,,0.987,0.9866,0.0014,,,30,ok
pair,5,mup,swish,1024,,3,4,,0.9871,0.9866,0.0012,,,30,ok
net,5,mup,swish,2048,0,,,0.9877,,,,0.000505,1.5777,30,ok
net,5,mup,swish,2048,1,,,0.9872,,,,0.000638,1.5739,30,ok
net,5,mup,swish,2048,2,,,0.9876,,,,0.00069,1.5819,30,ok
net,5,mup,swish,2048,3,,,0.9871,,,,0.000866,1.608,30,ok
net,5,mup,swish,2048,4,,,0.988,,,,0.000735,1.5444,30,ok
pair,5,mup,swish,2048,,0,1,,0.9877,0.9872,0.0006,,,30,ok
pair,5,mup,swish,2048,,0,2,,0.9877,0.9876,0.0007,,,30,ok
pair,5,mup,swish,2048,,0,3,,0.9877,0.9871,0.0005,,,30,ok
pair,5,mup,swish,2048,,0,4,,0.9877,0.988,0.0006,,,30,ok
pair,5,mup,swish,2048,,1,2,,0.9872,0.9876,0.0006,,,30,ok
pair,5,mup,swish,2048,,1,3,,0.9872,0.9871,0.0006,,,30,ok
pair,5,mup,swish,2048,,1,4,,0.9872,0.988,0.0006,,,30,ok
pair,5,mup,swish,2048,,2,3,,0.9876,0.9871,0.0006,,,30,ok
pair,5,mup,swish,2048,,2,4,,0.9876,0.988,0.0006,,,30,ok
pair,5,mup,swish,2048,,3,4,,0.9871,0.988,0.0006,,,30,ok
net,5,mup,swish,4096,0,,,0.9872,,,,0.000459,1.6158,30,ok
net,5,mup,swish,4096,1,,,0.9871,,,,0.000559,1.6033,30,ok
net,5,mup,swish,4096,2,,,0.987,,,,0.000312,1.6413,30,ok
net,5,mup,swish,4096,3,,,0.9877,,,,0.000514,1.6483,30,ok
net,5,mup,swish,4096,4,,,0.9871,,,,0.00034,1.6178,30,ok
pair,5,mup,swish,4096,,0,1,,0.9872,0.9871,0.0005,,,30,ok
pair,5,mup,swish,4096,,0,2,,0.9872,0.987,0.0005,,,30,ok
pair,5,mup,swish,4096,,0,3,,0.9872,0.9877,0.0004,,,30,ok
pair,5,mup,swish,4096,,0,4,,0.9872,0.9871,0.0005,,,30,ok
pair,5,mup,swish,4096,,1,2,,0.9871,0.987,0.0005,,,30,ok
pair,5,mup,swish,4096,,1,3,,0.9871,0.9877,0.0004,,,30,ok
pair,5,mup,swish,4096,,1,4,,0.9871,0.9871,0.0005,,,30,ok
pair,5,mup,swish,4096,,2,3,,0.987,0.9877,0.0004,,,30,ok
pair,5,mup,swish,4096,,2,4,,0.987,0.9871,0.0005,,,30,ok
pair,5,mup,swish,4096,,3,4,,0.9877,0.9871,0.0004,,,30,ok
net,5,mup,softplus,64,0,,,0.9811,,,,0.099688,1.761,30,ok
net,5,mup,softplus,64,1,,,0.9814,,,,0.138115,1.7601,30,ok
net,5,mup,softplus,64,2,,,0.9801,,,,0.216458,1.7441,30,ok
net,5,mup,softplus,64,3,,,0.9803,,,,0.087056,1.7462,30,ok
net,5,mup,softplus,64,4,,,0.9798,,,,0.215416,1.7397,30,ok
pair,5,mup,softplus,64,,0,1,,0.9811,0.9814,0.0614,,,30,ok
pair,5,mup,softplus,64,,0,2,,0.9811,0.9801,0.043,,,30,ok
pair,5,mup,softplus,64,,0,3,,0.9811,0.9803,0.0425,,,30,ok
pair,5,mup,softplus,64,,0,4,,0.9811,0.9798,0.0414,,,30,ok
pair,5,mup,softplus,64,,1,2,,0.9814,0.9801,0.0642,,,30,ok
pair,5,mup,softplus,64,,1,3,,0.9814,0.9803,0.0666,,,30,ok
pair,5,mup,softplus,64,,1,4,,0.9814,0.9798,0.0621,,,30,ok
pair,5,mup,softplus,64,,2,3,,0.9801,0.9803,0.0595,,,30,ok
pair,5,mup,softplus,64,,2,4,,0.9801,0.9798,0.0645,,,30,ok
pair,5,mup,softplus,64,,3,4,,0.9803,0.9798,0.0534,,,30,ok
net,5,mup,softplus,128,0,,,0.9836,,,,0.029566,1.5908,30,ok
net,5,mup,softplus,128,1,,,0.9835,,,,0.026305,1.602,30,ok
net,5,mup,softplus,128,2,,,0.9827,,,,0.020912,1.6016,30,ok
net,5,mup,softplus,128,3,,,0.9838,,,,0.014981,1.596,30,ok
net,5,mup,softplus,128,4,,,0.983,,,,0.019065,1.5985,30,ok
pair,5,mup,softplus,128,,0,1,,0.9836,0.9835,0.0143,,,30,ok
pair,5,mup,softplus,128,,0,2,,0.9836,0.9827,0.0137,,,30,ok
pair,5,mup,softplus,128,,0,3,,0.9836,0.9838,0.0177,,,30,ok
pair,5,mup,softplus,128,,0,4,,0.9836,0.983,0.0179,,,30,ok
pair,5,mup,softplus,128,,1,2,,0.9835,0.9827,0.0195,,,30,ok
pair,5,mup,softplus,128,,1,3,,0.9835,0.9838,0.0167,,,30,ok
pair,5,mup,softplus,128,,1,4,,0.9835,0.983,0.0194,,,30,ok
pair,5,mup,softplus,128,,2,3,,0.9827,0.9838,0.0172,,,30,ok
pair,5,mup,softplus,128,,2,4,,0.9827,0.983,0.0222,,,30,ok
pair,5,mup,softplus,128,,3,4,,0.9838,0.983,0.0273,,,30,ok
net,5,mup,softplus,256,0,,,0.9855,,,,0.004274,1.5364,30,ok
net,5,mup,softplus,256,1,,,0.9856,,,,0.00939,1.5217,30,ok
net,5,mup,softplus,256,2,,,0.9854,,,,0.007726,1.5494,30,ok
net,5,mup,softplus,256,3,,,0.9857,,,,0.00346,1.5225,30,ok
net,5,mup,softplus,256,4,,,0.9854,,,,0.006355,1.5529,30,ok
pair,5,mup,softplus,256,,0,1,,0.9855,0.9856,0.0054,,,30,ok
pair,5,mup,softplus,256,,0,2,,0.9855,0.9854,0.0064,,,30,ok
pair,5,mup,softplus,256,,0,3,,0.9855,0.9857,0.0067,,,30,ok
pair,5,mup,softplus,256,,0,4,,0.9855,0.9854,0.0054,,,30,ok
pair,5,mup,softplus,256,,1,2,,0.9856,0.9854,0.0066,,,30,ok
pair,5,mup,softplus,256,,1,3,,0.9856,0.9857,0.0059,,,30,ok
pair,5,mup,softplus,256,,1,4,,0.9856,0.9854,0.0079,,,30,ok
pair,5,mup,softplus,256,,2,3,,0.9854,0.9857,0.0067,,,30,ok
pair,5,mup,softplus,256,,2,4,,0.9854,0.9854,0.0052,,,30,ok
pair,5,mup,softplus,256,,3,4,,0.9857,0.9854,0.006,,,30,ok
net,5,mup,softplus,512,0,,,0.9855,,,,0.003403,1.5163,30,ok
net,5,mup,softplus,512,1,,,0.9863,,,,0.002454,1.5344,30,ok
net,5,mup,softplus,512,2,,,0.9862,,,,0.005655,1.4938,30,ok
net,5,mup,softplus,512,3,,,0.9858,,,,0.001602,1.4956,30,ok
net,5,mup,softplus,512,4,,,0.9855,,,,0.002147,1.5105,30,ok
pair,5,mup,softplus,512,,0,1,,0.9855,0.9863,0.0024,,,30,ok
pair,5,mup,softplus,512,,0,2,,0.9855,0.9862,0.0027,,,30,ok
pair,5,mup,softplus,512,,0,3,,0.9855,0.9858,0.003,,,30,ok
pair,5,mup,softplus,512,,0,4,,0.9855,0.9855,0.0022,,,30,ok
pair,5,mup,softplus,512,,1,2,,0.9863,0.9862,0.0039,,,30,ok
pair,5,mup,softplus,512,,1,3,,0.9863,0.9858,0.0033,,,30,ok
pair,5,mup,softplus,512,,1,4,,0.9863,0.9855,0.0031,,,30,ok
pair,5,mup,softplus,512,,2,3,,0.9862,0.9858,0.003,,,30,ok
pair,5,mup,softplus,512,,2,4,,0.9862,0.9855,0.0027,,,30,ok
pair,5,mup,softplus,512,,3,4,,0.9858,0.9855,0.0029,,,30,ok
net,5,mup,softplus,1024,0,,,0.9869,,,,0.001064,1.5084,30,ok
net,5,mup,softplus,1024,1,,,0.9867,,,,0.001088,1.4959,30,ok
net,5,mup,softplus,1024,2,,,0.9868,,,,0.001994,1.5038,30,ok
net,5,mup,softplus,1024,3,,,0.9862,,,,0.001347,1.4845,30,ok
net,5,mup,softplus,1024,4,,,0.9872,,,,0.002152,1.5074,30,ok
pair,5,mup,softplus,1024,,0,1,,0.9869,0.9867,0.0012,,,30,ok
