kind,shard,regime,act,width,seed,seedA,seedB,acc,accA,accB,barrier,dF_op,wmove,epochs,status
pair,4,mup,gelu,2,,0,1,,0.9152,0.9127,0.8664,,,100,ok
pair,4,mup,gelu,2,,0,2,,0.9152,0.9164,0.939,,,100,ok
pair,4,mup,gelu,2,,0,3,,0.9152,0.9144,0.7244,,,100,ok
pair,4,mup,gelu,2,,0,4,,0.9152,0.9143,0.6143,,,100,ok
pair,4,mup,gelu,2,,1,2,,0.9127,0.9164,1.1901,,,100,ok
pair,4,mup,gelu,2,,1,3,,0.9127,0.9144,0.533,,,100,ok
pair,4,mup,gelu,2,,1,4,,0.9127,0.9143,0.6496,,,100,ok
pair,4,mup,gelu,2,,2,3,,0.9164,0.9144,0.6405,,,100,ok
pair,4,mup,gelu,2,,2,4,,0.9164,0.9143,0.7153,,,100,ok
pair,4,mup,gelu,2,,3,4,,0.9144,0.9143,0.5166,,,100,ok
net,4,mup,gelu,4,0,,,0.9192,,,,0.701008,2.8544,100,ok
net,4,mup,gelu,4,1,,,0.9196,,,,0.458814,2.8557,100,ok
net,4,mup,gelu,4,2,,,0.9186,,,,0.562404,2.8543,100,ok
net,4,mup,gelu,4,3,,,0.9193,,,,0.417053,2.8615,100,ok
net,4,mup,gelu,4,4,,,0.9202,,,,0.446252,2.8674,100,ok
pair,4,mup,gelu,4,,0,1,,0.9192,0.9196,0.4928,,,100,ok
pair,4,mup,gelu,4,,0,2,,0.9192,0.9186,0.3139,,,100,ok
pair,4,mup,gelu,4,,0,3,,0.9192,0.9193,0.3329,,,100,ok
pair,4,mup,gelu,4,,0,4,,0.9192,0.9202,0.2865,,,100,ok
pair,4,mup,gelu,4,,1,2,,0.9196,0.9186,0.3803,,,100,ok
pair,4,mup,gelu,4,,1,3,,0.9196,0.9193,0.3187,,,100,ok
pair,4,mup,gelu,4,,1,4,,0.9196,0.9202,0.6044,,,100,ok
pair,4,mup,gelu,4,,2,3,,0.9186,0.9193,0.3708,,,100,ok
pair,4,mup,gelu,4,,2,4,,0.9186,0.9202,0.2888,,,100,ok
pair,4,mup,gelu,4,,3,4,,0.9193,0.9202,0.4712,,,100,ok
net,4,mup,gelu,8,0,,,0.9218,,,,0.175975,2.5163,100,ok
net,4,mup,gelu,8,1,,,0.9216,,,,0.897344,2.5316,100,ok
net,4,mup,gelu,8,2,,,0.9203,,,,0.066408,2.5193,100,ok
net,4,mup,gelu,8,3,,,0.9237,,,,0.095319,2.4978,100,ok
net,4,mup,gelu,8,4,,,0.9215,,,,0.706022,2.5099,100,ok
pair,4,mup,gelu,8,,0,1,,0.9218,0.9216,0.1828,,,100,ok
pair,4,mup,gelu,8,,0,2,,0.9218,0.9203,0.3912,,,100,ok
pair,4,mup,gelu,8,,0,3,,0.9218,0.9237,0.2441,,,100,ok
pair,4,mup,gelu,8,,0,4,,0.9218,0.9215,0.2266,,,100,ok
pair,4,mup,gelu,8,,1,2,,0.9216,0.9203,0.1547,,,100,ok
pair,4,mup,gelu,8,,1,3,,0.9216,0.9237,0.1763,,,100,ok
pair,4,mup,gelu,8,,1,4,,0.9216,0.9215,0.2516,,,100,ok
pair,4,mup,gelu,8,,2,3,,0.9203,0.9237,0.2963,,,100,ok
pair,4,mup,gelu,8,,2,4,,0.9203,0.9215,0.1455,,,100,ok
pair,4,mup,gelu,8,,3,4,,0.9237,0.9215,0.1802,,,100,ok
net,4,mup,tanh,1,0,,,0.9126,,,,5.434114,4.3268,100,ok
net,4,mup,tanh,1,1,,,0.9116,,,,4.697559,4.3524,100,ok
net,4,mup,tanh,1,2,,,0.9113,,,,5.408733,4.3025,100,ok
net,4,mup,tanh,1,3,,,0.9079,,,,2.484207,4.3655,100,ok
net,4,mup,tanh,1,4,,,0.9101,,,,3.95389,4.3235,100,ok
pair,4,mup,tanh,1,,0,1,,0.9126,0.9116,1.2549,,,100,ok
pair,4,mup,tanh,1,,0,2,,0.9126,0.9113,2.8529,,,100,ok
pair,4,mup,tanh,1,,0,3,,0.9126,0.9079,2.338,,,100,ok
pair,4,mup,tanh,1,,0,4,,0.9126,0.9101,2.736,,,100,ok
pair,4,mup,tanh,1,,1,2,,0.9116,0.9113,1.9683,,,100,ok
pair,4,mup,tanh,1,,1,3,,0.9116,0.9079,2.3954,,,100,ok
pair,4,mup,tanh,1,,1,4,,0.9116,0.9101,2.4749,,,100,ok
pair,4,mup,tanh,1,,2,3,,0.9113,0.9079,1.7883,,,100,ok
pair,4,mup,tanh,1,,2,4,,0.9113,0.9101,1.3049,,,100,ok
pair,4,mup,tanh,1,,3,4,,0.9079,0.9101,1.0915,,,100,ok
net,4,mup,tanh,2,0,,,0.907,,,,2.741209,3.6003,100,ok
net,4,mup,tanh,2,1,,,0.9131,,,,4.638813,3.6195,100,ok
net,4,mup,tanh,2,2,,,0.9135,,,,6.95684,3.6432,100,ok
net,4,mup,tanh,2,3,,,0.9111,,,,3.468099,3.6211,100,ok
net,4,mup,tanh,2,4,,,0.9141,,,,2.502023,3.6363,100,ok
pair,4,mup,tanh,2,,0,1,,0.907,0.9131,0.7652,,,100,ok
pair,4,mup,tanh,2,,0,2,,0.907,0.9135,1.271,,,100,ok
pair,4,mup,tanh,2,,0,3,,0.907,0.9111,0.9291,,,100,ok
pair,4,mup,tanh,2,,0,4,,0.907,0.9141,1.2293,,,100,ok
pair,4,mup,tanh,2,,1,2,,0.9131,0.9135,1.6303,,,100,ok
pair,4,mup,tanh,2,,1,3,,0.9131,0.9111,1.4079,,,100,ok
pair,4,mup,tanh,2,,1,4,,0.9131,0.9141,1.0639,,,100,ok
pair,4,mup,tanh,2,,2,3,,0.9135,0.9111,1.3312,,,100,ok
pair,4,mup,tanh,2,,2,4,,0.9135,0.9141,1.0134,,,100,ok
pair,4,mup,tanh,2,,3,4,,0.9111,0.9141,1.0351,,,100,ok
net,4,mup,tanh,4,0,,,0.9137,,,,2.517746,3.2281,100,ok
net,4,mup,tanh,4,1,,,0.913,,,,2.710184,3.2458,100,ok
net,4,mup,tanh,4,2,,,0.9127,,,,1.635959,3.2396,100,ok
net,4,mup,tanh,4,3,,,0.9141,,,,0.677272,3.2346,100,ok
net,4,mup,tanh,4,4,,,0.9143,,,,1.05849,3.2253,100,ok
pair,4,mup,tanh,4,,0,1,,0.9137,0.913,1.0502,,,100,ok
pair,4,mup,tanh,4,,0,2,,0.9137,0.9127,0.4796,,,100,ok
pair,4,mup,tanh,4,,0,3,,0.9137,0.9141,0.4558,,,100,ok
