kind,shard,regime,act,width,seed,seedA,seedB,acc,accA,accB,barrier,dF_op,wmove,epochs,status
net,3,sp,swish,64,0,,,0.9805,,,,0.12641,1.7415,30,ok
net,3,sp,swish,64,1,,,0.9805,,,,0.062179,1.7713,30,ok
net,3,sp,swish,64,2,,,0.9793,,,,0.064163,1.7567,30,ok
net,3,sp,swish,64,3,,,0.9798,,,,0.093181,1.7712,30,ok
net,3,sp,swish,64,4,,,0.9793,,,,0.104037,1.7641,30,ok
pair,3,sp,swish,64,,0,1,,0.9805,0.9805,0.0761,,,30,ok
pair,3,sp,swish,64,,0,2,,0.9805,0.9793,0.065,,,30,ok
pair,3,sp,swish,64,,0,3,,0.9805,0.9798,0.0507,,,30,ok
pair,3,sp,swish,64,,0,4,,0.9805,0.9793,0.1294,,,30,ok
pair,3,sp,swish,64,,1,2,,0.9805,0.9793,0.0734,,,30,ok
pair,3,sp,swish,64,,1,3,,0.9805,0.9798,0.0581,,,30,ok
pair,3,sp,swish,64,,1,4,,0.9805,0.9793,0.0732,,,30,ok
pair,3,sp,swish,64,,2,3,,0.9793,0.9798,0.0832,,,30,ok
pair,3,sp,swish,64,,2,4,,0.9793,0.9793,0.0888,,,30,ok
pair,3,sp,swish,64,,3,4,,0.9798,0.9793,0.0508,,,30,ok
net,3,sp,swish,128,0,,,0.9841,,,,0.031214,1.1515,30,ok
net,3,sp,swish,128,1,,,0.9834,,,,0.021863,1.1631,30,ok
net,3,sp,swish,128,2,,,0.984,,,,0.047562,1.1725,30,ok
net,3,sp,swish,128,3,,,0.9845,,,,0.024856,1.1656,30,ok
net,3,sp,swish,128,4,,,0.9835,,,,0.055374,1.1593,30,ok
pair,3,sp,swish,128,,0,1,,0.9841,0.9834,0.0255,,,30,ok
pair,3,sp,swish,128,,0,2,,0.9841,0.984,0.0252,,,30,ok
pair,3,sp,swish,128,,0,3,,0.9841,0.9845,0.0197,,,30,ok
pair,3,sp,swish,128,,0,4,,0.9841,0.9835,0.0232,,,30,ok
pair,3,sp,swish,128,,1,2,,0.9834,0.984,0.0233,,,30,ok
pair,3,sp,swish,128,,1,3,,0.9834,0.9845,0.024,,,30,ok
pair,3,sp,swish,128,,1,4,,0.9834,0.9835,0.0187,,,30,ok
pair,3,sp,swish,128,,2,3,,0.984,0.9845,0.021,,,30,ok
pair,3,sp,swish,128,,2,4,,0.984,0.9835,0.02,,,30,ok
pair,3,sp,swish,128,,3,4,,0.9845,0.9835,0.0293,,,30,ok
net,3,sp,swish,256,0,,,0.9846,,,,0.023099,0.7701,30,ok
net,3,sp,swish,256,1,,,0.9848,,,,0.014437,0.759,30,ok
net,3,sp,swish,256,2,,,0.9846,,,,0.013353,0.7706,30,ok
net,3,sp,swish,256,3,,,0.9848,,,,0.021122,0.7612,30,ok
net,3,sp,swish,256,4,,,0.9852,,,,0.013083,0.7691,30,ok
pair,3,sp,swish,256,,0,1,,0.9846,0.9848,0.0181,,,30,ok
pair,3,sp,swish,256,,0,2,,0.9846,0.9846,0.019,,,30,ok
pair,3,sp,swish,256,,0,3,,0.9846,0.9848,0.0095,,,30,ok
pair,3,sp,swish,256,,0,4,,0.9846,0.9852,0.0145,,,30,ok
pair,3,sp,swish,256,,1,2,,0.9848,0.9846,0.0109,,,30,ok
pair,3,sp,swish,256,,1,3,,0.9848,0.9848,0.0138,,,30,ok
pair,3,sp,swish,256,,1,4,,0.9848,0.9852,0.0107,,,30,ok
pair,3,sp,swish,256,,2,3,,0.9846,0.9848,0.0093,,,30,ok
pair,3,sp,swish,256,,2,4,,0.9846,0.9852,0.0112,,,30,ok
pair,3,sp,swish,256,,3,4,,0.9848,0.9852,0.0129,,,30,ok
net,3,sp,swish,512,0,,,0.9848,,,,0.011144,0.5116,30,ok
net,3,sp,swish,512,1,,,0.986,,,,0.008876,0.5086,30,ok
net,3,sp,swish,512,2,,,0.9866,,,,0.008417,0.5098,30,ok
net,3,sp,swish,512,3,,,0.9855,,,,0.008699,0.5135,30,ok
net,3,sp,swish,512,4,,,0.9853,,,,0.014104,0.5144,30,ok
pair,3,sp,swish,512,,0,1,,0.9848,0.986,0.0104,,,30,ok
pair,3,sp,swish,512,,0,2,,0.9848,0.9866,0.0129,,,30,ok
pair,3,sp,swish,512,,0,3,,0.9848,0.9855,0.0104,,,30,ok
pair,3,sp,swish,512,,0,4,,0.9848,0.9853,0.0135,,,30,ok
pair,3,sp,swish,512,,1,2,,0.986,0.9866,0.009,,,30,ok
pair,3,sp,swish,512,,1,3,,0.986,0.9855,0.0086,,,30,ok
pair,3,sp,swish,512,,1,4,,0.986,0.9853,0.0124,,,30,ok
pair,3,sp,swish,512,,2,3,,0.9866,0.9855,0.0102,,,30,ok
pair,3,sp,swish,512,,2,4,,0.9866,0.9853,0.0117,,,30,ok
pair,3,sp,swish,512,,3,4,,0.9855,0.9853,0.0117,,,30,ok
net,3,sp,swish,1024,0,,,0.985,,,,0.007447,0.3519,30,ok
net,3,sp,swish,1024,1,,,0.9856,,,,0.005125,0.3525,30,ok
net,3,sp,swish,1024,2,,,0.9858,,,,0.00742,0.3473,30,ok
net,3,sp,swish,1024,3,,,0.9867,,,,0.008512,0.3539,30,ok
net,3,sp,swish,1024,4,,,0.9852,,,,0.005732,0.3515,30,ok
pair,3,sp,swish,1024,,0,1,,0.985,0.9856,0.0129,,,30,ok
pair,3,sp,swish,1024,,0,2,,0.985,0.9858,0.0145,,,30,ok
pair,3,sp,swish,1024,,0,3,,0.985,0.9867,0.0155,,,30,ok
pair,3,sp,swish,1024,,0,4,,0.985,0.9852,0.0127,,,30,ok
pair,3,sp,swish,1024,,1,2,,0.9856,0.9858,0.0145,,,30,ok
pair,3,sp,swish,1024,,1,3,,0.9856,0.9867,0.0141,,,30,ok
pair,3,sp,swish,1024,,1,4,,0.9856,0.9852,0.0178,,,30,ok
pair,3,sp,swish,1024,,2,3,,0.9858,0.9867,0.0147,,,30,ok
pair,3,sp,swish,1024,,2,4,,0.9858,0.9852,0.0164,,,30,ok
pair,3,sp,swish,1024,,3,4,,0.9867,0.9852,0.0118,,,30,ok
net,3,sp,swish,2048,0,,,0.9855,,,,0.003095,0.2441,30,ok
net,3,sp,swish,2048,1,,,0.9851,,,,0.002396,0.2466,30,ok
net,3,sp,swish,2048,2,,,0.9852,,,,0.005264,0.246,30,ok
net,3,sp,swish,2048,3,,,0.9847,,,,0.002867,0.2445,30,ok
net,3,sp,swish,2048,4,,,0.9848,,,,0.004234,0.2488,30,ok
pair,3,sp,swish,2048,,0,1,,0.9855,0.9851,0.0413,,,30,ok
pair,3,sp,swish,2048,,0,2,,0.9855,0.9852,0.0371,,,30,ok
pair,3,sp,swish,2048,,0,3,,0.9855,0.9847,0.0301,,,30,ok
pair,3,sp,swish,2048,,0,4,,0.9855,0.9848,0.0386,,,30,ok
pair,3,sp,swish,2048,,1,2,,0.9851,0.9852,0.0418,,,30,ok
pair,3,sp,swish,2048,,1,3,,0.9851,0.9847,0.0365,,,30,ok
pair,3,sp,swish,2048,,1,4,,0.9851,0.9848,0.0362,,,30,ok
pair,3,sp,swish,2048,,2,3,,0.9852,0.9847,0.0364,,,30,ok
pair,3,sp,swish,2048,,2,4,,0.9852,0.9848,0.0351,,,30,ok
pair,3,sp,swish,2048,,3,4,,0.9847,0.9848,0.0378,,,30,ok
net,3,sp,swish,4096,0,,,0.9859,,,,0.002196,0.1715,30,ok
net,3,sp,swish,4096,1,,,0.985,,,,0.001341,0.17,30,ok
net,3,sp,swish,4096,2,,,0.9852,,,,0.002476,0.1731,30,ok
net,3,sp,swish,4096,3,,,0.9849,,,,0.001192,0.1716,30,ok
net,3,sp,swish,4096,4,,,0.9859,,,,0.002343,0.1723,30,ok
pair,3,sp,swish,4096,,0,1,,0.9859,0.985,0.1333,,,30,ok
pair,3,sp,swish,4096,,0,2,,0.9859,0.9852,0.153,,,30,ok
pair,3,sp,swish,4096,,0,3,,0.9859,0.9849,0.1565,,,30,ok
pair,3,sp,swish,4096,,0,4,,0.9859,0.9859,0.1511,,,30,ok
