kind,shard,regime,act,width,seed,seedA,seedB,acc,accA,accB,barrier,dF_op,wmove,epochs,status
net,1,ntk,swish,1,0,,,0.8869,,,,1.270477,0.4073,100,ok
net,1,ntk,swish,1,1,,,0.882,,,,0.450844,0.4136,100,ok
net,1,ntk,swish,1,2,,,0.884,,,,0.434438,0.4074,100,ok
net,1,ntk,swish,1,3,,,0.8837,,,,0.413268,0.4049,100,ok
net,1,ntk,swish,1,4,,,0.8787,,,,0.514879,0.4131,100,ok
pair,1,ntk,swish,1,,0,1,,0.8869,0.882,5.4667,,,100,ok
pair,1,ntk,swish,1,,0,2,,0.8869,0.884,5.4931,,,100,ok
pair,1,ntk,swish,1,,0,3,,0.8869,0.8837,4.8661,,,100,ok
pair,1,ntk,swish,1,,0,4,,0.8869,0.8787,3.9222,,,100,ok
pair,1,ntk,swish,1,,1,2,,0.882,0.884,3.1318,,,100,ok
pair,1,ntk,swish,1,,1,3,,0.882,0.8837,6.0394,,,100,ok
pair,1,ntk,swish,1,,1,4,,0.882,0.8787,4.764,,,100,ok
pair,1,ntk,swish,1,,2,3,,0.884,0.8837,4.0992,,,100,ok
pair,1,ntk,swish,1,,2,4,,0.884,0.8787,4.6312,,,100,ok
pair,1,ntk,swish,1,,3,4,,0.8837,0.8787,5.3784,,,100,ok
net,1,ntk,swish,2,0,,,0.8871,,,,0.279877,0.2205,100,ok
net,1,ntk,swish,2,1,,,0.887,,,,0.200231,0.2205,100,ok
net,1,ntk,swish,2,2,,,0.8853,,,,0.936024,0.2187,100,ok
net,1,ntk,swish,2,3,,,0.8856,,,,0.212011,0.2193,100,ok
net,1,ntk,swish,2,4,,,0.8834,,,,0.290344,0.2166,100,ok
pair,1,ntk,swish,2,,0,1,,0.8871,0.887,7.603,,,100,ok
pair,1,ntk,swish,2,,0,2,,0.8871,0.8853,8.7521,,,100,ok
pair,1,ntk,swish,2,,0,3,,0.8871,0.8856,2.4077,,,100,ok
pair,1,ntk,swish,2,,0,4,,0.8871,0.8834,4.0486,,,100,ok
pair,1,ntk,swish,2,,1,2,,0.887,0.8853,7.2595,,,100,ok
pair,1,ntk,swish,2,,1,3,,0.887,0.8856,6.4958,,,100,ok
pair,1,ntk,swish,2,,1,4,,0.887,0.8834,7.2122,,,100,ok
pair,1,ntk,swish,2,,2,3,,0.8853,0.8856,5.4784,,,100,ok
pair,1,ntk,swish,2,,2,4,,0.8853,0.8834,3.2297,,,100,ok
pair,1,ntk,swish,2,,3,4,,0.8856,0.8834,4.5463,,,100,ok
net,1,ntk,swish,4,0,,,0.888,,,,0.26433,0.1178,100,ok
net,1,ntk,swish,4,1,,,0.8893,,,,3.324063,0.1181,100,ok
net,1,ntk,swish,4,2,,,0.8897,,,,0.173981,0.1183,100,ok
net,1,ntk,swish,4,3,,,0.89,,,,0.327754,0.1199,100,ok
net,1,ntk,swish,4,4,,,0.8892,,,,0.244616,0.116,100,ok
pair,1,ntk,swish,4,,0,1,,0.888,0.8893,2.5983,,,100,ok
pair,1,ntk,swish,4,,0,2,,0.888,0.8897,3.3439,,,100,ok
pair,1,ntk,swish,4,,0,3,,0.888,0.89,3.1224,,,100,ok
pair,1,ntk,swish,4,,0,4,,0.888,0.8892,6.9914,,,100,ok
pair,1,ntk,swish,4,,1,2,,0.8893,0.8897,8.2163,,,100,ok
pair,1,ntk,swish,4,,1,3,,0.8893,0.89,5.5092,,,100,ok
pair,1,ntk,swish,4,,1,4,,0.8893,0.8892,5.7494,,,100,ok
pair,1,ntk,swish,4,,2,3,,0.8897,0.89,5.5722,,,100,ok
pair,1,ntk,swish,4,,2,4,,0.8897,0.8892,4.008,,,100,ok
pair,1,ntk,swish,4,,3,4,,0.89,0.8892,7.8219,,,100,ok
net,1,ntk,swish,8,0,,,0.8861,,,,0.115135,0.0631,100,ok
net,1,ntk,swish,8,1,,,0.8828,,,,0.997653,0.0636,100,ok
net,1,ntk,swish,8,2,,,0.8813,,,,0.160535,0.0626,100,ok
net,1,ntk,swish,8,3,,,0.8866,,,,0.238873,0.0624,100,ok
net,1,ntk,swish,8,4,,,0.8864,,,,0.135776,0.0629,100,ok
pair,1,ntk,swish,8,,0,1,,0.8861,0.8828,3.8202,,,100,ok
pair,1,ntk,swish,8,,0,2,,0.8861,0.8813,3.9375,,,100,ok
pair,1,ntk,swish,8,,0,3,,0.8861,0.8866,2.9224,,,100,ok
pair,1,ntk,swish,8,,0,4,,0.8861,0.8864,3.9636,,,100,ok
pair,1,ntk,swish,8,,1,2,,0.8828,0.8813,4.0492,,,100,ok
pair,1,ntk,swish,8,,1,3,,0.8828,0.8866,3.1561,,,100,ok
pair,1,ntk,swish,8,,1,4,,0.8828,0.8864,3.3502,,,100,ok
pair,1,ntk,swish,8,,2,3,,0.8813,0.8866,3.7656,,,100,ok
pair,1,ntk,swish,8,,2,4,,0.8813,0.8864,3.6374,,,100,ok
pair,1,ntk,swish,8,,3,4,,0.8866,0.8864,2.4874,,,100,ok
net,1,ntk,softplus,1,0,,,0.8766,,,,0.24168,0.4264,100,ok
net,1,ntk,softplus,1,1,,,0.8699,,,,4.420518,0.422,100,ok
net,1,ntk,softplus,1,2,,,0.8743,,,,8.495915,0.4185,100,ok
net,1,ntk,softplus,1,3,,,0.88,,,,0.460622,0.4315,100,ok
net,1,ntk,softplus,1,4,,,0.8738,,,,0.276397,0.4192,100,ok
pair,1,ntk,softplus,1,,0,1,,0.8766,0.8699,2.8098,,,100,ok
pair,1,ntk,softplus,1,,0,2,,0.8766,0.8743,5.2689,,,100,ok
pair,1,ntk,softplus,1,,0,3,,0.8766,0.88,5.7459,,,100,ok
pair,1,ntk,softplus,1,,0,4,,0.8766,0.8738,6.6078,,,100,ok
pair,1,ntk,softplus,1,,1,2,,0.8699,0.8743,5.9083,,,100,ok
pair,1,ntk,softplus,1,,1,3,,0.8699,0.88,7.6047,,,100,ok
pair,1,ntk,softplus,1,,1,4,,0.8699,0.8738,5.5536,,,100,ok
pair,1,ntk,softplus,1,,2,3,,0.8743,0.88,4.9103,,,100,ok
pair,1,ntk,softplus,1,,2,4,,0.8743,0.8738,3.8385,,,100,ok
pair,1,ntk,softplus,1,,3,4,,0.88,0.8738,2.4455,,,100,ok
net,1,ntk,softplus,2,0,,,0.877,,,,0.172331,0.226,100,ok
net,1,ntk,softplus,2,1,,,0.8822,,,,0.304781,0.224,100,ok
net,1,ntk,softplus,2,2,,,0.88,,,,0.228375,0.2277,100,ok
net,1,ntk,softplus,2,3,,,0.8747,,,,13.386504,0.2241,100,ok
net,1,ntk,softplus,2,4,,,0.8774,,,,0.231181,0.2274,100,ok
pair,1,ntk,softplus,2,,0,1,,0.877,0.8822,2.1377,,,100,ok
pair,1,ntk,softplus,2,,0,2,,0.877,0.88,5.286,,,100,ok
pair,1,ntk,softplus,2,,0,3,,0.877,0.8747,4.6647,,,100,ok
pair,1,ntk,softplus,2,,0,4,,0.877,0.8774,3.9562,,,100,ok
pair,1,ntk,softplus,2,,1,2,,0.8822,0.88,6.9787,,,100,ok
pair,1,ntk,softplus,2,,1,3,,0.8822,0.8747,3.6295,,,100,ok
pair,1,ntk,softplus,2,,1,4,,0.8822,0.8774,7.6765,,,100,ok
pair,1,ntk,softplus,2,,2,3,,0.88,0.8747,11.3967,,,100,ok
pair,1,ntk,softplus,2,,2,4,,0.88,0.8774,3.8252,,,100,ok
pair,1,ntk,softplus,2,,3,4,,0.8747,0.8774,4.5769,,,100,ok
net,1,ntk,softplus,4,0,,,0.8769,,,,0.132954,0.1221,100,ok
net,1,ntk,softplus,4,1,,,0.874,,,,0.110734,0.1223,100,ok
net,1,ntk,softplus,4,2,,,0.8745,,,,0.152928,0.1224,100,ok
net,1,ntk,softplus,4,3,,,0.8754,,,,0.092685,0.1238,100,ok
net,1,ntk,softplus,4,4,,,0.8745,,,,52.147743,0.1243,100,ok
pair,1,ntk,softplus,4,,0,1,,0.8769,0.874,6.1152,,,100,ok
pair,1,ntk,softplus,4,,0,2,,0.8769,0.8745,5.2589,,,100,ok
pair,1,ntk,softplus,4,,0,3,,0.8769,0.8754,12.4576,,,100,ok
pair,1,ntk,softplus,4,,0,4,,0.8769,0.8745,5.4518,,,100,ok
pair,1,ntk,softplus,4,,1,2,,0.874,0.8745,4.8833,,,100,ok
pair,1,ntk,softplus,4,,1,3,,0.874,0.8754,6.1097,,,100,ok
pair,1,ntk,softplus,4,,1,4,,0.874,0.8745,6.2078,,,100,ok
pair,1,ntk,softplus,4,,2,3,,0.8745,0.8754,3.9911,,,100,ok
pair,1,ntk,softplus,4,,2,4,,0.8745,0.8745,5.3559,,,100,ok
pair,1,ntk,softplus,4,,3,4,,0.8754,0.8745,4.0399,,,100,ok
net,1,ntk,softplus,8,0,,,0.8756,,,,0.084896,0.0677,100,ok
net,1,ntk,softplus,8,1,,,0.8762,,,,40.95507,0.0668,100,ok
net,1,ntk,softplus,8,2,,,0.8702,,,,0.040468,0.0664,100,ok
net,1,ntk,softplus,8,3,,,0.8684,,,,0.055639,0.0658,100,ok
net,1,ntk,softplus,8,4,,,0.8739,,,,0.076195,0.0666,100,ok
pair,1,ntk,softplus,8,,0,1,,0.8756,0.8762,4.5907,,,100,ok
pair,1,ntk,softplus,8,,0,2,,0.8756,0.8702,4.4996,,,100,ok
pair,1,ntk,softplus,8,,0,3,,0.8756,0.8684,3.82,,,100,ok
pair,1,ntk,softplus,8,,0,4,,0.8756,0.8739,6.2885,,,100,ok
pair,1,ntk,softplus,8,,1,2,,0.8762,0.8702,3.549,,,100,ok
pair,1,ntk,softplus,8,,1,3,,0.8762,0.8684,3.8756,,,100,ok
pair,1,ntk,softplus,8,,1,4,,0.8762,0.8739,3.0297,,,100,ok
pair,1,ntk,softplus,8,,2,3,,0.8702,0.8684,10.3335,,,100,ok
pair,1,ntk,softplus,8,,2,4,,0.8702,0.8739,5.3932,,,100,ok
pair,1,ntk,softplus,8,,3,4,,0.8684,0.8739,3.171,,,100,ok
