kind,shard,regime,act,width,seed,seedA,seedB,acc,accA,accB,barrier,dF_op,wmove,epochs,status
net,5,mup,swish,1,0,,,0.9047,,,,5.935395,4.0781,100,ok
net,5,mup,swish,1,1,,,0.9086,,,,4.614669,4.0744,100,ok
net,5,mup,swish,1,2,,,0.9075,,,,4.059464,4.0926,100,ok
net,5,mup,swish,1,3,,,0.9061,,,,4.813575,4.0891,100,ok
net,5,mup,swish,1,4,,,0.9099,,,,3.134148,4.1195,100,ok
pair,5,mup,swish,1,,0,1,,0.9047,0.9086,2.5422,,,100,ok
pair,5,mup,swish,1,,0,2,,0.9047,0.9075,1.0712,,,100,ok
pair,5,mup,swish,1,,0,3,,0.9047,0.9061,1.1669,,,100,ok
pair,5,mup,swish,1,,0,4,,0.9047,0.9099,2.0088,,,100,ok
pair,5,mup,swish,1,,1,2,,0.9086,0.9075,1.5633,,,100,ok
pair,5,mup,swish,1,,1,3,,0.9086,0.9061,2.0254,,,100,ok
pair,5,mup,swish,1,,1,4,,0.9086,0.9099,2.4007,,,100,ok
pair,5,mup,swish,1,,2,3,,0.9075,0.9061,1.6037,,,100,ok
pair,5,mup,swish,1,,2,4,,0.9075,0.9099,2.756,,,100,ok
pair,5,mup,swish,1,,3,4,,0.9061,0.9099,3.1754,,,100,ok
net,5,mup,swish,2,0,,,0.9142,,,,1.043681,3.4278,100,ok
net,5,mup,swish,2,1,,,0.9142,,,,0.731716,3.4738,100,ok
net,5,mup,swish,2,2,,,0.9129,,,,4.864965,3.4549,100,ok
net,5,mup,swish,2,3,,,0.9108,,,,2.902599,3.442,100,ok
net,5,mup,swish,2,4,,,0.9163,,,,1.959972,3.4604,100,ok
pair,5,mup,swish,2,,0,1,,0.9142,0.9142,0.8781,,,100,ok
pair,5,mup,swish,2,,0,2,,0.9142,0.9129,0.5926,,,100,ok
pair,5,mup,swish,2,,0,3,,0.9142,0.9108,0.6033,,,100,ok
pair,5,mup,swish,2,,0,4,,0.9142,0.9163,0.8896,,,100,ok
pair,5,mup,swish,2,,1,2,,0.9142,0.9129,1.0016,,,100,ok
pair,5,mup,swish,2,,1,3,,0.9142,0.9108,2.1887,,,100,ok
pair,5,mup,swish,2,,1,4,,0.9142,0.9163,1.2741,,,100,ok
pair,5,mup,swish,2,,2,3,,0.9129,0.9108,0.8049,,,100,ok
pair,5,mup,swish,2,,2,4,,0.9129,0.9163,0.8496,,,100,ok
pair,5,mup,swish,2,,3,4,,0.9108,0.9163,1.2734,,,100,ok
net,5,mup,swish,4,0,,,0.9205,,,,0.390111,2.927,100,ok
net,5,mup,swish,4,1,,,0.9183,,,,0.227223,2.9315,100,ok
net,5,mup,swish,4,2,,,0.9179,,,,0.29794,2.9323,100,ok
net,5,mup,swish,4,3,,,0.9201,,,,0.308227,2.9053,100,ok
net,5,mup,swish,4,4,,,0.9169,,,,0.206156,2.9057,100,ok
pair,5,mup,swish,4,,0,1,,0.9205,0.9183,0.3361,,,100,ok
pair,5,mup,swish,4,,0,2,,0.9205,0.9179,0.6998,,,100,ok
pair,5,mup,swish,4,,0,3,,0.9205,0.9201,0.2936,,,100,ok
pair,5,mup,swish,4,,0,4,,0.9205,0.9169,0.4705,,,100,ok
pair,5,mup,swish,4,,1,2,,0.9183,0.9179,0.4864,,,100,ok
pair,5,mup,swish,4,,1,3,,0.9183,0.9201,0.5459,,,100,ok
pair,5,mup,swish,4,,1,4,,0.9183,0.9169,0.4249,,,100,ok
pair,5,mup,swish,4,,2,3,,0.9179,0.9201,0.3485,,,100,ok
pair,5,mup,swish,4,,2,4,,0.9179,0.9169,0.3562,,,100,ok
pair,5,mup,swish,4,,3,4,,0.9201,0.9169,0.3253,,,100,ok
net,5,mup,swish,8,0,,,0.9227,,,,0.395601,2.5715,100,ok
net,5,mup,swish,8,1,,,0.9217,,,,0.197365,2.5531,100,ok
net,5,mup,swish,8,2,,,0.9214,,,,0.087789,2.5655,100,ok
net,5,mup,swish,8,3,,,0.9216,,,,0.146451,2.5762,100,ok
net,5,mup,swish,8,4,,,0.9176,,,,0.55999,2.5762,100,ok
pair,5,mup,swish,8,,0,1,,0.9227,0.9217,0.1779,,,100,ok
pair,5,mup,swish,8,,0,2,,0.9227,0.9214,0.2019,,,100,ok
pair,5,mup,swish,8,,0,3,,0.9227,0.9216,0.1971,,,100,ok
pair,5,mup,swish,8,,0,4,,0.9227,0.9176,0.2278,,,100,ok
pair,5,mup,swish,8,,1,2,,0.9217,0.9214,0.2033,,,100,ok
pair,5,mup,swish,8,,1,3,,0.9217,0.9216,0.1965,,,100,ok
pair,5,mup,swish,8,,1,4,,0.9217,0.9176,0.2263,,,100,ok
pair,5,mup,swish,8,,2,3,,0.9214,0.9216,0.2561,,,100,ok
pair,5,mup,swish,8,,2,4,,0.9214,0.9176,0.3119,,,100,ok
pair,5,mup,swish,8,,3,4,,0.9216,0.9176,0.2198,,,100,ok
net,5,mup,softplus,1,0,,,0.908,,,,3.453061,4.0953,100,ok
net,5,mup,softplus,1,1,,,0.9047,,,,1.668379,4.1223,100,ok
net,5,mup,softplus,1,2,,,0.9025,,,,1.253234,4.0875,100,ok
net,5,mup,softplus,1,3,,,0.9055,,,,1.987827,3.9541,100,ok
net,5,mup,softplus,1,4,,,0.9072,,,,2.967726,4.1105,100,ok
pair,5,mup,softplus,1,,0,1,,0.908,0.9047,0.8653,,,100,ok
pair,5,mup,softplus,1,,0,2,,0.908,0.9025,1.0977,,,100,ok
pair,5,mup,softplus,1,,0,3,,0.908,0.9055,0.6183,,,100,ok
pair,5,mup,softplus,1,,0,4,,0.908,0.9072,0.6903,,,100,ok
pair,5,mup,softplus,1,,1,2,,0.9047,0.9025,0.9509,,,100,ok
pair,5,mup,softplus,1,,1,3,,0.9047,0.9055,1.3786,,,100,ok
pair,5,mup,softplus,1,,1,4,,0.9047,0.9072,0.5464,,,100,ok
pair,5,mup,softplus,1,,2,3,,0.9025,0.9055,1.3124,,,100,ok
pair,5,mup,softplus,1,,2,4,,0.9025,0.9072,1.881,,,100,ok
pair,5,mup,softplus,1,,3,4,,0.9055,0.9072,4.1861,,,100,ok
net,5,mup,softplus,2,0,,,0.9113,,,,2.301815,3.6389,100,ok
net,5,mup,softplus,2,1,,,0.9095,,,,0.378027,3.6083,100,ok
net,5,mup,softplus,2,2,,,0.9096,,,,0.638696,3.6372,100,ok
net,5,mup,softplus,2,3,,,0.912,,,,0.572189,3.6986,100,ok
net,5,mup,softplus,2,4,,,0.9103,,,,0.603406,3.6353,100,ok
pair,5,mup,softplus,2,,0,1,,0.9113,0.9095,0.6767,,,100,ok
pair,5,mup,softplus,2,,0,2,,0.9113,0.9096,0.4147,,,100,ok
pair,5,mup,softplus,2,,0,3,,0.9113,0.912,0.377,,,100,ok
pair,5,mup,softplus,2,,0,4,,0.9113,0.9103,0.8427,,,100,ok
pair,5,mup,softplus,2,,1,2,,0.9095,0.9096,0.5431,,,100,ok
pair,5,mup,softplus,2,,1,3,,0.9095,0.912,0.6158,,,100,ok
pair,5,mup,softplus,2,,1,4,,0.9095,0.9103,0.4098,,,100,ok
pair,5,mup,softplus,2,,2,3,,0.9096,0.912,0.5138,,,100,ok
pair,5,mup,softplus,2,,2,4,,0.9096,0.9103,0.5251,,,100,ok
pair,5,mup,softplus,2,,3,4,,0.912,0.9103,0.2925,,,100,ok
net,5,mup,softplus,4,0,,,0.9107,,,,0.294837,3.2837,100,ok
net,5,mup,softplus,4,1,,,0.9153,,,,0.195534,3.271,100,ok
net,5,mup,softplus,4,2,,,0.915,,,,0.847871,3.3047,100,ok
net,5,mup,softplus,4,3,,,0.9136,,,,0.585873,3.3014,100,ok
net,5,mup,softplus,4,4,,,0.9156,,,,0.165603,3.2866,100,ok
pair,5,mup,softplus,4,,0,1,,0.9107,0.9153,0.2809,,,100,ok
pair,5,mup,softplus,4,,0,2,,0.9107,0.915,0.5092,,,100,ok
pair,5,mup,softplus,4,,0,3,,0.9107,0.9136,0.9817,,,100,ok
