kind,shard,regime,act,width,seed,seedA,seedB,acc,accA,accB,barrier,dF_op,wmove,epochs,status
net,0,ntk,relu,64,0,,,0.9262,,,,,0.1818,30,ok
net,0,ntk,relu,64,1,,,0.9276,,,,,0.1858,30,ok
net,0,ntk,relu,64,2,,,0.9226,,,,,0.1864,30,ok
net,0,ntk,relu,64,3,,,0.9253,,,,,0.184,30,ok
net,0,ntk,relu,64,4,,,0.9227,,,,,0.1849,30,ok
pair,0,ntk,relu,64,,0,1,,0.9262,0.9276,0.7215,,,30,ok
pair,0,ntk,relu,64,,0,2,,0.9262,0.9226,0.5053,,,30,ok
pair,0,ntk,relu,64,,0,3,,0.9262,0.9253,0.5113,,,30,ok
pair,0,ntk,relu,64,,0,4,,0.9262,0.9227,0.5021,,,30,ok
pair,0,ntk,relu,64,,1,2,,0.9276,0.9226,0.4245,,,30,ok
pair,0,ntk,relu,64,,1,3,,0.9276,0.9253,0.4069,,,30,ok
pair,0,ntk,relu,64,,1,4,,0.9276,0.9227,0.3197,,,30,ok
pair,0,ntk,relu,64,,2,3,,0.9226,0.9253,0.4984,,,30,ok
pair,0,ntk,relu,64,,2,4,,0.9226,0.9227,0.5089,,,30,ok
pair,0,ntk,relu,64,,3,4,,0.9253,0.9227,0.268,,,30,ok
net,0,ntk,relu,128,0,,,0.9186,,,,,0.1361,30,ok
net,0,ntk,relu,128,1,,,0.9228,,,,,0.132,30,ok
net,0,ntk,relu,128,2,,,0.9226,,,,,0.133,30,ok
net,0,ntk,relu,128,3,,,0.9208,,,,,0.1324,30,ok
net,0,ntk,relu,128,4,,,0.9211,,,,,0.1331,30,ok
pair,0,ntk,relu,128,,0,1,,0.9186,0.9228,0.5734,,,30,ok
pair,0,ntk,relu,128,,0,2,,0.9186,0.9226,0.6598,,,30,ok
pair,0,ntk,relu,128,,0,3,,0.9186,0.9208,0.4217,,,30,ok
pair,0,ntk,relu,128,,0,4,,0.9186,0.9211,0.4509,,,30,ok
pair,0,ntk,relu,128,,1,2,,0.9228,0.9226,0.4025,,,30,ok
pair,0,ntk,relu,128,,1,3,,0.9228,0.9208,0.3982,,,30,ok
pair,0,ntk,relu,128,,1,4,,0.9228,0.9211,0.5306,,,30,ok
pair,0,ntk,relu,128,,2,3,,0.9226,0.9208,0.4732,,,30,ok
pair,0,ntk,relu,128,,2,4,,0.9226,0.9211,0.6255,,,30,ok
pair,0,ntk,relu,128,,3,4,,0.9208,0.9211,0.6115,,,30,ok
net,0,ntk,relu,256,0,,,0.9203,,,,,0.0919,30,ok
net,0,ntk,relu,256,1,,,0.9212,,,,,0.0918,30,ok
net,0,ntk,relu,256,2,,,0.922,,,,,0.0927,30,ok
net,0,ntk,relu,256,3,,,0.9205,,,,,0.094,30,ok
net,0,ntk,relu,256,4,,,0.9192,,,,,0.093,30,ok
pair,0,ntk,relu,256,,0,1,,0.9203,0.9212,0.6207,,,30,ok
pair,0,ntk,relu,256,,0,2,,0.9203,0.922,0.4844,,,30,ok
pair,0,ntk,relu,256,,0,3,,0.9203,0.9205,0.5365,,,30,ok
pair,0,ntk,relu,256,,0,4,,0.9203,0.9192,0.5415,,,30,ok
pair,0,ntk,relu,256,,1,2,,0.9212,0.922,0.6594,,,30,ok
pair,0,ntk,relu,256,,1,3,,0.9212,0.9205,0.5995,,,30,ok
pair,0,ntk,relu,256,,1,4,,0.9212,0.9192,0.6069,,,30,ok
pair,0,ntk,relu,256,,2,3,,0.922,0.9205,0.6515,,,30,ok
pair,0,ntk,relu,256,,2,4,,0.922,0.9192,0.6576,,,30,ok
pair,0,ntk,relu,256,,3,4,,0.9205,0.9192,0.5427,,,30,ok
net,0,ntk,relu,512,0,,,0.9175,,,,,0.0618,30,ok
net,0,ntk,relu,512,1,,,0.9174,,,,,0.0605,30,ok
net,0,ntk,relu,512,2,,,0.9212,,,,,0.0613,30,ok
net,0,ntk,relu,512,3,,,0.9198,,,,,0.062,30,ok
net,0,ntk,relu,512,4,,,0.9181,,,,,0.0613,30,ok
pair,0,ntk,relu,512,,0,1,,0.9175,0.9174,0.7097,,,30,ok
pair,0,ntk,relu,512,,0,2,,0.9175,0.9212,0.6764,,,30,ok
pair,0,ntk,relu,512,,0,3,,0.9175,0.9198,0.6547,,,30,ok
pair,0,ntk,relu,512,,0,4,,0.9175,0.9181,0.6495,,,30,ok
pair,0,ntk,relu,512,,1,2,,0.9174,0.9212,0.6911,,,30,ok
pair,0,ntk,relu,512,,1,3,,0.9174,0.9198,0.6938,,,30,ok
pair,0,ntk,relu,512,,1,4,,0.9174,0.9181,0.7622,,,30,ok
pair,0,ntk,relu,512,,2,3,,0.9212,0.9198,0.7124,,,30,ok
pair,0,ntk,relu,512,,2,4,,0.9212,0.9181,0.619,,,30,ok
pair,0,ntk,relu,512,,3,4,,0.9198,0.9181,0.6141,,,30,ok
net,0,ntk,relu,1024,0,,,0.9192,,,,,0.0381,30,ok
net,0,ntk,relu,1024,1,,,0.9174,,,,,0.038,30,ok
net,0,ntk,relu,1024,2,,,0.9182,,,,,0.0385,30,ok
net,0,ntk,relu,1024,3,,,0.9205,,,,,0.0376,30,ok
net,0,ntk,relu,1024,4,,,0.9187,,,,,0.0391,30,ok
pair,0,ntk,relu,1024,,0,1,,0.9192,0.9174,0.7867,,,30,ok
pair,0,ntk,relu,1024,,0,2,,0.9192,0.9182,0.7997,,,30,ok
pair,0,ntk,relu,1024,,0,3,,0.9192,0.9205,0.8031,,,30,ok
pair,0,ntk,relu,1024,,0,4,,0.9192,0.9187,0.7496,,,30,ok
pair,0,ntk,relu,1024,,1,2,,0.9174,0.9182,0.7969,,,30,ok
pair,0,ntk,relu,1024,,1,3,,0.9174,0.9205,0.8462,,,30,ok
pair,0,ntk,relu,1024,,1,4,,0.9174,0.9187,0.8651,,,30,ok
pair,0,ntk,relu,1024,,2,3,,0.9182,0.9205,0.7659,,,30,ok
pair,0,ntk,relu,1024,,2,4,,0.9182,0.9187,0.7888,,,30,ok
pair,0,ntk,relu,1024,,3,4,,0.9205,0.9187,0.7009,,,30,ok
net,0,ntk,relu,2048,0,,,0.9172,,,,,0.0222,30,ok
net,0,ntk,relu,2048,1,,,0.9197,,,,,0.0219,30,ok
net,0,ntk,relu,2048,2,,,0.9171,,,,,0.0223,30,ok
net,0,ntk,relu,2048,3,,,0.9152,,,,,0.0222,30,ok
net,0,ntk,relu,2048,4,,,0.9182,,,,,0.0222,30,ok
pair,0,ntk,relu,2048,,0,1,,0.9172,0.9197,0.9315,,,30,ok
pair,0,ntk,relu,2048,,0,2,,0.9172,0.9171,0.8712,,,30,ok
pair,0,ntk,relu,2048,,0,3,,0.9172,0.9152,0.9184,,,30,ok
pair,0,ntk,relu,2048,,0,4,,0.9172,0.9182,0.914,,,30,ok
pair,0,ntk,relu,2048,,1,2,,0.9197,0.9171,0.8957,,,30,ok
pair,0,ntk,relu,2048,,1,3,,0.9197,0.9152,0.9273,,,30,ok
pair,0,ntk,relu,2048,,1,4,,0.9197,0.9182,0.9531,,,30,ok
pair,0,ntk,relu,2048,,2,3,,0.9171,0.9152,0.9211,,,30,ok
pair,0,ntk,relu,2048,,2,4,,0.9171,0.9182,0.8782,,,30,ok
pair,0,ntk,relu,2048,,3,4,,0.9152,0.9182,0.9072,,,30,ok
net,0,ntk,relu,4096,0,,,0.9166,,,,,0.0123,30,ok
net,0,ntk,relu,4096,1,,,0.9164,,,,,0.0124,30,ok
net,0,ntk,relu,4096,2,,,0.9184,,,,,0.0123,30,ok
net,0,ntk,relu,4096,3,,,0.9168,,,,,0.0123,30,ok
net,0,ntk,relu,4096,4,,,0.9171,,,,,0.0122,30,ok
pair,0,ntk,relu,4096,,0,1,,0.9166,0.9164,1.0423,,,30,ok
pair,0,ntk,relu,4096,,0,2,,0.9166,0.9184,0.9802,,,30,ok
pair,0,ntk,relu,4096,,0,3,,0.9166,0.9168,1.1148,,,30,ok
pair,0,ntk,relu,4096,,0,4,,0.9166,0.9171,1.025,,,30,ok
pair,0,ntk,relu,4096,,1,2,,0.9164,0.9184,1.1006,,,30,ok
pair,0,ntk,relu,4096,,1,3,,0.9164,0.9168,0.999,,,30,ok
pair,0,ntk,relu,4096,,1,4,,0.9164,0.9171,1.0402,,,30,ok
pair,0,ntk,relu,4096,,2,3,,0.9184,0.9168,1.0692,,,30,ok
pair,0,ntk,relu,4096,,2,4,,0.9184,0.9171,1.0569,,,30,ok
pair,0,ntk,relu,4096,,3,4,,0.9168,0.9171,1.0387,,,30,ok
net,0,ntk,gelu,64,0,,,0.9284,,,,0.002484,0.1867,30,ok
net,0,ntk,gelu,64,1,,,0.9323,,,,0.002039,0.1887,30,ok
net,0,ntk,gelu,64,2,,,0.9248,,,,0.003014,0.1881,30,ok
net,0,ntk,gelu,64,3,,,0.9281,,,,0.003285,0.1861,30,ok
net,0,ntk,gelu,64,4,,,0.932,,,,0.002793,0.1852,30,ok
pair,0,ntk,gelu,64,,0,1,,0.9284,0.9323,0.3253,,,30,ok
pair,0,ntk,gelu,64,,0,2,,0.9284,0.9248,0.496,,,30,ok
pair,0,ntk,gelu,64,,0,3,,0.9284,0.9281,0.4548,,,30,ok
pair,0,ntk,gelu,64,,0,4,,0.9284,0.932,0.4776,,,30,ok
pair,0,ntk,gelu,64,,1,2,,0.9323,0.9248,0.36,,,30,ok
pair,0,ntk,gelu,64,,1,3,,0.9323,0.9281,0.621,,,30,ok
pair,0,ntk,gelu,64,,1,4,,0.9323,0.932,0.5589,,,30,ok
pair,0,ntk,gelu,64,,2,3,,0.9248,0.9281,0.4481,,,30,ok
pair,0,ntk,gelu,64,,2,4,,0.9248,0.932,0.4974,,,30,ok
pair,0,ntk,gelu,64,,3,4,,0.9281,0.932,0.4387,,,30,ok
net,0,ntk,gelu,128,0,,,0.9245,,,,0.001504,0.1293,30,ok
net,0,ntk,gelu,128,1,,,0.9259,,,,0.001419,0.1301,30,ok
net,0,ntk,gelu,128,2,,,0.9255,,,,0.001464,0.1294,30,ok
net,0,ntk,gelu,128,3,,,0.9256,,,,0.001711,0.131,30,ok
net,0,ntk,gelu,128,4,,,0.9246,,,,0.001441,0.128,30,ok
pair,0,ntk,gelu,128,,0,1,,0.9245,0.9259,0.526,,,30,ok
pair,0,ntk,gelu,128,,0,2,,0.9245,0.9255,0.4183,,,30,ok
pair,0,ntk,gelu,128,,0,3,,0.9245,0.9256,0.5319,,,30,ok
pair,0,ntk,gelu,128,,0,4,,0.9245,0.9246,0.3867,,,30,ok
pair,0,ntk,gelu,128,,1,2,,0.9259,0.9255,0.5155,,,30,ok
pair,0,ntk,gelu,128,,1,3,,0.9259,0.9256,0.4136,,,30,ok
pair,0,ntk,gelu,128,,1,4,,0.9259,0.9246,0.5075,,,30,ok
pair,0,ntk,gelu,128,,2,3,,0.9255,0.9256,0.5301,,,30,ok
pair,0,ntk,gelu,128,,2,4,,0.9255,0.9246,0.5818,,,30,ok
pair,0,ntk,gelu,128,,3,4,,0.9256,0.9246,0.634,,,30,ok
net,0,ntk,gelu,256,0,,,0.9241,,,,0.000734,0.0915,30,ok
net,0,ntk,gelu,256,1,,,0.923,,,,0.000723,0.09,30,ok
net,0,ntk,gelu,256,2,,,0.9261,,,,0.000739,0.0901,30,ok
net,0,ntk,gelu,256,3,,,0.9224,,,,0.000897,0.0906,30,ok
net,0,ntk,gelu,256,4,,,0.9256,,,,0.000996,0.0902,30,ok
pair,0,ntk,gelu,256,,0,1,,0.9241,0.923,0.5946,,,30,ok
pair,0,ntk,gelu,256,,0,2,,0.9241,0.9261,0.5721,,,30,ok
pair,0,ntk,gelu,256,,0,3,,0.9241,0.9224,0.6021,,,30,ok
pair,0,ntk,gelu,256,,0,4,,0.9241,0.9256,0.5195,,,30,ok
pair,0,ntk,gelu,256,,1,2,,0.923,0.9261,0.6925,,,30,ok
pair,0,ntk,gelu,256,,1,3,,0.923,0.9224,0.5822,,,30,ok
pair,0,ntk,gelu,256,,1,4,,0.923,0.9256,0.5258,,,30,ok
pair,0,ntk,gelu,256,,2,3,,0.9261,0.9224,0.5721,,,30,ok
pair,0,ntk,gelu,256,,2,4,,0.9261,0.9256,0.5671,,,30,ok
pair,0,ntk,gelu,256,,3,4,,0.9224,0.9256,0.55,,,30,ok
net,0,ntk,gelu,512,0,,,0.9208,,,,0.000372,0.0603,30,ok
net,0,ntk,gelu,512,1,,,0.9201,,,,0.000345,0.06,30,ok
net,0,ntk,gelu,512,2,,,0.9187,,,,0.000337,0.06,30,ok
net,0,ntk,gelu,512,3,,,0.9222,,,,0.000431,0.059,30,ok
net,0,ntk,gelu,512,4,,,0.9218,,,,0.00044,0.06,30,ok
pair,0,ntk,gelu,512,,0,1,,0.9208,0.9201,0.6461,,,30,ok
pair,0,ntk,gelu,512,,0,2,,0.9208,0.9187,0.7074,,,30,ok
pair,0,ntk,gelu,512,,0,3,,0.9208,0.9222,0.6916,,,30,ok
pair,0,ntk,gelu,512,,0,4,,0.9208,0.9218,0.6228,,,30,ok
pair,0,ntk,gelu,512,,1,2,,0.9201,0.9187,0.7467,,,30,ok
pair,0,ntk,gelu,512,,1,3,,0.9201,0.9222,0.6442,,,30,ok
pair,0,ntk,gelu,512,,1,4,,0.9201,0.9218,0.7051,,,30,ok
pair,0,ntk,gelu,512,,2,3,,0.9187,0.9222,0.714,,,30,ok
pair,0,ntk,gelu,512,,2,4,,0.9187,0.9218,0.7185,,,30,ok
pair,0,ntk,gelu,512,,3,4,,0.9222,0.9218,0.6285,,,30,ok
net,0,ntk,gelu,1024,0,,,0.9199,,,,0.000177,0.0377,30,ok
net,0,ntk,gelu,1024,1,,,0.9216,,,,0.00016,0.0376,30,ok
net,0,ntk,gelu,1024,2,,,0.9208,,,,0.000181,0.0372,30,ok
net,0,ntk,gelu,1024,3,,,0.92,,,,0.000178,0.0377,30,ok
net,0,ntk,gelu,1024,4,,,0.9186,,,,0.000181,0.0385,30,ok
pair,0,ntk,gelu,1024,,0,1,,0.9199,0.9216,0.812,,,30,ok
pair,0,ntk,gelu,1024,,0,2,,0.9199,0.9208,0.8581,,,30,ok
pair,0,ntk,gelu,1024,,0,3,,0.9199,0.92,0.8324,,,30,ok
pair,0,ntk,gelu,1024,,0,4,,0.9199,0.9186,0.7652,,,30,ok
pair,0,ntk,gelu,1024,,1,2,,0.9216,0.9208,0.9295,,,30,ok
pair,0,ntk,gelu,1024,,1,3,,0.9216,0.92,0.8735,,,30,ok
pair,0,ntk,gelu,1024,,1,4,,0.9216,0.9186,0.8768,,,30,ok
pair,0,ntk,gelu,1024,,2,3,,0.9208,0.92,0.8352,,,30,ok
pair,0,ntk,gelu,1024,,2,4,,0.9208,0.9186,0.8373,,,30,ok
pair,0,ntk,gelu,1024,,3,4,,0.92,0.9186,0.7674,,,30,ok
net,0,ntk,gelu,2048,0,,,0.9197,,,,7.4e-05,0.0222,30,ok
net,0,ntk,gelu,2048,1,,,0.9205,,,,8.8e-05,0.022,30,ok
net,0,ntk,gelu,2048,2,,,0.9181,,,,8.8e-05,0.0225,30,ok
net,0,ntk,gelu,2048,3,,,0.9171,,,,9.6e-05,0.0221,30,ok
net,0,ntk,gelu,2048,4,,,0.9167,,,,7.3e-05,0.0225,30,ok
pair,0,ntk,gelu,2048,,0,1,,0.9197,0.9205,0.9867,,,30,ok
pair,0,ntk,gelu,2048,,0,2,,0.9197,0.9181,0.9964,,,30,ok
pair,0,ntk,gelu,2048,,0,3,,0.9197,0.9171,0.885,,,30,ok
pair,0,ntk,gelu,2048,,0,4,,0.9197,0.9167,0.9321,,,30,ok
pair,0,ntk,gelu,2048,,1,2,,0.9205,0.9181,0.9177,,,30,ok
pair,0,ntk,gelu,2048,,1,3,,0.9205,0.9171,0.9887,,,30,ok
pair,0,ntk,gelu,2048,,1,4,,0.9205,0.9167,0.9196,,,30,ok
pair,0,ntk,gelu,2048,,2,3,,0.9181,0.9171,0.9874,,,30,ok
pair,0,ntk,gelu,2048,,2,4,,0.9181,0.9167,0.9655,,,30,ok
pair,0,ntk,gelu,2048,,3,4,,0.9171,0.9167,0.9993,,,30,ok
net,0,ntk,gelu,4096,0,,,0.9169,,,,3.6e-05,0.0124,30,ok
net,0,ntk,gelu,4096,1,,,0.9156,,,,3.7e-05,0.0123,30,ok
net,0,ntk,gelu,4096,2,,,0.9162,,,,3.6e-05,0.0124,30,ok
net,0,ntk,gelu,4096,3,,,0.9184,,,,3.9e-05,0.0125,30,ok
net,0,ntk,gelu,4096,4,,,0.917,,,,4.1e-05,0.0125,30,ok
pair,0,ntk,gelu,4096,,0,1,,0.9169,0.9156,1.0788,,,30,ok
pair,0,ntk,gelu,4096,,0,2,,0.9169,0.9162,1.0639,,,30,ok
pair,0,ntk,gelu,4096,,0,3,,0.9169,0.9184,1.0946,,,30,ok
pair,0,ntk,gelu,4096,,0,4,,0.9169,0.917,1.1051,,,30,ok
pair,0,ntk,gelu,4096,,1,2,,0.9156,0.9162,1.0461,,,30,ok
pair,0,ntk,gelu,4096,,1,3,,0.9156,0.9184,1.0998,,,30,ok
pair,0,ntk,gelu,4096,,1,4,,0.9156,0.917,1.1254,,,30,ok
pair,0,ntk,gelu,4096,,2,3,,0.9162,0.9184,1.1384,,,30,ok
pair,0,ntk,gelu,4096,,2,4,,0.9162,0.917,1.0766,,,30,ok
pair,0,ntk,gelu,4096,,3,4,,0.9184,0.917,1.1295,,,30,ok
net,0,ntk,tanh,64,0,,,0.9227,,,,0.001237,0.2156,30,ok
net,0,ntk,tanh,64,1,,,0.9193,,,,0.001277,0.2156,30,ok
net,0,ntk,tanh,64,2,,,0.9229,,,,0.001321,0.2196,30,ok
net,0,ntk,tanh,64,3,,,0.9218,,,,0.001328,0.2125,30,ok
net,0,ntk,tanh,64,4,,,0.9225,,,,0.001069,0.2129,30,ok
pair,0,ntk,tanh,64,,0,1,,0.9227,0.9193,0.1761,,,30,ok
pair,0,ntk,tanh,64,,0,2,,0.9227,0.9229,0.1834,,,30,ok
pair,0,ntk,tanh,64,,0,3,,0.9227,0.9218,0.1383,,,30,ok
pair,0,ntk,tanh,64,,0,4,,0.9227,0.9225,0.2197,,,30,ok
pair,0,ntk,tanh,64,,1,2,,0.9193,0.9229,0.153,,,30,ok
pair,0,ntk,tanh,64,,1,3,,0.9193,0.9218,0.2789,,,30,ok
pair,0,ntk,tanh,64,,1,4,,0.9193,0.9225,0.3668,,,30,ok
pair,0,ntk,tanh,64,,2,3,,0.9229,0.9218,0.2577,,,30,ok
pair,0,ntk,tanh,64,,2,4,,0.9229,0.9225,0.2618,,,30,ok
pair,0,ntk,tanh,64,,3,4,,0.9218,0.9225,0.1728,,,30,ok
net,0,ntk,tanh,128,0,,,0.9177,,,,0.000666,0.15,30,ok
net,0,ntk,tanh,128,1,,,0.9175,,,,0.000721,0.1518,30,ok
net,0,ntk,tanh,128,2,,,0.9171,,,,0.000669,0.1492,30,ok
net,0,ntk,tanh,128,3,,,0.9148,,,,0.000646,0.1521,30,ok
net,0,ntk,tanh,128,4,,,0.918,,,,0.000875,0.1524,30,ok
pair,0,ntk,tanh,128,,0,1,,0.9177,0.9175,0.1972,,,30,ok
pair,0,ntk,tanh,128,,0,2,,0.9177,0.9171,0.1949,,,30,ok
pair,0,ntk,tanh,128,,0,3,,0.9177,0.9148,0.1812,,,30,ok
pair,0,ntk,tanh,128,,0,4,,0.9177,0.918,0.2271,,,30,ok
pair,0,ntk,tanh,128,,1,2,,0.9175,0.9171,0.1819,,,30,ok
pair,0,ntk,tanh,128,,1,3,,0.9175,0.9148,0.3007,,,30,ok
pair,0,ntk,tanh,128,,1,4,,0.9175,0.918,0.2345,,,30,ok
pair,0,ntk,tanh,128,,2,3,,0.9171,0.9148,0.27,,,30,ok
