kind,shard,regime,act,width,seed,seedA,seedB,acc,accA,accB,barrier,dF_op,wmove,epochs,status
net,2,sp,relu,1,0,,,0.914,,,,,3.1342,100,ok
net,2,sp,relu,1,1,,,0.9122,,,,,3.1872,100,ok
net,2,sp,relu,1,2,,,0.9138,,,,,3.1788,100,ok
net,2,sp,relu,1,3,,,0.9134,,,,,3.1985,100,ok
net,2,sp,relu,1,4,,,0.915,,,,,3.1298,100,ok
pair,2,sp,relu,1,,0,1,,0.914,0.9122,0.9622,,,100,ok
pair,2,sp,relu,1,,0,2,,0.914,0.9138,1.4636,,,100,ok
pair,2,sp,relu,1,,0,3,,0.914,0.9134,0.9809,,,100,ok
pair,2,sp,relu,1,,0,4,,0.914,0.915,1.0443,,,100,ok
pair,2,sp,relu,1,,1,2,,0.9122,0.9138,0.9984,,,100,ok
pair,2,sp,relu,1,,1,3,,0.9122,0.9134,0.5638,,,100,ok
pair,2,sp,relu,1,,1,4,,0.9122,0.915,1.3294,,,100,ok
pair,2,sp,relu,1,,2,3,,0.9138,0.9134,1.0372,,,100,ok
pair,2,sp,relu,1,,2,4,,0.9138,0.915,0.3677,,,100,ok
pair,2,sp,relu,1,,3,4,,0.9134,0.915,1.1382,,,100,ok
net,2,sp,relu,2,0,,,0.9168,,,,,2.3101,100,ok
net,2,sp,relu,2,1,,,0.9168,,,,,2.3253,100,ok
net,2,sp,relu,2,2,,,0.9201,,,,,2.316,100,ok
net,2,sp,relu,2,3,,,0.916,,,,,2.3315,100,ok
net,2,sp,relu,2,4,,,0.9175,,,,,2.3072,100,ok
pair,2,sp,relu,2,,0,1,,0.9168,0.9168,0.8061,,,100,ok
pair,2,sp,relu,2,,0,2,,0.9168,0.9201,0.5232,,,100,ok
pair,2,sp,relu,2,,0,3,,0.9168,0.916,0.6806,,,100,ok
pair,2,sp,relu,2,,0,4,,0.9168,0.9175,0.8728,,,100,ok
pair,2,sp,relu,2,,1,2,,0.9168,0.9201,0.5916,,,100,ok
pair,2,sp,relu,2,,1,3,,0.9168,0.916,0.512,,,100,ok
pair,2,sp,relu,2,,1,4,,0.9168,0.9175,0.7926,,,100,ok
pair,2,sp,relu,2,,2,3,,0.9201,0.916,0.6113,,,100,ok
pair,2,sp,relu,2,,2,4,,0.9201,0.9175,0.7645,,,100,ok
pair,2,sp,relu,2,,3,4,,0.916,0.9175,0.5551,,,100,ok
net,2,sp,relu,4,0,,,0.9227,,,,,1.5319,100,ok
net,2,sp,relu,4,1,,,0.9246,,,,,1.5477,100,ok
net,2,sp,relu,4,2,,,0.9211,,,,,1.5555,100,ok
net,2,sp,relu,4,3,,,0.9186,,,,,1.5564,100,ok
net,2,sp,relu,4,4,,,0.9244,,,,,1.5506,100,ok
pair,2,sp,relu,4,,0,1,,0.9227,0.9246,0.2569,,,100,ok
pair,2,sp,relu,4,,0,2,,0.9227,0.9211,0.261,,,100,ok
pair,2,sp,relu,4,,0,3,,0.9227,0.9186,0.3086,,,100,ok
pair,2,sp,relu,4,,0,4,,0.9227,0.9244,0.3005,,,100,ok
pair,2,sp,relu,4,,1,2,,0.9246,0.9211,0.3495,,,100,ok
pair,2,sp,relu,4,,1,3,,0.9246,0.9186,0.2383,,,100,ok
pair,2,sp,relu,4,,1,4,,0.9246,0.9244,0.2898,,,100,ok
pair,2,sp,relu,4,,2,3,,0.9211,0.9186,0.4088,,,100,ok
pair,2,sp,relu,4,,2,4,,0.9211,0.9244,0.3189,,,100,ok
pair,2,sp,relu,4,,3,4,,0.9186,0.9244,0.3202,,,100,ok
net,2,sp,relu,8,0,,,0.9261,,,,,1.056,100,ok
net,2,sp,relu,8,1,,,0.925,,,,,1.0584,100,ok
net,2,sp,relu,8,2,,,0.9302,,,,,1.0555,100,ok
net,2,sp,relu,8,3,,,0.9273,,,,,1.0655,100,ok
net,2,sp,relu,8,4,,,0.9301,,,,,1.0587,100,ok
pair,2,sp,relu,8,,0,1,,0.9261,0.925,0.1663,,,100,ok
pair,2,sp,relu,8,,0,2,,0.9261,0.9302,0.2191,,,100,ok
pair,2,sp,relu,8,,0,3,,0.9261,0.9273,0.2045,,,100,ok
pair,2,sp,relu,8,,0,4,,0.9261,0.9301,0.1725,,,100,ok
pair,2,sp,relu,8,,1,2,,0.925,0.9302,0.2599,,,100,ok
pair,2,sp,relu,8,,1,3,,0.925,0.9273,0.1859,,,100,ok
pair,2,sp,relu,8,,1,4,,0.925,0.9301,0.1463,,,100,ok
pair,2,sp,relu,8,,2,3,,0.9302,0.9273,0.194,,,100,ok
pair,2,sp,relu,8,,2,4,,0.9302,0.9301,0.1774,,,100,ok
pair,2,sp,relu,8,,3,4,,0.9273,0.9301,0.1753,,,100,ok
net,2,sp,gelu,1,0,,,0.9104,,,,5.475032,3.1693,100,ok
net,2,sp,gelu,1,1,,,0.9096,,,,4.833419,3.2116,100,ok
net,2,sp,gelu,1,2,,,0.9133,,,,3.630984,3.1794,100,ok
net,2,sp,gelu,1,3,,,0.9096,,,,2.509604,3.1983,100,ok
net,2,sp,gelu,1,4,,,0.9132,,,,4.707598,3.1674,100,ok
pair,2,sp,gelu,1,,0,1,,0.9104,0.9096,2.1197,,,100,ok
pair,2,sp,gelu,1,,0,2,,0.9104,0.9133,1.4584,,,100,ok
pair,2,sp,gelu,1,,0,3,,0.9104,0.9096,1.6425,,,100,ok
pair,2,sp,gelu,1,,0,4,,0.9104,0.9132,0.8845,,,100,ok
pair,2,sp,gelu,1,,1,2,,0.9096,0.9133,1.8108,,,100,ok
pair,2,sp,gelu,1,,1,3,,0.9096,0.9096,1.8477,,,100,ok
pair,2,sp,gelu,1,,1,4,,0.9096,0.9132,1.0217,,,100,ok
pair,2,sp,gelu,1,,2,3,,0.9133,0.9096,3.054,,,100,ok
pair,2,sp,gelu,1,,2,4,,0.9133,0.9132,0.7219,,,100,ok
pair,2,sp,gelu,1,,3,4,,0.9096,0.9132,1.8516,,,100,ok
net,2,sp,gelu,2,0,,,0.9196,,,,7.702084,2.2183,100,ok
net,2,sp,gelu,2,1,,,0.9191,,,,6.271892,2.2367,100,ok
net,2,sp,gelu,2,2,,,0.9185,,,,1.178194,2.226,100,ok
net,2,sp,gelu,2,3,,,0.9172,,,,1.613442,2.2141,100,ok
net,2,sp,gelu,2,4,,,0.9202,,,,1.761868,2.2195,100,ok
pair,2,sp,gelu,2,,0,1,,0.9196,0.9191,0.6785,,,100,ok
pair,2,sp,gelu,2,,0,2,,0.9196,0.9185,0.6903,,,100,ok
pair,2,sp,gelu,2,,0,3,,0.9196,0.9172,0.6485,,,100,ok
pair,2,sp,gelu,2,,0,4,,0.9196,0.9202,0.9576,,,100,ok
pair,2,sp,gelu,2,,1,2,,0.9191,0.9185,0.6788,,,100,ok
