kind,shard,regime,act,width,seed,seedA,seedB,acc,accA,accB,barrier,dF_op,wmove,epochs,status
net,2,sp,relu,64,0,,,0.9807,,,,,1.8405,30,ok
net,2,sp,relu,64,1,,,0.9807,,,,,1.8237,30,ok
net,2,sp,relu,64,2,,,0.9819,,,,,1.8346,30,ok
net,2,sp,relu,64,3,,,0.979,,,,,1.8303,30,ok
net,2,sp,relu,64,4,,,0.9796,,,,,1.8296,30,ok
pair,2,sp,relu,64,,0,1,,0.9807,0.9807,0.0689,,,30,ok
pair,2,sp,relu,64,,0,2,,0.9807,0.9819,0.0615,,,30,ok
pair,2,sp,relu,64,,0,3,,0.9807,0.979,0.0609,,,30,ok
pair,2,sp,relu,64,,0,4,,0.9807,0.9796,0.0554,,,30,ok
pair,2,sp,relu,64,,1,2,,0.9807,0.9819,0.1288,,,30,ok
pair,2,sp,relu,64,,1,3,,0.9807,0.979,0.0788,,,30,ok
pair,2,sp,relu,64,,1,4,,0.9807,0.9796,0.048,,,30,ok
pair,2,sp,relu,64,,2,3,,0.9819,0.979,0.085,,,30,ok
pair,2,sp,relu,64,,2,4,,0.9819,0.9796,0.0514,,,30,ok
pair,2,sp,relu,64,,3,4,,0.979,0.9796,0.06,,,30,ok
net,2,sp,relu,128,0,,,0.984,,,,,1.2684,30,ok
net,2,sp,relu,128,1,,,0.9829,,,,,1.2512,30,ok
net,2,sp,relu,128,2,,,0.9831,,,,,1.2739,30,ok
net,2,sp,relu,128,3,,,0.9839,,,,,1.2731,30,ok
net,2,sp,relu,128,4,,,0.9856,,,,,1.2678,30,ok
pair,2,sp,relu,128,,0,1,,0.984,0.9829,0.0213,,,30,ok
pair,2,sp,relu,128,,0,2,,0.984,0.9831,0.0284,,,30,ok
pair,2,sp,relu,128,,0,3,,0.984,0.9839,0.027,,,30,ok
pair,2,sp,relu,128,,0,4,,0.984,0.9856,0.0244,,,30,ok
pair,2,sp,relu,128,,1,2,,0.9829,0.9831,0.0228,,,30,ok
pair,2,sp,relu,128,,1,3,,0.9829,0.9839,0.0209,,,30,ok
pair,2,sp,relu,128,,1,4,,0.9829,0.9856,0.021,,,30,ok
pair,2,sp,relu,128,,2,3,,0.9831,0.9839,0.0272,,,30,ok
pair,2,sp,relu,128,,2,4,,0.9831,0.9856,0.0195,,,30,ok
pair,2,sp,relu,128,,3,4,,0.9839,0.9856,0.033,,,30,ok
net,2,sp,relu,256,0,,,0.9847,,,,,0.8497,30,ok
net,2,sp,relu,256,1,,,0.9847,,,,,0.8541,30,ok
net,2,sp,relu,256,2,,,0.9836,,,,,0.8474,30,ok
net,2,sp,relu,256,3,,,0.9846,,,,,0.8474,30,ok
net,2,sp,relu,256,4,,,0.984,,,,,0.852,30,ok
pair,2,sp,relu,256,,0,1,,0.9847,0.9847,0.0111,,,30,ok
pair,2,sp,relu,256,,0,2,,0.9847,0.9836,0.0152,,,30,ok
pair,2,sp,relu,256,,0,3,,0.9847,0.9846,0.0124,,,30,ok
pair,2,sp,relu,256,,0,4,,0.9847,0.984,0.0142,,,30,ok
pair,2,sp,relu,256,,1,2,,0.9847,0.9836,0.0102,,,30,ok
pair,2,sp,relu,256,,1,3,,0.9847,0.9846,0.013,,,30,ok
pair,2,sp,relu,256,,1,4,,0.9847,0.984,0.012,,,30,ok
pair,2,sp,relu,256,,2,3,,0.9836,0.9846,0.0111,,,30,ok
pair,2,sp,relu,256,,2,4,,0.9836,0.984,0.0123,,,30,ok
pair,2,sp,relu,256,,3,4,,0.9846,0.984,0.0108,,,30,ok
net,2,sp,relu,512,0,,,0.9857,,,,,0.5703,30,ok
net,2,sp,relu,512,1,,,0.9855,,,,,0.5763,30,ok
net,2,sp,relu,512,2,,,0.9853,,,,,0.5731,30,ok
net,2,sp,relu,512,3,,,0.9856,,,,,0.577,30,ok
net,2,sp,relu,512,4,,,0.986,,,,,0.5789,30,ok
pair,2,sp,relu,512,,0,1,,0.9857,0.9855,0.008,,,30,ok
pair,2,sp,relu,512,,0,2,,0.9857,0.9853,0.0094,,,30,ok
pair,2,sp,relu,512,,0,3,,0.9857,0.9856,0.0084,,,30,ok
pair,2,sp,relu,512,,0,4,,0.9857,0.986,0.008,,,30,ok
pair,2,sp,relu,512,,1,2,,0.9855,0.9853,0.0087,,,30,ok
pair,2,sp,relu,512,,1,3,,0.9855,0.9856,0.0082,,,30,ok
pair,2,sp,relu,512,,1,4,,0.9855,0.986,0.0081,,,30,ok
pair,2,sp,relu,512,,2,3,,0.9853,0.9856,0.0081,,,30,ok
pair,2,sp,relu,512,,2,4,,0.9853,0.986,0.0079,,,30,ok
pair,2,sp,relu,512,,3,4,,0.9856,0.986,0.0075,,,30,ok
net,2,sp,relu,1024,0,,,0.9858,,,,,0.3863,30,ok
net,2,sp,relu,1024,1,,,0.9852,,,,,0.3822,30,ok
net,2,sp,relu,1024,2,,,0.9861,,,,,0.3824,30,ok
net,2,sp,relu,1024,3,,,0.9851,,,,,0.3839,30,ok
net,2,sp,relu,1024,4,,,0.9863,,,,,0.3887,30,ok
pair,2,sp,relu,1024,,0,1,,0.9858,0.9852,0.0092,,,30,ok
pair,2,sp,relu,1024,,0,2,,0.9858,0.9861,0.0092,,,30,ok
pair,2,sp,relu,1024,,0,3,,0.9858,0.9851,0.0122,,,30,ok
