kind,shard,regime,act,width,seed,seedA,seedB,acc,accA,accB,barrier,dF_op,wmove,epochs,status
net,3,sp,swish,1,0,,,0.9051,,,,3.469525,3.1327,100,ok
net,3,sp,swish,1,1,,,0.9063,,,,2.917409,3.1644,100,ok
net,3,sp,swish,1,2,,,0.9075,,,,4.267331,3.0926,100,ok
net,3,sp,swish,1,3,,,0.9073,,,,5.000052,3.1261,100,ok
net,3,sp,swish,1,4,,,0.9079,,,,3.753892,3.194,100,ok
pair,3,sp,swish,1,,0,1,,0.9051,0.9063,3.0683,,,100,ok
pair,3,sp,swish,1,,0,2,,0.9051,0.9075,0.887,,,100,ok
pair,3,sp,swish,1,,0,3,,0.9051,0.9073,1.5499,,,100,ok
pair,3,sp,swish,1,,0,4,,0.9051,0.9079,3.3211,,,100,ok
pair,3,sp,swish,1,,1,2,,0.9063,0.9075,0.8462,,,100,ok
pair,3,sp,swish,1,,1,3,,0.9063,0.9073,0.9415,,,100,ok
pair,3,sp,swish,1,,1,4,,0.9063,0.9079,1.6146,,,100,ok
pair,3,sp,swish,1,,2,3,,0.9075,0.9073,1.9046,,,100,ok
pair,3,sp,swish,1,,2,4,,0.9075,0.9079,1.75,,,100,ok
pair,3,sp,swish,1,,3,4,,0.9073,0.9079,4.3066,,,100,ok
net,3,sp,swish,2,0,,,0.9165,,,,2.902298,2.2326,100,ok
net,3,sp,swish,2,1,,,0.916,,,,0.759297,2.2463,100,ok
net,3,sp,swish,2,2,,,0.9149,,,,1.018203,2.2205,100,ok
net,3,sp,swish,2,3,,,0.9146,,,,1.212258,2.2265,100,ok
net,3,sp,swish,2,4,,,0.9161,,,,0.827352,2.2329,100,ok
pair,3,sp,swish,2,,0,1,,0.9165,0.916,0.8036,,,100,ok
pair,3,sp,swish,2,,0,2,,0.9165,0.9149,0.7455,,,100,ok
pair,3,sp,swish,2,,0,3,,0.9165,0.9146,0.9795,,,100,ok
pair,3,sp,swish,2,,0,4,,0.9165,0.9161,1.0347,,,100,ok
pair,3,sp,swish,2,,1,2,,0.916,0.9149,0.7847,,,100,ok
pair,3,sp,swish,2,,1,3,,0.916,0.9146,1.3714,,,100,ok
pair,3,sp,swish,2,,1,4,,0.916,0.9161,0.7389,,,100,ok
pair,3,sp,swish,2,,2,3,,0.9149,0.9146,0.7377,,,100,ok
pair,3,sp,swish,2,,2,4,,0.9149,0.9161,0.6169,,,100,ok
pair,3,sp,swish,2,,3,4,,0.9146,0.9161,1.1168,,,100,ok
net,3,sp,swish,4,0,,,0.9237,,,,0.305295,1.4625,100,ok
net,3,sp,swish,4,1,,,0.9238,,,,0.391106,1.4607,100,ok
net,3,sp,swish,4,2,,,0.9228,,,,0.930563,1.4496,100,ok
net,3,sp,swish,4,3,,,0.9206,,,,0.314548,1.4611,100,ok
net,3,sp,swish,4,4,,,0.9243,,,,0.377634,1.4503,100,ok
pair,3,sp,swish,4,,0,1,,0.9237,0.9238,0.6722,,,100,ok
pair,3,sp,swish,4,,0,2,,0.9237,0.9228,0.7214,,,100,ok
pair,3,sp,swish,4,,0,3,,0.9237,0.9206,0.5259,,,100,ok
pair,3,sp,swish,4,,0,4,,0.9237,0.9243,0.3557,,,100,ok
pair,3,sp,swish,4,,1,2,,0.9238,0.9228,0.3729,,,100,ok
pair,3,sp,swish,4,,1,3,,0.9238,0.9206,0.569,,,100,ok
pair,3,sp,swish,4,,1,4,,0.9238,0.9243,0.5837,,,100,ok
pair,3,sp,swish,4,,2,3,,0.9228,0.9206,0.4018,,,100,ok
pair,3,sp,swish,4,,2,4,,0.9228,0.9243,0.4663,,,100,ok
pair,3,sp,swish,4,,3,4,,0.9206,0.9243,0.516,,,100,ok
net,3,sp,swish,8,0,,,0.9254,,,,0.3054,0.979,100,ok
net,3,sp,swish,8,1,,,0.9262,,,,0.181997,0.9856,100,ok
