kind,mode,shard,regime,act,width,seedA,seedB,dnorm,dev_geo,dev_rel,gamma_mid,flen_A,flen_mid,flen_B,rq_A,rq_mid,rq_B,lam,lam_rel,cg_resid,fd_instab,accA,accB,status
geo,mlp,,ntk,gelu,128,3,4,465.9602,7.419104e+00,1.592218e-02,1.197004e+02,2.119998e+00,6.192060e-01,3.253833e+00,1.952845e-05,5.703841e-06,2.997281e-05,2.6085e-03,0.01,9.95e-07,1.615e-02,0.9256,0.9246,ok
geo,mlp,,ntk,gelu,256,0,1,696.7278,9.544946e+00,1.369968e-02,1.608309e+02,2.009218e+00,5.261714e-01,2.463755e+00,8.278100e-06,2.167859e-06,1.015082e-05,2.0962e-03,0.01,8.88e-07,1.780e-02,0.9241,0.923,ok
geo,mlp,,ntk,gelu,256,0,2,698.3337,9.274616e+00,1.328107e-02,1.524432e+02,2.137146e+00,4.065821e-01,2.168837e+00,8.764721e-06,1.667447e-06,8.894689e-06,2.0962e-03,0.01,9.95e-07,1.740e-02,0.9241,0.9261,ok
geo,mlp,,ntk,gelu,256,0,3,696.8572,9.482299e+00,1.360723e-02,1.624576e+02,2.304693e+00,4.684473e-01,2.110919e+00,9.491952e-06,1.929315e-06,8.693884e-06,2.0962e-03,0.01,9.67e-07,2.499e-02,0.9241,0.9224,ok
geo,mlp,,ntk,gelu,256,0,4,697.9973,8.613626e+00,1.234049e-02,1.396915e+02,2.269347e+00,3.537403e-01,1.737944e+00,9.315870e-06,1.452135e-06,7.134415e-06,2.0962e-03,0.01,9.03e-07,1.926e-02,0.9241,0.9256,ok
geo,mlp,,ntk,gelu,256,1,2,697.9726,8.937416e+00,1.280482e-02,1.485219e+02,3.097309e+00,3.933409e-01,2.170748e+00,1.271563e-05,1.614813e-06,8.911742e-06,2.2049e-03,0.01,9.84e-07,1.719e-02,0.923,0.9261,ok
geo,mlp,,ntk,gelu,256,1,3,697.5482,8.941780e+00,1.281887e-02,1.552885e+02,2.189616e+00,4.017627e-01,2.178010e+00,9.000145e-06,1.651396e-06,8.952442e-06,2.2049e-03,0.01,9.74e-07,1.894e-02,0.923,0.9224,ok
geo,mlp,,ntk,gelu,256,1,4,697.4769,8.970210e+00,1.286094e-02,1.530078e+02,1.976494e+00,4.232202e-01,2.357931e+00,8.125795e-06,1.739950e-06,9.693966e-06,2.2049e-03,0.01,8.24e-07,3.058e-02,0.923,0.9256,ok
geo,mlp,,ntk,gelu,256,2,3,697.887,9.315578e+00,1.334826e-02,1.569521e+02,2.175630e+00,4.062879e-01,2.198740e+00,8.933977e-06,1.668375e-06,9.028875e-06,2.0676e-03,0.01,9.83e-07,2.167e-02,0.9261,0.9224,ok
geo,mlp,,ntk,gelu,256,2,4,697.5278,9.483647e+00,1.359609e-02,1.616865e+02,2.186366e+00,4.074297e-01,1.826846e+00,8.987314e-06,1.674787e-06,7.509465e-06,2.0676e-03,0.01,9.63e-07,2.206e-02,0.9261,0.9256,ok
geo,mlp,,ntk,gelu,256,3,4,698.092,9.242095e+00,1.323908e-02,1.599293e+02,2.165952e+00,4.559377e-01,2.146602e+00,8.889013e-06,1.871156e-06,8.809598e-06,2.3956e-03,0.01,9.55e-07,2.422e-02,0.9224,0.9256,ok
geo,mlp,,ntk,gelu,512,0,1,1097.4982,1.214074e+01,1.106219e-02,2.059166e+02,2.047072e+00,3.919569e-01,2.709258e+00,3.399034e-06,6.508198e-07,4.498552e-06,1.7545e-03,0.01,7.62e-07,2.838e-02,0.9208,0.9201,ok
geo,mlp,,ntk,gelu,512,0,2,1098.0881,1.231317e+01,1.121328e-02,2.104794e+02,2.513200e+00,2.822414e-01,2.462378e+00,4.168527e-06,4.681406e-07,4.084231e-06,1.7545e-03,0.01,7.31e-07,3.798e-02,0.9208,0.9187,ok
geo,mlp,,ntk,gelu,512,0,3,1097.9054,1.200043e+01,1.093030e-02,2.013855e+02,2.040323e+00,3.592972e-01,2.688860e+00,3.385315e-06,5.961478e-07,4.461371e-06,1.7545e-03,0.01,9.26e-07,3.376e-02,0.9208,0.9222,ok
geo,mlp,,ntk,gelu,512,0,4,1099.4983,1.159465e+01,1.054540e-02,1.890884e+02,2.241745e+00,2.700653e-01,2.223311e+00,3.708746e-06,4.467964e-07,3.678249e-06,1.7545e-03,0.01,7.10e-07,4.228e-02,0.9208,0.9218,ok
geo,mlp,,ntk,gelu,512,1,2,1097.8928,1.247620e+01,1.136377e-02,2.106997e+02,2.430330e+00,3.659213e-01,2.467391e+00,4.032509e-06,6.071525e-07,4.094003e-06,1.5611e-03,0.01,8.65e-07,3.231e-02,0.9201,0.9187,ok
geo,mlp,,ntk,gelu,512,1,3,1097.5436,1.273940e+01,1.160719e-02,2.118963e+02,2.296560e+00,4.301325e-01,2.439109e+00,3.812977e-06,7.141489e-07,4.049651e-06,1.5611e-03,0.01,9.44e-07,3.732e-02,0.9201,0.9222,ok
geo,mlp,,ntk,gelu,512,1,4,1098.4194,1.288466e+01,1.173018e-02,2.163648e+02,2.548643e+00,4.161326e-01,2.127781e+00,4.224765e-06,6.898034e-07,3.527123e-06,1.5611e-03,0.01,9.80e-07,3.285e-02,0.9201,0.9218,ok
geo,mlp,,ntk,gelu,512,2,3,1097.4469,1.222902e+01,1.114315e-02,2.080784e+02,2.694519e+00,4.076435e-01,2.384618e+00,4.474497e-06,6.769295e-07,3.959878e-06,1.6698e-03,0.01,9.23e-07,2.908e-02,0.9187,0.9222,ok
geo,mlp,,ntk,gelu,512,2,4,1097.3921,1.186530e+01,1.081227e-02,1.947492e+02,2.398520e+00,3.427714e-01,2.605976e+00,3.983361e-06,5.692603e-07,4.327895e-06,1.6698e-03,0.01,8.85e-07,2.970e-02,0.9187,0.9218,ok
geo,mlp,,ntk,gelu,512,3,4,1098.4611,1.245090e+01,1.133486e-02,2.097600e+02,2.651517e+00,5.515924e-01,2.249526e+00,4.394961e-06,9.142793e-07,3.728651e-06,1.5588e-03,0.01,9.88e-07,3.002e-02,0.9222,0.9218,ok
geo,mlp,,ntk,gelu,1024,0,1,1837.4213,1.531034e+01,8.332515e-03,2.446079e+02,2.705044e+00,4.298011e-01,2.953615e+00,1.602459e-06,2.546127e-07,1.749711e-06,1.4731e-03,0.01,8.73e-07,5.116e-02,0.9199,0.9216,ok
geo,mlp,,ntk,gelu,1024,0,2,1837.738,1.587503e+01,8.638352e-03,2.588544e+02,2.881480e+00,3.106022e-01,2.907097e+00,1.706390e-06,1.839362e-07,1.721561e-06,1.4731e-03,0.01,9.30e-07,5.061e-02,0.9199,0.9208,ok
geo,mlp,,ntk,gelu,1024,0,3,1836.7837,1.554989e+01,8.465824e-03,2.500832e+02,2.802077e+00,2.953984e-01,2.764385e+00,1.661093e-06,1.751145e-07,1.638749e-06,1.4731e-03,0.01,9.45e-07,5.386e-02,0.9199,0.92,ok
geo,mlp,,ntk,gelu,1024,0,4,1837.1864,1.567573e+01,8.532465e-03,2.619351e+02,2.480366e+00,2.454144e-01,2.523568e+00,1.469736e-06,1.454198e-07,1.495335e-06,1.4731e-03,0.01,8.79e-07,6.900e-02,0.9199,0.9186,ok
geo,mlp,,ntk,gelu,1024,1,2,1839.269,1.635734e+01,8.893392e-03,2.546111e+02,3.177258e+00,2.577120e-01,2.697810e+00,1.878417e-06,1.523611e-07,1.594964e-06,1.4018e-03,0.01,9.77e-07,5.400e-02,0.9216,0.9208,ok
geo,mlp,,ntk,gelu,1024,1,3,1837.9366,1.621568e+01,8.822766e-03,2.580174e+02,2.993505e+00,1.956141e-01,2.617797e+00,1.772348e-06,1.158162e-07,1.549905e-06,1.4018e-03,0.01,9.91e-07,5.448e-02,0.9216,0.92,ok
geo,mlp,,ntk,gelu,1024,1,4,1838.6272,1.592971e+01,8.663913e-03,2.552848e+02,2.964202e+00,3.067407e-01,2.713609e+00,1.753680e-06,1.814738e-07,1.605425e-06,1.4018e-03,0.01,9.96e-07,5.449e-02,0.9216,0.9186,ok
geo,mlp,,ntk,gelu,1024,2,3,1837.1083,1.549296e+01,8.433341e-03,2.465317e+02,2.864942e+00,2.846772e-01,2.708205e+00,1.697760e-06,1.686992e-07,1.604878e-06,1.4207e-03,0.01,9.88e-07,4.558e-02,0.9208,0.92,ok
geo,mlp,,ntk,gelu,1024,2,4,1837.5635,1.589387e+01,8.649426e-03,2.554232e+02,3.087210e+00,3.954905e-01,2.529578e+00,1.828569e-06,2.342510e-07,1.498282e-06,1.4207e-03,0.01,9.11e-07,4.924e-02,0.9208,0.9186,ok
geo,mlp,,ntk,gelu,1024,3,4,1837.8754,1.525917e+01,8.302613e-03,2.462231e+02,2.584188e+00,1.954231e-01,2.573808e+00,1.530108e-06,1.157108e-07,1.523962e-06,1.4570e-03,0.01,9.85e-07,5.139e-02,0.92,0.9186,ok
geo,mlp,,ntk,gelu,2048,0,1,3273.8606,1.951275e+01,5.960167e-03,2.870164e+02,3.536189e+00,1.813829e-01,3.371078e+00,6.598497e-07,3.384589e-08,6.290403e-07,1.1996e-03,0.01,9.62e-07,1.092e-01,0.9197,0.9205,ok
geo,mlp,,ntk,gelu,2048,0,2,3277.4309,1.976193e+01,6.029703e-03,2.934506e+02,3.594629e+00,2.361481e-01,3.297065e+00,6.692940e-07,4.396908e-08,6.138898e-07,1.1996e-03,0.01,9.35e-07,7.888e-02,0.9197,0.9181,ok
geo,mlp,,ntk,gelu,2048,0,3,3276.5378,1.894936e+01,5.783348e-03,2.925231e+02,2.985953e+00,1.626020e-01,3.102032e+00,5.562661e-07,3.029184e-08,5.778909e-07,1.1996e-03,0.01,9.65e-07,9.759e-02,0.9197,0.9171,ok
geo,mlp,,ntk,gelu,2048,0,4,3275.0686,1.917771e+01,5.855665e-03,2.900061e+02,3.203171e+00,1.570142e-01,3.198224e+00,5.972681e-07,2.927710e-08,5.963457e-07,1.1996e-03,0.01,9.61e-07,9.562e-02,0.9197,0.9167,ok
