mode,regime,act,width,n_seeds,n_pairs,acc_med,dF_med,dF_q1,dF_q3,dev_rel_med,dev_rel_q1,dev_rel_q3,dev_rel2_med,gamma_mid_med,flen_mid_med,flen_mid_q1,flen_mid_q3,rq_mid_med,fd_instab_med,alpha_dF,alpha_dF_r2,alpha_devrel2,alpha_devrel2_r2,alpha_flen,alpha_flen_r2
cnn,mup,gelu,1,5,10,0.9102,5.34048,4.284283,5.938237,1.6533950000000002,1.371441,2.22646125,0.022281042897565474,1959.192,19.244,17.128327499999997,35.281505,0.00698533,0.8732,1.7572,0.9996,-0.2135,0.3442,1.645,0.9966
cnn,mup,gelu,2,5,10,0.9144,1.464916,1.318036,5.305651,3.5301945,2.8531765,3.833611,0.03912306759498981,4883.4475,5.2580735,4.6571162500000005,6.83003225,0.001297566,1.0069,1.7572,0.9996,-0.2135,0.3442,1.645,0.9966
cnn,mup,gelu,4,5,10,0.9193,0.458814,0.446252,0.562404,5.15502,4.44977375,5.716579,0.04815132572602109,6097.5285,1.7060575,1.60023725,2.12393375,0.00029907800000000004,1.1099999999999999,1.7572,0.9996,-0.2135,0.3442,1.645,0.9966
cnn,mup,gelu,8,4,10,0.9216,0.135647,0.08809125,0.30848675000000003,4.461835,3.5003155,5.608141249999999,0.034052714392854296,5001.806500000001,0.6260064999999999,0.569327275,0.71373175,7.3554355e-05,1.011,1.7572,0.9996,-0.2135,0.3442,1.645,0.9966
cnn,mup,relu,1,0,0,0.9102,,,,,,,,,,,,,,,,,,,
cnn,mup,relu,2,0,0,0.9155,,,,,,,,,,,,,,,,,,,
cnn,mup,relu,4,0,0,0.9173,,,,,,,,,,,,,,,,,,,
cnn,mup,relu,8,0,0,0.9221,,,,,,,,,,,,,,,,,,,
cnn,mup,softplus,1,5,10,0.9055,1.987827,1.668379,2.967726,0.1769813,0.1251331,0.30421207499999997,0.002480778753082476,149.98415,5.8039395,2.92000725,9.425600750000001,0.002265716,1.134,1.5445,0.9857,0.5277,0.827,0.9661,0.9864
cnn,mup,softplus,2,5,10,0.9103,0.603406,0.572189,0.638696,0.19271425,0.149400825,0.262717475,0.0021119381415062267,246.4238,2.598503,2.37491525,3.0010097499999997,0.00062924275,1.2269999999999999,1.5445,0.9857,0.5277,0.827,0.9661,0.9864
cnn,mup,softplus,4,5,10,0.915,0.294837,0.195534,0.585873,0.21001730000000002,0.09790816499999999,0.32966975,0.0017981907784274651,224.40585,1.2588335,1.1852624999999999,1.37568775,0.00018469225,1.26,1.5445,0.9857,0.5277,0.827,0.9661,0.9864
cnn,mup,softplus,8,5,10,0.9141,0.071158,0.070422,0.080415,0.11486495,0.0772438525,0.13963214999999998,0.0007733923773704993,210.51655,0.79292115,0.5973385499999999,0.908262325,7.2276345e-05,1.123,1.5445,0.9857,0.5277,0.827,0.9661,0.9864
cnn,mup,swish,1,5,10,0.9075,4.614669,4.059464,4.813575,1.450482,1.2357770000000001,1.51189825,0.019504181541404764,1910.7615,19.441850000000002,16.849999999999998,21.165577499999998,0.006984742,1.0071999999999999,1.636,0.9467,-0.1229,0.0646,1.5949,0.9927
cnn,mup,swish,2,5,10,0.9142,1.959972,1.043681,2.902599,4.5619885,3.77809475,4.8774435,0.050403718227585104,5522.537,7.0563305,5.66761525,9.11844875,0.0017054975,1.0585,1.636,0.9467,-0.1229,0.0646,1.5949,0.9927
cnn,mup,swish,4,5,10,0.9183,0.29794,0.227223,0.308227,4.6819939999999995,4.491061999999999,5.80982575,0.0429552053049161,6321.8634999999995,1.797299,1.6638145,2.0972435,0.0003031732,1.1045,1.636,0.9467,-0.1229,0.0646,1.5949,0.9927
cnn,mup,swish,8,5,10,0.9216,0.197365,0.146451,0.395601,3.686374,2.94674,5.93797175,0.02732447779681514,5564.8195,0.7696973,0.7343181750000001,0.834563375,8.3993525e-05,0.997,1.636,0.9467,-0.1229,0.0646,1.5949,0.9927
cnn,mup,tanh,1,5,10,0.9113,4.697559,3.95389,5.408733,2.1067885,1.6822632499999999,2.940967,0.028012635876642874,2365.2235,18.671585,12.830675,26.3102975,0.0066364635,0.91315,1.5116,0.8543,-0.279,0.8318,0.8255,0.9686
cnn,mup,tanh,2,5,10,0.9131,3.468099,2.741209,4.638813,3.6707064999999997,3.23310825,4.00892125,0.039800065348090344,4724.802,8.801917,7.47292425,12.072195,0.00206845,0.97415,1.5116,0.8543,-0.279,0.8318,0.8255,0.9686
cnn,mup,tanh,4,5,10,0.9137,1.635959,1.05849,2.517746,4.3696665,3.883507,4.68961275,0.03723290036856347,7667.8665,4.64142,4.15523825,7.634723999999999,0.0006771803,1.2265000000000001,1.5116,0.8543,-0.279,0.8318,0.8255,0.9686
cnn,mup,tanh,8,5,10,0.9185,0.183608,0.138693,0.21177,8.335366,7.580716,9.83246725,0.05456884224190435,18702.635000000002,3.4311975,2.8497725000000003,3.9808097499999997,0.00030859005,1.222,1.5116,0.8543,-0.279,0.8318,0.8255,0.9686
cnn,ntk,gelu,1,5,10,0.8847,0.894314,0.804662,1.215369,0.45620055000000004,0.435542475,0.590678525,0.002167023270333224,1350.907,27.398105,21.046845,39.711005,0.0012239745,0.7777499999999999,0.7347,0.8932,1.7806,0.9995,0.6037,0.8454
cnn,ntk,gelu,2,5,10,0.8861,0.343023,0.278964,0.714003,0.2628222,0.202446275,0.369134125,0.0006293238349888618,1432.472,30.66543,13.7854325,38.93199,0.00035409155000000003,0.8160499999999999,0.7347,0.8932,1.7806,0.9995,0.6037,0.8454
cnn,ntk,gelu,4,5,10,0.8866,0.342161,0.276313,0.530576,0.16222965,0.14890595,0.19931385,0.0001948034772961037,1503.6840000000002,13.358015,10.96975,18.4662675,3.870069e-05,0.86475,0.7347,0.8932,1.7806,0.9995,0.6037,0.8454
