regime,act,width,seedA,seedB,dnorm,lam_max,devrel_1e-1,devrel_1e-2,devrel_1e-3,cg_resid,fd_instab,status
ntk,swish,64,0,2,3.211902e+02,4.231634e-01,5.294752e-03,1.613171e-02,3.434521e-02,9.85e-07,1.082e-02,ok
ntk,swish,64,0,3,3.214868e+02,4.231634e-01,4.838425e-03,1.455008e-02,3.241451e-02,9.95e-07,1.244e-02,ok
ntk,swish,128,0,1,4.644866e+02,3.176431e-01,5.208274e-03,1.399969e-02,3.023826e-02,9.85e-07,2.191e-02,ok
ntk,swish,128,0,2,4.647975e+02,3.176431e-01,4.293171e-03,1.301643e-02,2.858840e-02,9.61e-07,1.586e-02,ok
ntk,swish,128,0,3,4.649174e+02,3.176431e-01,3.892215e-03,1.271043e-02,2.771213e-02,9.95e-07,1.265e-02,ok
ntk,swish,256,0,1,6.981431e+02,2.374759e-01,3.549449e-03,1.287244e-02,2.474997e-02,9.69e-07,3.151e-02,ok
ntk,swish,256,0,2,6.986954e+02,2.374759e-01,3.866091e-03,1.315110e-02,2.817017e-02,9.50e-07,2.226e-02,ok
ntk,swish,256,0,3,6.981678e+02,2.374759e-01,3.773914e-03,1.295936e-02,2.569284e-02,9.90e-07,3.569e-02,ok
ntk,swish,512,0,1,1.098991e+03,2.005080e-01,2.721459e-03,1.005445e-02,2.057321e-02,9.63e-07,3.146e-02,ok
ntk,swish,512,0,2,1.099205e+03,2.005080e-01,2.682482e-03,1.024978e-02,2.223801e-02,9.84e-07,2.753e-02,ok
ntk,swish,512,0,3,1.097983e+03,2.005080e-01,2.771341e-03,1.045841e-02,2.074956e-02,9.58e-07,3.354e-02,ok
ntk,swish,1024,0,1,1.838399e+03,1.404747e-01,2.292406e-03,8.971298e-03,2.073476e-02,9.55e-07,5.167e-02,ok
ntk,swish,1024,0,2,1.839919e+03,1.404747e-01,2.259010e-03,8.581036e-03,1.852908e-02,9.66e-07,5.875e-02,ok
ntk,swish,1024,0,3,1.839946e+03,1.404747e-01,2.223800e-03,8.640166e-03,1.996278e-02,9.98e-07,4.252e-02,ok
ntk,swish,2048,0,1,3.274320e+03,1.248645e-01,1.280861e-03,5.856241e-03,1.504110e-02,9.96e-07,8.725e-02,ok
ntk,swish,2048,0,2,3.277533e+03,1.248645e-01,1.295617e-03,5.784489e-03,1.536382e-02,9.87e-07,7.583e-02,ok
ntk,swish,2048,0,3,3.275438e+03,1.248645e-01,1.298416e-03,5.772717e-03,1.323692e-02,9.45e-07,9.383e-02,ok
ntk,swish,4096,0,1,6.126785e+03,1.028334e-01,7.390511e-04,3.732671e-03,1.215288e-02,1.00e-06,1.233e-01,ok
ntk,swish,4096,0,2,6.130759e+03,1.028334e-01,7.514087e-04,3.697078e-03,1.193534e-02,9.23e-07,1.775e-01,ok
ntk,swish,4096,0,3,6.129632e+03,1.028334e-01,7.445105e-04,3.668216e-03,1.235693e-02,9.86e-07,1.368e-01,ok
ntk,softplus,64,0,1,3.204401e+02,6.751218e-01,4.376361e-03,1.063694e-02,2.885286e-02,9.41e-07,8.789e-03,ok
ntk,softplus,64,0,2,3.202876e+02,6.751218e-01,4.175142e-03,1.312312e-02,3.067213e-02,9.98e-07,2.419e-02,ok
ntk,softplus,64,0,3,3.204824e+02,6.751218e-01,3.459232e-03,1.127935e-02,2.751038e-02,9.66e-07,3.101e-02,ok
ntk,softplus,128,0,1,4.648353e+02,5.536035e-01,3.084913e-03,9.357268e-03,2.339287e-02,9.77e-07,2.055e-02,ok
ntk,softplus,128,0,2,4.650121e+02,5.536035e-01,2.828904e-03,1.035273e-02,2.496424e-02,9.87e-07,2.541e-02,ok
ntk,softplus,128,0,3,4.653960e+02,5.536035e-01,3.376010e-03,8.841421e-03,2.366095e-02,9.34e-07,1.582e-02,ok
ntk,softplus,256,0,1,6.979874e+02,4.282717e-01,2.132781e-03,9.129020e-03,2.185803e-02,9.35e-07,4.041e-02,ok
ntk,softplus,256,0,2,6.979675e+02,4.282717e-01,2.010858e-03,8.979216e-03,2.100696e-02,9.97e-07,3.441e-02,ok
ntk,softplus,256,0,3,6.980764e+02,4.282717e-01,1.836826e-03,8.567714e-03,2.074627e-02,9.52e-07,2.967e-02,ok
ntk,softplus,512,0,1,1.097599e+03,3.305009e-01,1.568860e-03,7.919556e-03,1.873421e-02,9.50e-07,6.035e-02,ok
ntk,softplus,512,0,2,1.099707e+03,3.305009e-01,1.577328e-03,8.019320e-03,1.877163e-02,9.34e-07,4.867e-02,ok
ntk,softplus,512,0,3,1.098546e+03,3.305009e-01,1.581090e-03,7.620474e-03,1.847174e-02,9.68e-07,3.270e-02,ok
ntk,softplus,1024,0,1,1.837495e+03,2.627333e-01,1.116972e-03,6.118677e-03,1.591638e-02,9.96e-07,5.837e-02,ok
ntk,softplus,1024,0,2,1.839080e+03,2.627333e-01,1.113828e-03,6.042219e-03,1.529100e-02,9.51e-07,4.892e-02,ok
ntk,softplus,1024,0,3,1.838227e+03,2.627333e-01,1.102048e-03,6.002848e-03,1.534845e-02,9.51e-07,5.029e-02,ok
ntk,softplus,2048,0,1,3.275006e+03,2.044846e-01,6.476900e-04,4.019340e-03,1.113500e-02,9.77e-07,8.490e-02,ok
ntk,softplus,2048,0,2,3.277054e+03,2.044846e-01,7.006867e-04,4.069949e-03,1.216829e-02,9.04e-07,8.753e-02,ok
ntk,softplus,2048,0,3,3.276231e+03,2.044846e-01,6.707577e-04,4.025717e-03,1.342742e-02,9.46e-07,9.098e-02,ok
ntk,softplus,4096,0,1,6.126861e+03,1.825317e-01,3.501823e-04,2.302906e-03,8.037870e-03,8.79e-07,1.765e-01,ok
ntk,softplus,4096,0,2,6.131624e+03,1.825317e-01,3.545465e-04,2.314214e-03,8.684991e-03,9.68e-07,2.422e-01,ok
ntk,softplus,4096,0,3,6.129240e+03,1.825317e-01,3.613545e-04,2.276286e-03,8.000542e-03,7.81e-07,2.235e-01,ok
