mode,regime,act,width,n_pairs,B,t_star,rho_A,rho_mid,rho_max,rho_at_tstar,acc_mid,flen_A,flen_mid,flen_B,flen_at_tstar,rq_mid,R_end,R_mid,R_tstar,fd_instab
mlp,ntk,softplus,1024,10,0.7695438,0.5,0.2424864,0.6920284999999999,0.6920284999999999,0.6920284999999999,0.7184999999999999,,,,,,,,,
mlp,ntk,softplus,2048,10,0.8743302500000001,0.5,0.2697754,0.7362356999999999,0.7362356999999999,0.7362356999999999,0.6754,,,,,,,,,
mlp,ntk,softplus,4096,10,0.97817375,0.5,0.2949365,0.7732067499999999,0.7732067499999999,0.7732067499999999,0.6487499999999999,,,,,,,,,
mlp,ntk,swish,64,10,0.40017135000000004,0.5,0.1630409,0.44349395,0.44349395,0.44349395,0.80265,,,,,,,,,
mlp,ntk,swish,128,10,0.49494395,0.5,0.1709425,0.49991645,0.49991645,0.49991645,0.75075,,,,,,,,,
mlp,ntk,swish,256,10,0.5839534,0.5,0.1814121,0.5701019,0.5701019,0.5701019,0.7457,,,,,,,,,
mlp,ntk,swish,512,10,0.6690932,0.5,0.1921676,0.61431725,0.61431725,0.6138593999999999,0.728,,,,,,,,,
mlp,ntk,swish,1024,10,0.8128353500000001,0.5,0.206976,0.6828395,0.6828395,0.6828395,0.6913499999999999,,,,,,,,,
mlp,ntk,swish,2048,10,0.92965635,0.5,0.2240245,0.7341577,0.7341577,0.7341577,0.69545,,,,,,,,,
mlp,ntk,swish,4096,10,1.0211139999999999,0.5,0.2421063,0.77494565,0.77494565,0.77494565,0.62085,,,,,,,,,
mlp,ntk,tanh,64,10,0.1959273,0.5,0.1764106,0.33832514999999996,0.33832514999999996,0.33832514999999996,0.87495,,,,,,,,,
mlp,ntk,tanh,128,10,0.2209025,0.5,0.1922944,0.3739578,0.3739578,0.3739578,0.88565,,,,,,,,,
mlp,ntk,tanh,256,10,0.33832825,0.5,0.2043368,0.46489305000000003,0.46489305000000003,0.46489305000000003,0.8733,,,,,,,,,
mlp,ntk,tanh,512,10,0.45120735,0.5,0.21681045,0.53508735,0.53508735,0.53508735,0.86205,,,,,,,,,
mlp,ntk,tanh,1024,10,0.52993975,0.5,0.2279359,0.58296915,0.58296915,0.58296915,0.8613999999999999,,,,,,,,,
mlp,ntk,tanh,2048,10,0.6627086499999999,0.5,0.234027,0.64104175,0.64104175,0.64104175,0.81945,,,,,,,,,
mlp,ntk,tanh,4096,10,0.7278554,0.5,0.2365959,0.66899265,0.66899265,0.66899265,0.81165,,,,,,,,,
mlp,sp,gelu,64,10,0.070907005,0.5,0.0002938091,0.036449325000000005,0.036449325000000005,0.036392850000000004,0.97865,,,,,,,,,
mlp,sp,gelu,128,10,0.02479589,0.5,0.0001118193,0.01692008,0.016923155000000002,0.01692008,0.99135,,,,,,,,,
mlp,sp,gelu,256,10,0.012055179999999999,0.5,8.559858e-05,0.010153265000000002,0.010153265000000002,0.010153265000000002,0.9959,,,,,,,,,
mlp,sp,gelu,512,10,0.01024725,0.5,7.704167e-05,0.0095952455,0.0095952455,0.0095952455,0.997,,,,,,,,,
mlp,sp,gelu,1024,10,0.013509614999999999,0.5,8.093509e-05,0.01293966,0.01293966,0.01293966,0.9965,,,,,,,,,
mlp,sp,gelu,2048,10,0.037533504999999995,0.5,8.850476e-05,0.035887765,0.035887765,0.035887765,0.9904,,,,,,,,,
mlp,sp,gelu,4096,10,0.1141077,0.5,0.00010119805,0.099051375,0.099051375,0.099051375,0.9635,,,,,,,,,
mlp,sp,softplus,64,10,0.06385716,0.5,0.00045636435,0.035108890000000004,0.035108890000000004,0.035108890000000004,0.9797,,,,,,,,,
mlp,sp,softplus,128,10,0.02345139,0.5,0.0002613403,0.017388445000000002,0.017388445000000002,0.017388445000000002,0.9921,,,,,,,,,
mlp,sp,softplus,256,10,0.013541435000000001,0.5,0.0002100233,0.011729365,0.011729365,0.011729365,0.99515,,,,,,,,,
mlp,sp,softplus,512,10,0.0123334,0.5,0.00024082875,0.010681495,0.010681495,0.010681495,0.9955499999999999,,,,,,,,,
mlp,sp,softplus,1024,10,0.018593,0.5,0.0003265612,0.01505851,0.01505851,0.01505851,0.99385,,,,,,,,,
mlp,sp,softplus,2048,10,0.038413600000000006,0.5,0.00039982635,0.02972386,0.02972386,0.02972386,0.9864999999999999,,,,,,,,,
mlp,sp,softplus,4096,10,0.1263428,0.5,0.0004499361,0.08867382,0.08867382,0.08867382,0.9554,,,,,,,,,
mlp,sp,swish,64,10,0.07910283,0.5,0.000309098,0.03873393,0.038785075,0.038785075,0.9763999999999999,,,,,,,,,
mlp,sp,swish,128,10,0.02393721,0.5,0.0001231689,0.01702854,0.01703929,0.01703929,0.99195,,,,,,,,,
mlp,sp,swish,256,10,0.013568375,0.5,0.0001080072,0.010998089999999999,0.010998089999999999,0.010998089999999999,0.99545,,,,,,,,,
mlp,sp,swish,512,10,0.01121658,0.5,0.0001158867,0.010262185,0.010262185,0.010262185,0.99665,,,,,,,,,
mlp,sp,swish,1024,10,0.01695603,0.5,0.0001240965,0.01538817,0.01538817,0.01538817,0.99505,,,,,,,,,
mlp,sp,swish,2048,10,0.041456745,0.5,0.0001492455,0.035979985,0.035979985,0.035979985,0.98715,,,,,,,,,
mlp,sp,swish,4096,10,0.15359435,0.5,0.0001621973,0.10944124999999999,0.10944124999999999,0.10944124999999999,0.94205,,,,,,,,,
mlp,sp,tanh,64,10,0.15133085000000002,0.5,0.002371127,0.08188911500000001,0.08208556,0.08208556,0.95245,,,,,,,,,
mlp,sp,tanh,128,10,0.061870935,0.5,0.000560978,0.037417645,0.037417645,0.037417645,0.97985,,,,,,,,,
mlp,sp,tanh,256,10,0.03154255,0.5,0.0003203479,0.02252162,0.02252162,0.02251861,0.98885,,,,,,,,,
mlp,sp,tanh,512,10,0.028801624999999997,0.5,0.0002253955,0.020811875,0.020811875,0.020811875,0.98955,,,,,,,,,
mlp,sp,tanh,1024,10,0.038155060000000005,0.5,0.000148202,0.025691695,0.025691695,0.025691695,0.9871000000000001,,,,,,,,,
mlp,sp,tanh,2048,10,0.041429255,0.5,5.011669e-05,0.02502122,0.02502122,0.02502122,0.9859500000000001,,,,,,,,,
mlp,sp,tanh,4096,10,0.026331715,0.5,8.763116000000001e-06,0.01182466,0.011833515,0.01180313,0.9923,,,,,,,,,
