regime,act,width,seedA,seedB,dnorm,lam_max,devrel_1e-1,devrel_1e-2,devrel_1e-3,rhs_1e-2,cg_resid,fd_instab,status
mup,tanh,4096,0,1,2.117822e+02,3.639244e-03,1.976980e-02,1.207590e-01,1.133958e+00,3.578453e+00,5.13e-04,4.037e-02,ok
mup,tanh,4096,0,2,2.110832e+02,3.639244e-03,1.925242e-02,9.840268e-02,9.154108e-01,2.998143e+00,4.58e-04,3.644e-02,ok
mup,tanh,4096,0,3,2.125599e+02,3.639244e-03,2.213995e-02,1.335277e-01,1.283761e+00,4.783393e+00,4.62e-04,3.679e-02,ok
mup,swish,64,0,1,2.753254e+01,1.409233e-01,3.576856e-02,7.168229e-02,1.453129e-01,1.934341e+01,1.11e-04,1.349e-02,ok
mup,swish,64,0,2,2.773096e+01,1.409233e-01,5.798824e-02,1.093052e-01,2.031447e-01,4.798885e+01,4.64e-04,1.214e-02,ok
mup,swish,64,0,3,2.718155e+01,1.409233e-01,4.372729e-02,8.277420e-02,1.550691e-01,2.932016e+01,1.31e-04,7.246e-03,ok
mup,swish,128,0,1,3.661600e+01,3.859565e-02,2.523833e-02,4.627730e-02,1.775770e-01,1.159605e+01,6.45e-04,2.826e-02,ok
mup,swish,128,0,2,3.644824e+01,3.859565e-02,2.593372e-02,4.779735e-02,1.793376e-01,9.068318e+00,4.02e-04,3.382e-02,ok
mup,swish,128,0,3,3.618081e+01,3.859565e-02,2.127001e-02,4.112154e-02,1.628954e-01,1.020911e+01,3.72e-04,2.378e-02,ok
mup,swish,256,0,1,4.869866e+01,2.831846e-02,1.105700e-02,2.208427e-02,1.507670e-01,3.585226e+00,2.85e-04,8.129e-02,ok
mup,swish,256,0,2,4.862946e+01,2.831846e-02,1.222183e-02,2.330884e-02,1.409169e-01,4.344021e+00,2.41e-04,3.397e-02,ok
mup,swish,256,0,3,4.871864e+01,2.831846e-02,1.114059e-02,2.127906e-02,1.289476e-01,3.364048e+00,2.34e-04,5.342e-02,ok
mup,swish,512,0,1,6.715414e+01,1.870722e-02,6.598770e-03,1.682822e-02,1.218431e-01,2.273998e+00,1.34e-04,1.469e-01,ok
mup,swish,512,0,2,6.679197e+01,1.870722e-02,6.658318e-03,1.716999e-02,1.292100e-01,3.005657e+00,1.08e-04,9.727e-02,ok
mup,swish,512,0,3,6.711751e+01,1.870722e-02,6.926348e-03,1.917036e-02,1.457594e-01,2.625017e+00,2.89e-04,8.146e-02,ok
mup,swish,1024,0,1,9.220853e+01,1.639737e-02,4.422583e-03,1.408606e-02,1.140504e-01,1.402787e+00,1.12e-04,3.313e-01,ok
mup,swish,1024,0,2,9.234947e+01,1.639737e-02,3.887515e-03,1.309555e-02,1.020217e-01,1.441862e+00,1.27e-04,3.344e-01,ok
mup,swish,1024,0,3,9.228161e+01,1.639737e-02,3.954559e-03,1.196141e-02,9.358755e-02,1.642924e+00,2.41e-04,2.512e-01,ok
mup,swish,2048,0,1,1.295845e+02,1.693127e-02,2.508135e-03,9.143882e-03,7.272744e-02,1.642902e+00,2.86e-05,4.512e-01,ok
mup,swish,2048,0,2,1.296923e+02,1.693127e-02,2.462410e-03,1.079952e-02,9.106981e-02,2.065980e+00,4.51e-05,4.388e-01,ok
