mode,regime,act,width,seedA,seedB,dnorm,L_A,L_B,B,t_star,L_max,rho_A,rho_mid,rho_max,rho_at_tstar,acc_mid,flen_A,flen_mid,flen_B,flen_at_tstar,rq_mid,R_end,R_mid,R_tstar,devrel_lam1e-1,devrel_lam1e-2,devrel_lam1e-3,cg_resid,fd_instab,wmoveA,status
mlp,ntk,gelu,256,0,2,6.983337e+02,2.639669e-01,2.626505e-01,5.662580e-01,0.5000,8.295667e-01,1.728231e-01,5.463778e-01,5.463778e-01,5.463778e-01,0.7793,,,,,,,,,,,,,,0.09152851998806,ok
mlp,ntk,gelu,256,0,3,6.968572e+02,2.639669e-01,2.619284e-01,6.084185e-01,0.5000,8.713662e-01,1.728231e-01,5.883634e-01,5.883634e-01,5.883634e-01,0.7829,,,,,,,,,,,,,,0.09152851998806,ok
mlp,ntk,gelu,256,0,4,6.979973e+02,2.639669e-01,2.578198e-01,5.190843e-01,0.5000,7.799777e-01,1.728231e-01,5.305477e-01,5.305477e-01,5.305477e-01,0.8037,,,,,,,,,,,,,,0.09152851998806,ok
mlp,ntk,gelu,256,1,2,6.979726e+02,2.635231e-01,2.626505e-01,6.787723e-01,0.4750,9.418591e-01,1.727327e-01,5.796429e-01,5.796429e-01,5.790515e-01,0.6604,,,,,,,,,,,,,,0.09000737220048904,ok
mlp,ntk,gelu,256,1,3,6.975482e+02,2.635231e-01,2.619284e-01,5.739815e-01,0.5000,8.367073e-01,1.727327e-01,5.518667e-01,5.518667e-01,5.518667e-01,0.7466,,,,,,,,,,,,,,0.09000737220048904,ok
mlp,ntk,gelu,256,1,4,6.974769e+02,2.635231e-01,2.578198e-01,5.282989e-01,0.5000,7.889704e-01,1.727327e-01,5.406545e-01,5.406545e-01,5.406545e-01,0.7802,,,,,,,,,,,,,,0.09000737220048904,ok
mlp,ntk,gelu,256,2,3,6.978870e+02,2.626505e-01,2.619284e-01,5.718338e-01,0.5000,8.341233e-01,1.712707e-01,5.534218e-01,5.534218e-01,5.534218e-01,0.7357,,,,,,,,,,,,,,0.09012096375226974,ok
mlp,ntk,gelu,256,2,4,6.975278e+02,2.626505e-01,2.578198e-01,5.550237e-01,0.5000,8.152589e-01,1.712707e-01,5.504858e-01,5.504858e-01,5.504858e-01,0.8057,,,,,,,,,,,,,,0.09012096375226974,ok
mlp,ntk,gelu,256,3,4,6.980920e+02,2.619284e-01,2.578198e-01,5.461555e-01,0.5000,8.060296e-01,1.714200e-01,5.609749e-01,5.609749e-01,5.609749e-01,0.7874,,,,,,,,,,,,,,0.09063277393579483,ok
mlp,ntk,gelu,512,0,1,1.097498e+03,2.752466e-01,2.768989e-01,6.431846e-01,0.5000,9.192573e-01,1.828196e-01,6.115412e-01,6.115412e-01,6.115412e-01,0.7797,,,,,,,,,,,,,,0.06031152978539467,ok
mlp,ntk,gelu,512,0,2,1.098088e+03,2.752466e-01,2.803710e-01,7.024964e-01,0.5000,9.803052e-01,1.828196e-01,6.203397e-01,6.203397e-01,6.203397e-01,0.7349,,,,,,,,,,,,,,0.06031152978539467,ok
mlp,ntk,gelu,512,0,3,1.097905e+03,2.752466e-01,2.769018e-01,6.874606e-01,0.5000,9.635348e-01,1.828196e-01,6.349578e-01,6.349578e-01,6.349578e-01,0.7559,,,,,,,,,,,,,,0.06031152978539467,ok
mlp,ntk,gelu,512,0,4,1.099498e+03,2.752466e-01,2.788299e-01,6.225898e-01,0.5000,8.996281e-01,1.828196e-01,5.953822e-01,5.953822e-01,5.953822e-01,0.7893,,,,,,,,,,,,,,0.06031152978539467,ok
mlp,ntk,gelu,512,1,2,1.097893e+03,2.768989e-01,2.803710e-01,7.569735e-01,0.5000,1.035608e+00,1.832025e-01,6.642496e-01,6.642496e-01,6.642496e-01,0.6942,,,,,,,,,,,,,,0.05997332185506821,ok
mlp,ntk,gelu,512,1,3,1.097544e+03,2.768989e-01,2.769018e-01,6.387927e-01,0.5000,9.156931e-01,1.832025e-01,6.020356e-01,6.020356e-01,6.020356e-01,0.7913,,,,,,,,,,,,,,0.05997332185506821,ok
mlp,ntk,gelu,512,1,4,1.098419e+03,2.768989e-01,2.788299e-01,6.961595e-01,0.5000,9.740240e-01,1.832025e-01,6.276821e-01,6.276821e-01,6.276821e-01,0.7697,,,,,,,,,,,,,,0.05997332185506821,ok
mlp,ntk,gelu,512,2,3,1.097447e+03,2.803710e-01,2.769018e-01,7.132120e-01,0.5000,9.918484e-01,1.855355e-01,6.355078e-01,6.355078e-01,6.355078e-01,0.7393,,,,,,,,,,,,,,0.059976376593112946,ok
mlp,ntk,gelu,512,2,4,1.097392e+03,2.803710e-01,2.788299e-01,7.088269e-01,0.5000,9.884274e-01,1.855355e-01,6.391355e-01,6.391355e-01,6.391355e-01,0.6953,,,,,,,,,,,,,,0.059976376593112946,ok
mlp,ntk,gelu,512,3,4,1.098461e+03,2.769018e-01,2.788299e-01,6.249043e-01,0.5000,9.027702e-01,1.846511e-01,6.028285e-01,6.028285e-01,6.028285e-01,0.8131,,,,,,,,,,,,,,0.05904204398393631,ok
mlp,ntk,gelu,1024,0,1,1.837421e+03,2.876872e-01,2.852908e-01,8.062550e-01,0.5000,1.092744e+00,1.933206e-01,6.819116e-01,6.819116e-01,6.819116e-01,0.6917,,,,,,,,,,,,,,0.03770872578024864,ok
mlp,ntk,gelu,1024,0,2,1.837738e+03,2.876872e-01,2.931973e-01,8.581142e-01,0.5000,1.148556e+00,1.933206e-01,6.951710e-01,6.951710e-01,6.951710e-01,0.6632,,,,,,,,,,,,,,0.03770872578024864,ok
mlp,ntk,gelu,1024,0,3,1.836784e+03,2.876872e-01,2.913122e-01,8.243321e-01,0.5000,1.113832e+00,1.933206e-01,6.859676e-01,6.859676e-01,6.859676e-01,0.7818,,,,,,,,,,,,,,0.03770872578024864,ok
mlp,ntk,gelu,1024,0,4,1.837186e+03,2.876872e-01,2.933283e-01,7.598312e-01,0.5000,1.050339e+00,1.933206e-01,6.697834e-01,6.697834e-01,6.697834e-01,0.8237,,,,,,,,,,,,,,0.03770872578024864,ok
mlp,ntk,gelu,1024,1,2,1.839269e+03,2.852908e-01,2.931973e-01,9.207479e-01,0.5000,1.209992e+00,1.928061e-01,7.330520e-01,7.330520e-01,7.330520e-01,0.5802,,,,,,,,,,,,,,0.03763708099722862,ok
mlp,ntk,gelu,1024,1,3,1.837937e+03,2.852908e-01,2.913122e-01,8.694607e-01,0.5000,1.157762e+00,1.928061e-01,7.111615e-01,7.111615e-01,7.111615e-01,0.6533,,,,,,,,,,,,,,0.03763708099722862,ok
mlp,ntk,gelu,1024,1,4,1.838627e+03,2.852908e-01,2.933283e-01,8.708006e-01,0.5000,1.160110e+00,1.928061e-01,7.180064e-01,7.180064e-01,7.180064e-01,0.6731,,,,,,,,,,,,,,0.03763708099722862,ok
mlp,ntk,gelu,1024,2,3,1.837108e+03,2.931973e-01,2.913122e-01,8.334518e-01,0.5000,1.125707e+00,1.952599e-01,6.894255e-01,6.894255e-01,6.894255e-01,0.6603,,,,,,,,,,,,,,0.03716714680194855,ok
