mode,regime,act,width,n_pairs,B,t_star,rho_A,rho_mid,rho_max,rho_at_tstar,acc_mid,flen_A,flen_mid,flen_B,flen_at_tstar,rq_mid,R_end,R_mid,R_tstar,fd_instab
ts,ntk,softplus,2048,10,0.4267994,0.5,0.6015702,0.7920068,0.7920068,0.7920068,0.4625,,,,,,,,,
ts,ntk,softplus,4096,10,0.43313115,0.5,0.6149439,0.8081229,0.8081229,0.8081229,0.5105999999999999,,,,,,,,,
ts,ntk,swish,64,10,0.23838355,0.5,0.55804455,0.66838755,0.66838755,0.66838755,0.57315,,,,,,,,,
ts,ntk,swish,128,10,0.23235519999999998,0.5,0.5569382,0.68274765,0.68294755,0.6824085,0.5871,,,,,,,,,
ts,ntk,swish,256,10,0.3476995,0.5,0.5582761,0.7302866,0.7303413999999999,0.7301034,0.54425,,,,,,,,,
ts,ntk,swish,512,10,0.39779725,0.5,0.56148095,0.7435266,0.7435266,0.7435266,0.496,,,,,,,,,
ts,ntk,swish,1024,10,0.38490270000000004,0.5,0.5677593,0.7625849499999999,0.7625849499999999,0.7625849499999999,0.5478000000000001,,,,,,,,,
ts,ntk,swish,2048,10,0.42195865,0.5,0.5775301500000001,0.7789617,0.7789617,0.7789617,0.5094,,,,,,,,,
ts,ntk,swish,4096,10,0.44746065,0.5,0.58882295,0.7994089,0.7994089,0.7994089,0.5622,,,,,,,,,
ts,ntk,tanh,64,10,0.085761135,0.5,0.5623058,0.6061417,0.60621965,0.60618735,0.63525,,,,,,,,,
ts,ntk,tanh,128,10,0.11041265,0.5,0.5642321,0.62004855,0.62004855,0.61996755,0.62615,,,,,,,,,
ts,ntk,tanh,256,10,0.14311435,0.5,0.5671851,0.6507852000000001,0.6507852000000001,0.6507852000000001,0.6229,,,,,,,,,
ts,ntk,tanh,512,10,0.1922183,0.5,0.5732341,0.6854978,0.6854978,0.6854978,0.6171,,,,,,,,,
ts,ntk,tanh,1024,10,0.24069495,0.5,0.5769534,0.71189215,0.71189215,0.71189215,0.6106499999999999,,,,,,,,,
ts,ntk,tanh,2048,10,0.26757735,0.5,0.5800068,0.7244340499999999,0.7244340499999999,0.7244340499999999,0.59695,,,,,,,,,
ts,ntk,tanh,4096,10,0.30295875000000005,0.5,0.5816657,0.7409632500000001,0.7409632500000001,0.7409632500000001,0.5907,,,,,,,,,
ts,sp,gelu,64,10,0.90235385,0.5,0.00437928,0.24938605,0.24948294999999998,0.24938605,0.82755,,,,,,,,,
ts,sp,gelu,128,10,0.5909445,0.5,0.00040788304999999996,0.2176184,0.2176184,0.2176184,0.8529,,,,,,,,,
ts,sp,gelu,256,10,0.35454055,0.5,0.0004251376,0.17546515000000001,0.17546515000000001,0.17546515000000001,0.88675,,,,,,,,,
ts,sp,gelu,512,10,0.2579893,0.5,0.0004161729,0.15439305,0.15439305,0.15439305,0.9083,,,,,,,,,
ts,sp,gelu,1024,10,0.18949105,0.5,0.0003237006,0.13293994999999997,0.13293994999999997,0.13293994999999997,0.9291499999999999,,,,,,,,,
ts,sp,gelu,2048,10,0.13525979999999999,0.5,0.00018838805000000002,0.10892135,0.10892135,0.10892135,0.95045,,,,,,,,,
ts,sp,gelu,4096,10,0.080175245,0.5,8.702989e-05,0.074553615,0.074553615,0.074553615,0.9764,,,,,,,,,
ts,sp,softplus,64,10,0.97847695,0.5,0.017226315,0.28547484999999995,0.28560114999999997,0.28554044999999995,0.8008500000000001,,,,,,,,,
ts,sp,softplus,128,10,0.6195928500000001,0.5,0.001502504,0.22683365,0.22683365,0.22683365,0.84615,,,,,,,,,
ts,sp,softplus,256,10,0.3745364,0.5,0.00100811475,0.1784191,0.1784191,0.1784191,0.88515,,,,,,,,,
ts,sp,softplus,512,10,0.23651175000000002,0.5,0.0008626132,0.14247929999999998,0.14247929999999998,0.14247929999999998,0.9158,,,,,,,,,
ts,sp,softplus,1024,10,0.16648235,0.5,0.0006612536,0.1213658,0.1213658,0.1213658,0.9375,,,,,,,,,
ts,sp,softplus,2048,10,0.11735100000000001,0.5,0.0004352805,0.10218764999999999,0.10218764999999999,0.10218764999999999,0.958,,,,,,,,,
ts,sp,softplus,4096,10,0.09019984,0.5,0.0002467354,0.090038255,0.090038255,0.090038255,0.97575,,,,,,,,,
ts,sp,swish,64,10,0.95260385,0.5,0.004509094,0.26226625000000003,0.26226625000000003,0.26226625000000003,0.8173,,,,,,,,,
ts,sp,swish,128,10,0.583236,0.5,0.0005021589,0.21509175,0.21509175,0.21509175,0.85395,,,,,,,,,
ts,sp,swish,256,10,0.34595454999999997,0.5,0.0005208318,0.17264190000000001,0.17264190000000001,0.17264190000000001,0.8889,,,,,,,,,
ts,sp,swish,512,10,0.26768135000000004,0.5,0.0005124241,0.15153785,0.15153785,0.15153785,0.9068,,,,,,,,,
ts,sp,swish,1024,10,0.2138978,0.5,0.0004435909,0.13832455,0.13832455,0.13832455,0.92065,,,,,,,,,
ts,sp,swish,2048,10,0.1883166,0.5,0.0003241981,0.13144224999999998,0.13144224999999998,0.13144224999999998,0.9279999999999999,,,,,,,,,
ts,sp,swish,4096,10,0.20270165,0.5,0.00016999505,0.1337881,0.1337881,0.1337881,0.9217,,,,,,,,,
ts,sp,tanh,64,10,1.9202185,0.5,0.05802607,0.4865099,0.4865099,0.4865099,0.6549,,,,,,,,,
ts,sp,tanh,128,10,1.4191705,0.5,0.0052421745,0.38198435,0.38198435,0.38198435,0.73305,,,,,,,,,
ts,sp,tanh,256,10,1.047802,0.5,0.002117558,0.32294524999999996,0.32294524999999996,0.32294524999999996,0.7772,,,,,,,,,
ts,sp,tanh,512,10,0.8307547,0.5,0.0011146805,0.28805315,0.28805315,0.28805315,0.80245,,,,,,,,,
ts,sp,tanh,1024,10,0.7089018,0.5,0.0005325652,0.25713995,0.25713995,0.25713995,0.8242499999999999,,,,,,,,,
ts,sp,tanh,2048,10,0.578333,0.5,0.0001661876,0.20925635,0.20925635,0.20925635,0.85755,,,,,,,,,
ts,sp,tanh,4096,10,0.49899230000000006,0.5,4.2352445e-05,0.1638715,0.1638715,0.1638715,0.8894500000000001,,,,,,,,,
