regime,act,width,seedA,seedB,dnorm,lam_max,devrel_1e-1,devrel_1e-2,devrel_1e-3,rhs_1e-2,cg_resid,fd_instab,status
sp,tanh,4096,0,1,1.294686e+02,1.907163e-02,2.049504e-02,1.555388e-01,1.542706e+00,5.250006e+01,4.69e-03,1.268e-01,ok
sp,tanh,4096,0,2,1.295430e+02,1.907163e-02,1.700538e-02,1.438174e-01,1.423725e+00,4.402216e+01,2.66e-03,9.209e-02,ok
sp,tanh,4096,0,3,1.295347e+02,1.907163e-02,1.306302e-02,1.160018e-01,1.148376e+00,2.843463e+01,3.00e-03,1.886e-01,ok
sp,swish,64,0,1,2.741253e+01,1.768685e-01,4.804152e-02,9.403867e-02,1.637321e-01,2.801850e+01,4.49e-05,1.066e-02,ok
sp,swish,64,0,2,2.708360e+01,1.768685e-01,4.012630e-02,8.523015e-02,1.600168e-01,2.876702e+01,6.02e-05,6.800e-03,ok
sp,swish,64,0,3,2.714907e+01,1.768685e-01,3.505308e-02,6.789889e-02,1.332232e-01,3.496884e+01,1.04e-04,9.380e-03,ok
sp,swish,128,0,1,3.029207e+01,7.404377e-02,2.309635e-02,4.021771e-02,1.350888e-01,1.153038e+01,2.58e-04,2.302e-02,ok
sp,swish,128,0,2,3.051957e+01,7.404377e-02,2.658254e-02,4.516061e-02,1.375164e-01,1.838240e+01,3.47e-04,2.871e-02,ok
sp,swish,128,0,3,3.045625e+01,7.404377e-02,2.207798e-02,4.066764e-02,1.330375e-01,1.149870e+01,2.60e-04,2.298e-02,ok
sp,swish,256,0,1,3.672221e+01,6.075834e-02,2.039513e-02,3.642299e-02,1.442334e-01,2.513890e+01,6.49e-04,1.920e-02,ok
sp,swish,256,0,2,3.688819e+01,6.075834e-02,1.769863e-02,3.407982e-02,1.412429e-01,2.287749e+01,6.00e-04,4.220e-02,ok
sp,swish,256,0,3,3.670966e+01,6.075834e-02,1.311582e-02,2.267929e-02,1.170606e-01,6.406866e+00,3.25e-04,4.966e-02,ok
sp,swish,512,0,1,4.771337e+01,5.422601e-02,9.451509e-03,1.915884e-02,1.208283e-01,7.117874e+00,6.13e-04,6.220e-02,ok
sp,swish,512,0,2,4.778323e+01,5.422601e-02,1.157073e-02,2.324514e-02,1.390916e-01,1.203389e+01,8.61e-04,7.331e-02,ok
sp,swish,512,0,3,4.774644e+01,5.422601e-02,9.323296e-03,1.938274e-02,1.191559e-01,9.132166e+00,8.10e-04,7.175e-02,ok
