mode,regime,act,width,n_pairs,rq_t0.000,rq_t0.050,rq_t0.100,rq_t0.150,rq_t0.200,rq_t0.250,rq_t0.300,rq_t0.350,rq_t0.400,rq_t0.450,rq_t0.500,rq_t0.550,rq_t0.600,rq_t0.650,rq_t0.700,rq_t0.750,rq_t0.800,rq_t0.850,rq_t0.900,rq_t0.950,rq_t1.000
mlp,mup,swish,4096,10,6.866407499999999e-08,1.1733205e-07,1.916928e-07,2.8769975e-07,3.8527535e-07,4.3862679999999994e-07,3.9473205e-07,3.0640295e-07,1.9335210000000002e-07,1.1198285e-07,7.814293499999999e-08,1.6031185e-07,2.8696405e-07,3.612136e-07,3.80462e-07,3.553361e-07,3.0985545e-07,2.353535e-07,1.6043695e-07,1.02946775e-07,6.450940999999999e-08
mlp,mup,tanh,64,10,0.00044754224999999997,0.001252566,0.0034335915000000003,0.0052186855,0.0064968105,0.0077562915,0.00974061,0.009370103500000001,0.0079067595,0.00698103,0.00697553,0.0068268059999999995,0.0074475355,0.008991195,0.0084871835,0.0079542295,0.0067168645,0.0055659,0.0029165425,0.0014099375000000002,0.0004574661
mlp,mup,tanh,128,10,6.4453385e-05,0.0001761533,0.00055299415,0.001156903,0.001446644,0.00148454,0.0015395575000000002,0.0014607585,0.00122613,0.0010436005,0.00092116455,0.0010051679999999999,0.0012495779999999999,0.001442882,0.001585618,0.0015348595000000001,0.0016717475,0.0011644185000000001,0.0005366883,0.00019186635,7.189839e-05
mlp,mup,tanh,256,10,1.593122e-05,4.301085e-05,0.0001489741,0.0002760844,0.0003980821,0.00047594165,0.0004321029,0.0003606851,0.0003163241,0.00024000465,0.0001854495,0.00024917215000000003,0.000296584,0.0003963355,0.000432307,0.00045431745,0.00042741895,0.00034092110000000003,0.00015733725,4.485253e-05,1.581548e-05
mlp,mup,tanh,512,10,4.6509055e-06,1.0934465e-05,3.4107805e-05,9.286044e-05,0.000162889,0.00016143804999999998,0.0001426934,0.00012062955,8.959938e-05,6.886516e-05,6.6269795e-05,8.101325000000001e-05,9.006366500000001e-05,0.0001310899,0.00014903525,0.0001443028,0.0001280249,7.660031500000001e-05,3.8545445e-05,1.080465e-05,4.5870595e-06
mlp,mup,tanh,1024,10,1.419789e-06,3.4291489999999998e-06,9.4543685e-06,1.8915755e-05,3.7902905e-05,5.2475565e-05,5.08867e-05,5.107958e-05,3.8712235e-05,2.56688e-05,2.3726365e-05,2.728314e-05,3.563288e-05,4.4833179999999995e-05,5.3625235e-05,5.7746885e-05,3.7304219999999996e-05,2.1532265e-05,9.609499e-06,3.9897649999999996e-06,1.5888305e-06
mlp,mup,tanh,2048,10,4.830142e-07,1.2450150000000001e-06,3.12733e-06,8.70825e-06,1.594321e-05,1.808657e-05,1.7443115e-05,1.4392185e-05,1.0717719999999999e-05,7.827492e-06,7.1632495e-06,9.252593000000001e-06,1.3394805e-05,1.582528e-05,1.5835275e-05,1.5502795e-05,1.2146915e-05,6.778809e-06,2.9282315e-06,1.070862e-06,4.5288625000000003e-07
mlp,mup,tanh,4096,10,1.6105399999999998e-07,4.1445240000000003e-07,9.310935999999999e-07,2.0474935e-06,3.6941885e-06,5.6448585e-06,6.4340135e-06,5.221465e-06,3.5992085e-06,2.4096215000000003e-06,1.900621e-06,2.304961e-06,3.739473e-06,4.355816e-06,5.947429500000001e-06,5.5914264999999995e-06,3.4367319999999997e-06,2.003296e-06,9.8672475e-07,3.9365505000000004e-07,1.503691e-07
mlp,ntk,gelu,64,10,3.8677015000000004e-05,4.818108e-05,6.3215645e-05,7.808197e-05,8.804702000000001e-05,8.9142925e-05,8.0094065e-05,6.038562e-05,3.805788e-05,1.93338e-05,1.32289e-05,1.745829e-05,3.5796335e-05,5.9321275e-05,8.11136e-05,9.008909e-05,8.819212e-05,7.7190945e-05,6.2767985e-05,4.9973635e-05,4.116873e-05
mlp,ntk,gelu,128,10,1.9609315e-05,2.6236840000000002e-05,3.3813474999999996e-05,4.0694470000000006e-05,4.57334e-05,4.6492195e-05,3.982464e-05,2.998908e-05,1.711306e-05,8.9252205e-06,5.0931065e-06,8.5628035e-06,1.698233e-05,3.031224e-05,4.0931045e-05,4.7219105e-05,4.6778069999999996e-05,3.925982e-05,3.066919e-05,2.3570735e-05,1.923741e-05
mlp,ntk,gelu,256,10,8.9606455e-06,1.1908855e-05,1.5607735e-05,1.9355220000000002e-05,2.1921305e-05,2.239813e-05,2.002668e-05,1.489829e-05,8.390663999999999e-06,3.557528e-06,1.671581e-06,3.6681645000000003e-06,8.369567e-06,1.4528635000000001e-05,2.0283365e-05,2.25631e-05,2.207232e-05,1.9227475e-05,1.5444545e-05,1.188671e-05,8.903215499999999e-06
mlp,ntk,gelu,512,10,4.007935e-06,5.5263355e-06,7.4521005e-06,9.261149999999999e-06,1.0708084999999999e-05,1.134348e-05,1.0225435000000001e-05,7.3041865e-06,4.051775e-06,1.531934e-06,6.2898615e-07,1.484704e-06,4.0839135e-06,7.093571e-06,9.9387385e-06,1.1385160000000001e-05,1.0676915e-05,9.240647e-06,7.2472935e-06,5.4796230000000004e-06,4.066941e-06
mlp,ntk,gelu,1024,10,1.7020750000000001e-06,2.3673075e-06,3.228974e-06,4.162948e-06,4.8641045e-06,4.954843499999999e-06,4.1770695e-06,2.905025e-06,1.5112025e-06,4.782258e-07,1.7190685000000002e-07,5.920638e-07,1.646246e-06,3.0235184999999997e-06,4.1740845000000005e-06,4.6977525e-06,4.6450065e-06,3.933705e-06,3.0203974999999997e-06,2.2172725e-06,1.599921e-06
mlp,ntk,gelu,2048,10,5.963976500000001e-07,8.406906e-07,1.148004e-06,1.4816325e-06,1.7432655000000001e-06,1.7288785e-06,1.4243640000000001e-06,9.517262500000001e-07,4.830579e-07,1.5643795000000002e-07,3.782658e-08,1.5065405000000002e-07,4.7320885e-07,9.5246695e-07,1.4144465e-06,1.7191415e-06,1.7221545e-06,1.4838495e-06,1.158038e-06,8.5103095e-07,6.0689705e-07
mlp,ntk,gelu,4096,10,2.112216e-07,3.0033804999999997e-07,4.085059e-07,5.114491e-07,5.6592705e-07,5.3372985e-07,4.2223934999999997e-07,2.673417e-07,1.286311e-07,3.859244e-08,8.352614e-09,4.0312699999999995e-08,1.32989e-07,2.738694e-07,4.282209e-07,5.36437e-07,5.5613495e-07,4.937645e-07,3.91048e-07,2.8961095e-07,2.025983e-07
mlp,ntk,softplus,64,10,5.52027e-05,6.6090705e-05,7.9875735e-05,9.207883499999999e-05,9.684017e-05,9.020853e-05,7.1162725e-05,4.3965365e-05,2.270878e-05,1.08784515e-05,4.9082615e-06,9.618252499999999e-06,2.0916615e-05,4.1086170000000004e-05,6.8026905e-05,9.3631855e-05,0.0001087239,0.00010853275000000001,9.772279e-05,8.272912000000001e-05,6.5270325e-05
mlp,ntk,softplus,128,10,2.8514070000000003e-05,3.4427835e-05,4.114425e-05,4.503569e-05,4.4670445e-05,4.0113984999999995e-05,3.493402e-05,2.2433395e-05,1.1750269500000002e-05,4.7837665e-06,2.4877005e-06,5.383142500000001e-06,1.1844894999999999e-05,2.152564e-05,3.337535e-05,4.138861e-05,4.5648205e-05,4.5153304999999994e-05,3.959786e-05,3.1633655e-05,2.452718e-05
mlp,ntk,softplus,256,10,1.329782e-05,1.7401115e-05,2.2043274999999998e-05,2.601777e-05,2.644225e-05,2.3169149999999998e-05,1.7621464999999998e-05,1.1897325e-05,6.1181755e-06,2.166488e-06,8.276238e-07,2.425537e-06,6.3504834999999995e-06,1.1678445e-05,1.7651515e-05,2.303415e-05,2.6303985e-05,2.4686600000000002e-05,2.070426e-05,1.6522375e-05,1.305457e-05
mlp,ntk,softplus,512,10,5.2676985e-06,6.707636e-06,8.2277235e-06,9.507484e-06,9.8128235e-06,8.8753695e-06,7.0565495e-06,4.6415515e-06,2.413904e-06,7.8529425e-07,2.9425784999999997e-07,9.1029245e-07,2.5864929999999997e-06,4.959153e-06,7.0986395e-06,8.604819e-06,9.1065885e-06,8.630894999999999e-06,7.5082459999999995e-06,6.145775499999999e-06,4.844394e-06
mlp,ntk,softplus,1024,10,2.279298e-06,2.912639e-06,3.591145e-06,4.1268795e-06,4.2433824999999995e-06,3.807297e-06,2.9256565e-06,1.8892905000000001e-06,9.5126235e-07,3.009485e-07,7.278795000000001e-08,3.0007995e-07,9.599299999999999e-07,1.94468e-06,3.039169e-06,3.826055e-06,4.1217770000000005e-06,3.953478e-06,3.4849515e-06,2.875306e-06,2.255578e-06
mlp,ntk,softplus,2048,10,8.129925999999999e-07,1.0296055e-06,1.237825e-06,1.3779325000000001e-06,1.384548e-06,1.2270805e-06,9.271853e-07,5.8466185e-07,2.8374889999999996e-07,8.455426500000001e-08,1.543217e-08,8.345785e-08,2.8164145e-07,5.8221865e-07,9.256861000000001e-07,1.229062e-06,1.3994129999999998e-06,1.394972e-06,1.254399e-06,1.0411935e-06,8.1831295e-07
mlp,ntk,softplus,4096,10,2.8123275e-07,3.516749e-07,4.1218615e-07,4.3867545e-07,4.1618564999999997e-07,3.4581135e-07,2.495549e-07,1.5165895e-07,7.0257745e-08,1.9480485e-08,2.860903e-09,2.1003905e-08,7.2588705e-08,1.553354e-07,2.5284345e-07,3.4764835e-07,4.1469034999999996e-07,4.3742175e-07,4.0995375e-07,3.456523e-07,2.7754845e-07
mlp,ntk,swish,64,10,4.83153e-05,5.936618499999999e-05,6.8464355e-05,7.523691999999999e-05,7.645197999999999e-05,7.2400465e-05,6.107128e-05,4.517131e-05,2.786033e-05,1.430647e-05,8.752815e-06,1.3918970000000001e-05,2.790985e-05,4.5342715e-05,5.9218915000000004e-05,7.2182075e-05,7.681113e-05,7.2637745e-05,6.300863e-05,5.1944355e-05,4.2256255e-05
mlp,ntk,swish,128,10,2.140774e-05,2.795042e-05,3.5666975e-05,4.3335185e-05,4.6754845000000005e-05,4.2537555e-05,3.3799295e-05,2.4579899999999998e-05,1.467555e-05,6.5597685e-06,3.4866375e-06,5.774601999999999e-06,1.396632e-05,2.5301644999999998e-05,3.5584335e-05,4.3044354999999994e-05,4.6323775000000004e-05,4.40083e-05,3.791934e-05,3.0629035e-05,2.464378e-05
mlp,ntk,swish,256,10,1.082182e-05,1.4482480000000001e-05,1.8040195e-05,2.0982735e-05,2.3461475e-05,2.374454e-05,2.191504e-05,1.669797e-05,9.352808e-06,3.6221325e-06,1.6224104999999999e-06,3.1168515e-06,7.6227875e-06,1.408885e-05,2.0393435000000003e-05,2.504964e-05,2.609313e-05,2.38745e-05,1.987651e-05,1.5371355e-05,1.1422895e-05
mlp,ntk,swish,512,10,4.668459e-06,6.451277e-06,8.1692535e-06,9.397771e-06,1.0363675e-05,1.0476465000000001e-05,9.144231000000001e-06,6.4585025e-06,3.566197e-06,1.32914e-06,4.807908999999999e-07,1.1506675000000001e-06,3.2794414999999997e-06,5.974226e-06,8.808041e-06,1.073773e-05,1.1424055e-05,1.0475305e-05,8.5951235e-06,6.61166e-06,4.959399500000001e-06
mlp,ntk,swish,1024,10,1.9601345000000003e-06,2.619986e-06,3.4329529999999998e-06,4.234921e-06,4.757856e-06,4.6349039999999996e-06,3.768724e-06,2.5446485e-06,1.3528364999999998e-06,4.691158e-07,1.334553e-07,4.46209e-07,1.3049844999999999e-06,2.5124949999999997e-06,3.7151305e-06,4.6320450000000005e-06,4.7627265e-06,4.2996610000000005e-06,3.4537155e-06,2.6100700000000002e-06,1.9171725e-06
mlp,ntk,swish,2048,10,7.43534e-07,1.021174e-06,1.333851e-06,1.588296e-06,1.689628e-06,1.563221e-06,1.2177374999999999e-06,7.762901499999999e-07,3.7521550000000003e-07,1.1125835e-07,2.515084e-08,1.2808109999999999e-07,4.018544e-07,8.097493e-07,1.2321145000000001e-06,1.548654e-06,1.6410344999999998e-06,1.5119405e-06,1.2547134999999999e-06,9.646634e-07,7.085073e-07
mlp,ntk,swish,4096,10,2.4493375e-07,3.312987e-07,4.241412e-07,4.931457e-07,5.093715e-07,4.5797105e-07,3.508479e-07,2.188366e-07,1.047619e-07,3.1120810000000004e-08,5.1836035e-09,2.979296e-08,1.0268180000000001e-07,2.1672115e-07,3.4890205e-07,4.5623954999999997e-07,5.056472e-07,4.898916999999999e-07,4.191208e-07,3.292045e-07,2.4507015e-07
mlp,ntk,tanh,64,10,1.7336640000000002e-05,2.0477755e-05,2.3832645e-05,2.707994e-05,2.9331475e-05,2.993835e-05,2.7085355e-05,2.0891635e-05,1.3314965000000001e-05,7.4542099999999996e-06,5.426854e-06,7.7387875e-06,1.422317e-05,2.1819025e-05,2.7719515e-05,3.0209329999999998e-05,2.9202945e-05,2.6068880000000002e-05,2.2301855e-05,1.863606e-05,1.5620625e-05
mlp,ntk,tanh,128,10,7.3184865e-06,9.029178000000001e-06,1.0888e-05,1.258953e-05,1.387534e-05,1.4093575e-05,1.2801745e-05,1.00189945e-05,6.4524765e-06,3.3037285e-06,2.0164355000000003e-06,3.1355925e-06,6.0683145000000005e-06,9.83753e-06,1.2919565e-05,1.4456335e-05,1.426492e-05,1.2926525e-05,1.1029855e-05,9.048071e-06,7.3938145e-06
mlp,ntk,tanh,256,10,4.462047e-06,5.919168e-06,7.5671115000000006e-06,9.167888000000001e-06,1.0263795e-05,1.035652e-05,9.143966500000001e-06,6.72896e-06,3.7906014999999997e-06,1.519965e-06,7.493326000000001e-07,1.640644e-06,4.0496285e-06,6.962525e-06,9.330146e-06,1.0404275e-05,1.0034506500000001e-05,8.752893e-06,7.1292194999999994e-06,5.5705645e-06,4.2169764999999995e-06
mlp,ntk,tanh,512,10,2.267814e-06,3.065796e-06,4.0264535e-06,5.01769e-06,5.6478250000000004e-06,5.7280615e-06,4.9748050000000006e-06,3.5363605e-06,1.9188205e-06,6.8685785e-07,2.5141435e-07,7.3371545e-07,2.0013815000000002e-06,3.6047455e-06,5.021242e-06,5.733445e-06,5.6183635000000004e-06,4.8780589999999994e-06,3.917178e-06,2.9913225000000004e-06,2.2193790000000004e-06
mlp,ntk,tanh,1024,10,9.344852e-07,1.2891114999999999e-06,1.7127300000000001e-06,2.1249235e-06,2.4031029999999998e-06,2.4227675e-06,2.0851544999999997e-06,1.4801695000000001e-06,8.003856000000001e-07,2.715491e-07,7.9265955e-08,2.714934e-07,7.989275500000001e-07,1.490266e-06,2.087049e-06,2.4106460000000003e-06,2.363182e-06,2.0619100000000004e-06,1.652515e-06,1.253576e-06,9.222660499999999e-07
