mode,regime,act,width,seedA,seedB,dnorm,rq_t0.000,rq_t0.050,rq_t0.100,rq_t0.150,rq_t0.200,rq_t0.250,rq_t0.300,rq_t0.350,rq_t0.400,rq_t0.450,rq_t0.500,rq_t0.550,rq_t0.600,rq_t0.650,rq_t0.700,rq_t0.750,rq_t0.800,rq_t0.850,rq_t0.900,rq_t0.950,rq_t1.000,rq_min,rq_max,t_argmin,accA,accB,status
mlp,ntk,gelu,4096,3,4,6.129305e+03,2.178532e-07,3.073113e-07,4.152625e-07,5.180821e-07,5.737161e-07,5.447391e-07,4.322062e-07,2.794917e-07,1.393552e-07,4.512937e-08,9.269773e-09,3.470631e-08,1.216156e-07,2.628958e-07,4.292824e-07,5.618019e-07,6.023952e-07,5.437723e-07,4.300463e-07,3.116842e-07,2.158728e-07,9.269773e-09,6.023952e-07,0.5000,0.9184,0.917,ok
mlp,ntk,tanh,64,0,1,3.212673e+02,1.246746e-05,1.545816e-05,1.900888e-05,2.268409e-05,2.557616e-05,2.639016e-05,2.406066e-05,1.870592e-05,1.203174e-05,6.601847e-06,4.524990e-06,6.519075e-06,1.172276e-05,1.810946e-05,2.334513e-05,2.584235e-05,2.539069e-05,2.286852e-05,1.943552e-05,1.597481e-05,1.297606e-05,4.524990e-06,2.639016e-05,0.5000,0.9227,0.9193,ok
mlp,ntk,tanh,64,0,2,3.218329e+02,1.688352e-05,1.923861e-05,2.175599e-05,2.408335e-05,2.543885e-05,2.472623e-05,2.143693e-05,1.622288e-05,1.055528e-05,6.221255e-06,4.688302e-06,6.507077e-06,1.103423e-05,1.667225e-05,2.156589e-05,2.438743e-05,2.478782e-05,2.329530e-05,2.081014e-05,1.814473e-05,1.582106e-05,4.688302e-06,2.543885e-05,0.5000,0.9227,0.9229,ok
mlp,ntk,tanh,64,0,3,3.221742e+02,1.149798e-05,1.347918e-05,1.575715e-05,1.792421e-05,1.934662e-05,1.934668e-05,1.750049e-05,1.394820e-05,9.567582e-06,5.812038e-06,4.114915e-06,5.154189e-06,8.476728e-06,1.274956e-05,1.648702e-05,1.875330e-05,1.939044e-05,1.877410e-05,1.743857e-05,1.583801e-05,1.427695e-05,4.114915e-06,1.939044e-05,0.5000,0.9227,0.9218,ok
mlp,ntk,tanh,64,0,4,3.219006e+02,1.814592e-05,2.171690e-05,2.590930e-05,3.007653e-05,3.308679e-05,3.348654e-05,3.011005e-05,2.307735e-05,1.444918e-05,7.618881e-06,5.543003e-06,9.110938e-06,1.679837e-05,2.552859e-05,3.209390e-05,3.457631e-05,3.301520e-05,2.884246e-05,2.379357e-05,1.912739e-05,1.542019e-05,5.543003e-06,3.457631e-05,0.5000,0.9227,0.9225,ok
mlp,ntk,tanh,64,1,2,3.210024e+02,1.247501e-05,1.470048e-05,1.703239e-05,1.910623e-05,2.041132e-05,2.037628e-05,1.859920e-05,1.517122e-05,1.088822e-05,7.124253e-06,5.281135e-06,6.104878e-06,9.329220e-06,1.382754e-05,1.811902e-05,2.096724e-05,2.180993e-05,2.085467e-05,1.880563e-05,1.641885e-05,1.420591e-05,5.281135e-06,2.180993e-05,0.5000,0.9193,0.9229,ok
mlp,ntk,tanh,64,1,3,3.207642e+02,1.944645e-05,2.429707e-05,3.033364e-05,3.688415e-05,4.227515e-05,4.418973e-05,4.099504e-05,3.292829e-05,2.222028e-05,1.238814e-05,6.990112e-06,8.299552e-06,1.638460e-05,2.876269e-05,4.093651e-05,4.825145e-05,4.856740e-05,4.343539e-05,3.608683e-05,2.896011e-05,2.315845e-05,6.990112e-06,4.856740e-05,0.5000,0.9193,0.9218,ok
mlp,ntk,tanh,64,1,4,3.203653e+02,2.282640e-05,3.085770e-05,4.237856e-05,5.597829e-05,6.597595e-05,6.493903e-05,5.253687e-05,3.586384e-05,2.087840e-05,1.041839e-05,6.351594e-06,9.956695e-06,2.120546e-05,3.813868e-05,5.593177e-05,6.694220e-05,6.591000e-05,5.539238e-05,4.221422e-05,3.109870e-05,2.325034e-05,6.351594e-06,6.694220e-05,0.5000,0.9193,0.9225,ok
mlp,ntk,tanh,64,2,3,3.221842e+02,1.778976e-05,2.197598e-05,2.708283e-05,3.269247e-05,3.754296e-05,3.960069e-05,3.698031e-05,2.944137e-05,1.925393e-05,1.045803e-05,6.865684e-06,1.016896e-05,1.893707e-05,2.916359e-05,3.666444e-05,3.938926e-05,3.768787e-05,3.322493e-05,2.786167e-05,2.288850e-05,1.888174e-05,6.865684e-06,3.960069e-05,0.5000,0.9229,0.9218,ok
mlp,ntk,tanh,64,2,4,3.214944e+02,2.219281e-05,2.565809e-05,2.983267e-05,3.408136e-05,3.709449e-05,3.725395e-05,3.350193e-05,2.615091e-05,1.714284e-05,9.539008e-06,6.346751e-06,9.187665e-06,1.733434e-05,2.764504e-05,3.599368e-05,3.974279e-05,3.883250e-05,3.474096e-05,2.937199e-05,2.418060e-05,1.976401e-05,6.346751e-06,3.974279e-05,0.5000,0.9229,0.9225,ok
mlp,ntk,tanh,64,3,4,3.218993e+02,1.261233e-05,1.488500e-05,1.760874e-05,2.043957e-05,2.271047e-05,2.348818e-05,2.190577e-05,1.778072e-05,1.218075e-05,7.289539e-06,5.310705e-06,7.178023e-06,1.206174e-05,1.790948e-05,2.256377e-05,2.474358e-05,2.437418e-05,2.220915e-05,1.920642e-05,1.614125e-05,1.349271e-05,5.310705e-06,2.474358e-05,0.5000,0.9218,0.9225,ok
mlp,ntk,tanh,128,0,1,4.651985e+02,6.486587e-06,7.938723e-06,9.535730e-06,1.104218e-05,1.207147e-05,1.214609e-05,1.090237e-05,8.404215e-06,5.334232e-06,2.796876e-06,1.787729e-06,2.690617e-06,5.117182e-06,8.141178e-06,1.075263e-05,1.226681e-05,1.250368e-05,1.171071e-05,1.033198e-05,8.783874e-06,7.345705e-06,1.787729e-06,1.250368e-05,0.5000,0.9177,0.9175,ok
